Table LA4:  Offending by children who have been looked after continuously for at least 12 months1,,,,,,,
Years: 2013,,,,,,,
Coverage: England,,,,,,,
,,,,,,,
,Number of children looked after at 31 March who had been looked after for at least 12 months2,,Number of looked after children aged 10 or older at 31 March3,,Looked after children aged 10 and above,,
,,,,,Number convicted or subject to a final warning or reprimand during the year4,Percentage convicted or subject to a final warning or reprimand during the year,
,,,,,,,
ENGLAND,"47,200",,"29,880",,"1,840",6.2,
,,,,,,,
NORTH EAST,"2,870",,"1,780",,150,8.2,
Darlington,140,,95,,x,x,
Durham,440,,245,,25,9.8,
Gateshead,265,,165,,10,6.1,
Hartlepool,135,,90,,10,10.0,
Middlesbrough,245,,160,,10,5.7,
Newcastle upon Tyne,405,,285,,15,5.6,
North Tyneside,200,,125,,10,8.9,
Northumberland,200,,130,,10,8.3,
Redcar and Cleveland,130,,80,,x,x,
South Tyneside,215,,130,,10,7.0,
Stockton-on-Tees,225,,115,,10,10.3,
Sunderland,265,,170,,25,15.5,
,,,,,,,
NORTH WEST,"8,470",,"4,980",,310,6.2,
Blackburn with Darwen,240,,125,,x,x,
Blackpool,320,,175,,15,9.7,
Bolton,405,,195,,10,4.1,
Bury,230,,130,,10,6.1,
Cheshire East,305,,185,,15,8.1,
Cheshire West and Chester,265,,170,,10,5.4,
Cumbria,410,,255,,15,6.3,
Halton,90,,55,,x,x,
Knowsley,190,,115,,x,x,
Lancashire,"1,000",,575,,35,5.9,
Liverpool,725,,420,,20,4.3,
Manchester,960,,635,,50,8.1,
Oldham,245,,145,,x,x,
Rochdale,340,,190,,15,9.0,
Salford,395,,235,,25,9.7,
Sefton,325,,195,,10,6.2,
St. Helens,275,,150,,5,4.1,
Stockport,205,,130,,10,7.6,
Tameside,280,,180,,15,7.7,
Trafford,205,,120,,0,0.0,
Warrington,160,,105,,x,x,
Wigan,375,,200,,10,5.6,
Wirral,520,,300,,15,5.0,
,,,,,,,
YORKSHIRE AND THE HUMBER,"5,540",,"3,180",,170,5.2,
Barnsley,145,,95,,x,x,
Bradford,680,,390,,10,2.8,
Calderdale,265,,130,,x,x,
Doncaster,335,,220,,0,0.0,
East Riding of Yorkshire,240,,140,,5,4.3,
"Kingston Upon Hull, City of",485,,255,,20,8.3,
Kirklees,500,,260,,25,8.9,
Leeds,"1,095",,575,,30,5.2,
North East Lincolnshire,105,,50,,x,x,
North Lincolnshire,120,,75,,x,x,
North Yorkshire,345,,235,,15,5.6,
Rotherham,290,,185,,10,5.9,
Sheffield,385,,260,,15,6.6,
Wakefield,330,,175,,5,4.0,
York,205,,130,,15,9.8,
,,,,,,,
EAST MIDLANDS,"3,300",,"2,020",,130,6.3,
Derby,360,,210,,10,4.7,
Derbyshire,460,,285,,25,8.7,
