Back to index,,,,,,,,,,,,,,
Table LA2: Key stage 2 eligibility and performance of children who have been looked after continuously for at least twelve months1,,,,,,,,,,,,,,
Year: 20166,,,,,,,,,,,,,,
"Coverage: England, All schools2",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LA Code,,,"Number eligible for key stage 2 tests and assessments3,4,5",,Reaching the expected standard (%),,,,,,,,,
,,,,,Reading (test)3,Writing (teacher assessment)4,Mathematics (test)3,"Grammar, punctuation and spelling (test)3","Reading, writing and mathematics5",,,,,
,,,,,,,,,,,,,,
,,ENGLAND,"2,820",,41,46,41,44,25,,,,,
,,,,,,,,,,,,,,
,,NORTH EAST,170,,47,49,45,47,27,,,,,
E06000005,841,Darlington,5,,x,x,x,x,x,,,,,
E06000047,840,Durham,25,,60,52,56,48,44,,,,,
E08000020,390,Gateshead,10,,67,67,50,67,x,,,,,
E06000001,805,Hartlepool,x,,x,x,x,x,x,,,,,
E06000002,806,Middlesbrough,15,,62,x,54,54,x,,,,,
E08000021,391,Newcastle upon Tyne,20,,52,50,52,57,x,,,,,
E08000022,392,North Tyneside,10,,50,x,x,x,x,,,,,
E06000048,929,Northumberland,20,,x,39,x,x,x,,,,,
E06000003,807,Redcar and Cleveland,10,,64,x,x,55,x,,,,,
E08000023,393,South Tyneside,15,,43,57,50,43,43,,,,,
E06000004,808,Stockton-on-Tees,20,,x,65,35,45,x,,,,,
E08000024,394,Sunderland,15,,46,x,46,46,x,,,,,
,,,,,,,,,,,,,,
,,NORTH WEST,580,,43,47,45,48,26,,,,,
E06000008,889,Blackburn with Darwen,20,,50,61,33,67,33,,,,,
E06000009,890,Blackpool,20,,29,52,57,52,x,,,,,
E08000001,350,Bolton,25,,35,43,43,39,x,,,,,
E08000002,351,Bury,10,,x,x,x,x,x,,,,,
E06000049,895,Cheshire East,20,,32,x,32,27,x,,,,,
E06000050,896,Cheshire West and Chester,25,,44,44,24,32,x,,,,,
E10000006,909,Cumbria,35,,49,34,51,46,29,,,,,
E06000006,876,Halton,10,,x,x,x,x,x,,,,,
E08000011,340,Knowsley,10,,x,x,x,x,x,,,,,
E10000017,888,Lancashire,85,,47,48,36,46,24,,,,,
E08000012,341,Liverpool,40,,31,50,51,51,21,,,,,
E08000003,352,Manchester,60,,51,48,47,56,31,,,,,
E08000004,353,Oldham,20,,53,53,63,58,37,,,,,
E08000005,354,Rochdale,25,,41,46,41,48,31,,,,,
E08000006,355,Salford,25,,48,48,52,48,26,,,,,
E08000014,343,Sefton,20,,40,60,60,60,30,,,,,
E08000013,342,St. Helens,15,,x,x,x,43,x,,,,,
E08000007,356,Stockport,10,,x,x,x,x,x,,,,,
