Back to index,,,,,,,,,,,,,,,,,,,,,,,
Table LA2b: Key stage 2 average progress scores of children who have been looked after continuously for at least twelve months1,,,,,,,,,,,,,,,,,,,,,,,
Year: 20166,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: England, state-funded schools and non-maintained special schools2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
LA Code,,,Reading Progress Score4,,,,,Writing Progress Score4,,,,,Mathematics Progress Score4,,,,,,,,,,
,,,Number of pupils included,"Average Progress score4,5",Lower confidence interval,Upper confidence interval,,Number of pupils included,"Average Progress score4,5",Lower confidence interval,Upper confidence interval,,Number of pupils included,"Average Progress score4,5",Lower confidence interval,Upper confidence interval,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,"2,570",-0.5,-0.7,-0.2,,"2,660",-1.0,-1.2,-0.8,,"2,600",-1.3,-1.5,-1.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH EAST,160,0.5,-0.5,1.5,,170,-0.1,-1.1,0.9,,160,-0.1,-0.9,0.8,,,,,,,
E06000005,841,Darlington,x,x,x,x,,5,-1.3,-6.3,3.8,,5,-1.7,-6.0,2.5,,,,,,,
E06000047,840,Durham,25,1.8,-0.6,4.3,,25,1.1,-1.4,3.6,,25,1.2,-0.9,3.3,,,,,,,
E08000020,390,Gateshead,10,3.9,0.3,7.4,,10,1.6,-2.0,5.1,,10,1.3,-1.7,4.3,,,,,,,
E06000001,805,Hartlepool,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E06000002,806,Middlesbrough,10,1.6,-1.9,5.2,,10,-2.1,-5.7,1.4,,10,0.3,-2.7,3.3,,,,,,,
E08000021,391,Newcastle upon Tyne,20,3.8,0.9,6.7,,20,-0.4,-3.3,2.5,,20,1.6,-0.9,4.1,,,,,,,
E08000022,392,North Tyneside,10,-2.1,-6.0,1.7,,10,-3.8,-7.5,-0.1,,10,-1.1,-4.4,2.2,,,,,,,
E06000048,929,Northumberland,15,-1.8,-4.8,1.2,,20,-1.3,-4.2,1.7,,15,-2.7,-5.2,-0.2,,,,,,,
E06000003,807,Redcar and Cleveland,10,4.9,1.2,8.6,,10,1.0,-2.8,4.7,,10,1.0,-2.4,4.3,,,,,,,
E08000023,393,South Tyneside,15,-1.7,-5.0,1.6,,15,0.3,-3.0,3.6,,15,-2.2,-5.0,0.6,,,,,,,
E06000004,808,Stockton-on-Tees,20,-3.4,-6.1,-0.6,,20,0.6,-2.2,3.3,,20,-1.5,-3.8,0.8,,,,,,,
E08000024,394,Sunderland,15,1.3,-2.1,4.7,,15,-0.1,-3.5,3.3,,15,0.8,-2.1,3.7,,,,,,,
