,,Number of children looked after continuously for 12 months at 31 March 2011,Number of children looked after continuously for 12 months aged 10 or over at 31 March ,Number of children looked after continuously for 12 months aged 5 or under at 31 March 2011,Number of children looked after with cautions or conviction ,Number of children looked after identified as having a substance misuse problem ,Number who received an intervention for a substance misuse problem ,Number who were offered an intervention for a substance problem but who refused it ,Number of children aged 5 or under who development assessment were up to date ,Number whose immunisations were up to date ,Number whose teeth were checked by a dentist ,Number whose health assessments were up to date ,Number of children looked after whose employment status was full time education after completion of NC year 11 in 2010,Number of children looked after whose employment status was full time training after completion of NC year 11 in 2010,Number of children looked after whose employment status was full time employment with planned training after completion of NC year 11 in 2010,Number of children looked after whose employment status was full time employment with no planned training after completion of NC year 11 in 2010,"Number of children looked after whose employment status was part time education, employment or training after completion of NC year 11 in 2010",Number of children looked after whose employment status was unemployment due to illness or disability after completion of NC year 11 in 2010,Number of children looked after whose employment status was unemployment due to other reasons after completion of NC year 11 in 2010,Total SDQ score received,Total number of eligible children for an SDQ score,Number of eligible children with an SDQ score
0,ENGLAND,"46,090","30,229","8,998","2,209","1,963","1,112",686,"6,881","36,407","37,972","38,836","4,055",264,81,34,312,65,942,"331,648","34,387","23,867"
,,,,,,,,,,,,,,,,,,,,,,
990,NORTH EAST,"2,543","1,654",513,152,99,70,24,397,"2,171","2,202","2,226",182,22,6,x,x,8,28,"22,236","1,953","1,627"
991,NORTH WEST,"8,385","4,981","1,923",362,298,195,71,"1,412","6,341","7,254","7,550",565,60,17,10,27,x,131,"62,390","6,375","4,785"
992,YORKSHIRE AND THE HUMBER,"5,231","3,126","1,245",281,124,58,58,833,"4,346","4,263","4,270",345,28,15,0,27,x,111,"34,159","3,862","2,428"
993,EAST MIDLANDS,"3,020","1,999",598,122,128,71,52,469,"2,439","2,533","2,484",291,22,9,x,24,x,53,"24,615","2,253","1,583"
994,WEST MIDLANDS,"5,965","3,745","1,227",253,266,140,94,"1,003","4,822","4,476","4,630",454,47,8,x,47,6,97,"41,946","4,559","3,003"
995,EAST OF ENGLAND,"4,546","3,186",733,200,212,85,104,390,"2,491","3,400","3,550",446,30,x,6,34,7,109,"27,270","3,390","2,079"
996,LONDON,"7,315","5,291","1,148",323,411,225,146,"1,026","5,959","6,390","6,599",874,25,8,x,70,18,194,"56,068","5,245","4,139"
997,INNER LONDON,"3,314","2,372",527,181,198,127,55,492,"2,744","2,951","3,022",355,16,x,x,37,8,85,"24,088","2,421","1,819"
998,OUTER LONDON,"4,001","2,919",621,142,213,98,91,534,"3,215","3,439","3,577",519,9,x,x,33,10,109,"31,980","2,824","2,320"
999,SOUTH EAST,"5,630","3,792","1,069",294,235,145,76,933,"5,021","4,603","4,712",569,18,11,x,42,x,122,"34,998","4,145","2,349"
"1,000",SOUTH WEST,"3,455","2,455",542,222,190,123,61,418,"2,817","2,851","2,815",329,12,x,0,39,9,97,"27,966","2,605","1,874"
,,,,,,,,,,,,,,,,,,,,,,
201,City of London,7,x,x,0,0,0,0,x,6,7,x,x,0,0,0,0,0,0,67,x,x
202,Camden,174,129,21,11,17,6,11,21,157,161,152,21,0,0,0,x,x,8,1562,125,99
203,Greenwich,411,273,79,14,25,6,19,61,319,381,374,54,0,0,0,x,x,12,3057,296,234
204,Hackney,214,161,29,9,0,0,0,25,199,190,182,27,0,0,0,x,0,6,2072,163,154
205,Hammersmith and Fulham,172,125,29,14,12,12,0,28,156,132,163,18,0,0,0,x,0,x,306,119,26
206,Islington,218,159,35,9,28,26,x,35,208,189,214,28,0,0,0,x,0,0,2048,162,141
207,Kensington and Chelsea,91,70,13,9,x,x,x,13,79,75,84,9,0,0,0,x,0,x,361,72,30
208,Lambeth,370,256,67,x,12,x,x,55,240,322,323,30,0,0,0,12,0,10,1594,271,127
209,Lewisham,365,259,60,30,12,7,x,51,269,330,296,42,0,x,x,x,x,7,3757,277,274
210,Southwark,364,262,56,28,16,11,x,55,275,341,349,51,0,x,0,x,x,10,2605,255,182
211,Tower Hamlets,234,166,42,18,21,11,8,42,158,225,216,17,x,0,x,x,0,12,1728,166,122
212,Wandsworth,144,99,26,8,16,14,x,26,118,135,139,9,0,0,0,x,0,7,1519,109,102
213,Westminster,166,111,25,7,12,11,x,19,132,144,157,13,x,0,0,x,x,7,1539,129,116
301,Barking and Dagenham,253,164,55,x,0,0,0,53,219,222,239,20,0,0,0,x,0,x,2636,182,143
302,Barnet,223,172,28,0,12,0,0,14,181,149,201,25,x,0,x,x,0,x,2458,170,166
303,Bexley,141,98,20,8,6,x,x,20,92,129,134,19,0,x,0,x,0,0,1281,105,92
304,Brent,256,211,34,6,x,x,x,33,148,225,202,42,0,0,0,0,7,0,1605,186,75
305,Bromley,188,136,28,10,18,8,8,28,168,174,181,18,0,0,0,0,0,x,1695,147,129
306,Croydon,638,532,65,18,28,13,15,27,598,534,517,133,x,0,0,x,0,18,3106,377,281
307,Ealing,258,171,43,12,20,6,14,43,226,240,241,18,x,0,0,x,0,8,2231,185,183
308,Enfield,198,137,33,0,28,26,x,32,170,176,186,x,0,0,0,0,0,25,1490,149,130
309,Haringey,413,268,81,0,19,7,12,81,396,343,381,43,x,0,0,x,0,8,1956,287,170
310,Harrow,84,76,6,8,13,x,8,6,63,77,76,15,0,0,0,x,x,x,272,56,18
311,Havering,128,94,22,9,7,x,x,22,125,126,116,14,0,0,0,x,0,x,1299,92,89
312,Hillingdon,268,210,35,0,x,0,0,35,56,170,245,33,0,0,0,x,0,x,2004,198,173
313,Hounslow,253,180,35,15,15,9,6,35,217,226,235,29,x,x,0,x,0,8,2323,184,181
314,Kingston upon Thames,79,49,13,x,x,0,x,13,63,76,73,9,0,0,0,0,0,x,704,60,54
315,Merton,85,52,23,x,0,0,0,22,79,78,75,17,0,0,0,0,0,x,663,50,48
316,Newham,382,302,42,33,28,14,x,40,351,357,361,46,10,x,0,x,x,x,2974,281,271
317,Redbridge,142,94,32,11,9,x,x,28,120,130,137,16,0,0,0,x,0,x,965,100,84
318,Richmond upon Thames,63,44,10,x,x,x,x,7,62,59,58,6,0,x,0,0,x,x,506,48,39
319,Sutton,110,72,26,x,x,x,0,26,101,104,107,17,0,0,0,x,0,x,1135,74,74
320,Waltham Forest,223,154,34,13,18,8,x,29,208,163,180,30,x,0,0,0,0,x,2550,165,127
330,Birmingham,1480,918,318,78,69,29,31,311,1139,1220,1342,100,21,x,x,x,x,26,10810,1124,809
