Age,boys_12months,girls_12months,boys_caution_conviction,girls_caution_conviction,boys_substance_misuse,girls_substance_misuse,boys_intervention,girls_intervention,boys_ref_intervention,girls_ref_intervention,boys_dev_assess,girls_dev_assess,boys_immunisations,girls_immunisations,boys_teeth,girls_teeth,boys_health_assess,girls_health_assess,boys_SDQ_rec,girls_SDQ_rec,boys_SDQ_normal,girls_SDQ_normal,boys_SDQ_borderline,girls_SDQ_borderline,boys_SDQ_concern,girls_SDQ_concern
1,1136,1005,.,.,0,0,0,0,0,0,989,890,987,863,917,795,968,859,.,.,.,.,.,.,.,.
2,926,720,.,.,x,0,x,0,0,0,791,621,839,661,801,624,780,603,.,.,.,.,.,.,.,.
3,879,667,.,.,x,0,x,0,0,0,773,592,788,604,757,590,742,556,.,.,.,.,.,.,.,.
4,933,709,.,.,0,0,0,0,0,0,804,616,850,636,820,614,769,581,.,.,.,.,.,.,.,.
5,1013,776,.,.,0,0,0,0,0,0,865,662,915,691,878,684,948,736,623,489,306,303,93,57,224,129
6,965,828,.,.,0,0,0,0,0,0,.,.,892,770,840,723,901,783,641,540,323,331,87,66,231,143
7,1096,912,.,.,x,0,x,0,x,0,.,.,1020,836,963,791,1012,840,728,602,338,351,106,82,284,169
8,1166,938,.,.,0,x,0,x,0,0,.,.,1056,862,1045,826,1080,871,801,663,359,359,98,84,344,220
9,1270,1052,.,.,x,x,0,0,0,0,.,.,1157,948,1127,934,1187,992,887,715,380,408,108,87,399,220
10,1396,1104,x,x,x,x,x,x,x,0,.,.,1263,1005,1237,991,1283,1038,988,757,412,428,144,77,432,252
11,1528,1229,x,x,x,x,x,x,0,0,.,.,1392,1147,1341,1105,1407,1154,1059,854,484,481,134,98,441,275
12,1638,1278,21,x,9,x,x,x,x,0,.,.,1491,1150,1461,1131,1505,1183,1159,923,501,507,154,113,504,303
13,1876,1452,64,17,24,14,11,9,7,x,.,.,1680,1291,1666,1301,1721,1363,1299,1027,570,552,156,141,573,334
14,2111,1526,123,50,70,46,45,30,19,14,.,.,1849,1342,1805,1319,1893,1397,1414,1071,653,545,185,126,576,400
15,2421,2000,229,79,182,107,114,68,47,32,.,.,2042,1650,2039,1702,2155,1786,1675,1400,805,739,251,166,619,495
16,2792,2404,342,143,276,205,141,123,106,61,.,.,2253,1977,2223,1956,2347,2068,1782,1553,943,851,227,190,612,512
17,3394,2513,475,151,474,248,248,138,189,93,.,.,2630,1959,2424,1804,2623,2001,.,.,.,.,.,.,.,.
18,9,7,.,.,0,x,0,x,0,0,.,.,x,x,x,x,x,x,.,.,.,.,.,.,.,.
