Primary_SEN,Primary_school_action_plus,Primary_statement,Secondary_school_action_plus,Secondary_statement,Special_school_action_plus,Special_Statement,PRU_School_Action_Plus,PRU_Statement
SPLD,222,59,360,123,0,27,x,x
MLD,830,190,871,350,0,774,12,x
SLD,14,58,9,42,x,902,0,0
PMLD,7,17,0,9,0,382,0,0
BESD,1596,633,2240,973,24,1292,222,105
SLCN,697,290,186,164,x,154,x,0
HI,17,23,30,6,0,27,0,0
VI,14,17,13,14,0,19,0,0
MSI,x,x,0,x,0,11,0,0
PD,33,47,22,41,x,85,0,0
ASD,32,79,71,121,x,537,x,x
OTH,191,31,591,54,x,34,8,x
