time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,accommodation_suitability,number,percentage
2022,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Accommodation considered not suitable,470,4
2022,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Accommodation considered suitable,11110,90
2022,Reporting year,National,E92000001,England,,,,,,17 to 18 years,No information,720,6
2022,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Total,12300,100
2022,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Accommodation considered not suitable,1850,6
2022,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Accommodation considered suitable,29270,88
2022,Reporting year,National,E92000001,England,,,,,,19 to 21 years,No information,2200,7
2022,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Total,33320,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Accommodation considered not suitable,c,c
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Accommodation considered suitable,550,93
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,No information,40,6
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Total,590,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Accommodation considered not suitable,50,4
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Accommodation considered suitable,1330,90
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,No information,100,7
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Total,1480,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Accommodation considered not suitable,60,3
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Accommodation considered suitable,1660,91
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,No information,100,6
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Total,1820,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Accommodation considered not suitable,250,5
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Accommodation considered suitable,4180,90
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,No information,190,4
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Total,4620,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,17 to 18 years,Accommodation considered not suitable,50,5
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,17 to 18 years,Accommodation considered suitable,960,91
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,17 to 18 years,No information,50,5
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,17 to 18 years,Total,1060,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,19 to 21 years,Accommodation considered not suitable,160,5
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,19 to 21 years,Accommodation considered suitable,2550,89
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,19 to 21 years,No information,150,5
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,19 to 21 years,Total,2850,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,17 to 18 years,Accommodation considered not suitable,40,4
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,17 to 18 years,Accommodation considered suitable,860,95
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,17 to 18 years,No information,c,c
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,17 to 18 years,Total,910,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,19 to 21 years,Accommodation considered not suitable,110,5
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,19 to 21 years,Accommodation considered suitable,2170,90
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,19 to 21 years,No information,120,5
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,19 to 21 years,Total,2400,100
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Accommodation considered not suitable,80,6
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Accommodation considered suitable,1240,89
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,No information,80,5
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Total,1390,100
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Accommodation considered not suitable,230,6
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Accommodation considered suitable,3170,86
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,No information,290,8
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Total,3690,100
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Accommodation considered not suitable,70,6
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Accommodation considered suitable,1090,90
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,No information,50,4
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Total,1210,100
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Accommodation considered not suitable,220,7
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Accommodation considered suitable,2890,88
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,No information,170,5
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Total,3280,100
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Accommodation considered not suitable,80,3
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Accommodation considered suitable,2250,91
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,No information,140,6
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Total,2470,100
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Accommodation considered not suitable,380,5
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Accommodation considered suitable,6250,86
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,No information,610,8
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Total,7240,100
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Accommodation considered not suitable,60,3
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Accommodation considered suitable,1620,86
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,No information,200,10
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Total,1880,100
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Accommodation considered not suitable,270,5
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Accommodation considered suitable,4290,86
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,No information,440,9
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Total,5000,100
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Accommodation considered not suitable,30,3
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Accommodation considered suitable,880,91
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,No information,60,6
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Total,970,100
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Accommodation considered not suitable,180,7
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Accommodation considered suitable,2450,89
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,No information,130,5
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Total,2760,100
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Accommodation considered not suitable,40,4
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Accommodation considered suitable,1030,93
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,No information,40,3
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Total,1110,100
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Accommodation considered not suitable,200,7
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Accommodation considered suitable,2710,87
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,No information,190,6
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Total,3100,100
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Accommodation considered not suitable,40,3
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Accommodation considered suitable,1220,90
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,No information,100,8
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Total,1360,100
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Accommodation considered not suitable,170,4
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Accommodation considered suitable,3540,86
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,No information,430,10
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Total,4140,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Accommodation considered not suitable,0,0
