time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,change_measure,social_worker_stability,number,percentage
2020,Reporting year,National,E92000001,England,,,,,,Social worker changes across 12 months,Total,77110,100
2020,Reporting year,National,E92000001,England,,,,,,Social worker changes across 12 months,With no social worker change,30410,39
2020,Reporting year,National,E92000001,England,,,,,,Social worker changes across 12 months,With one social worker change,26130,34
2020,Reporting year,National,E92000001,England,,,,,,Social worker changes across 12 months,With two or more social worker changes,20580,27
2020,Reporting year,National,E92000001,England,,,,,,Social worker changes over 24 months,Total,77110,100
2020,Reporting year,National,E92000001,England,,,,,,Social worker changes over 24 months,With no social worker change,14990,19
2020,Reporting year,National,E92000001,England,,,,,,Social worker changes over 24 months,With one social worker change,20710,27
2020,Reporting year,National,E92000001,England,,,,,,Social worker changes over 24 months,With two or more social worker changes,41420,54
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Social worker changes across 12 months,Total,5310,100
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Social worker changes across 12 months,With no social worker change,2180,41
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Social worker changes across 12 months,With one social worker change,1890,35
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Social worker changes across 12 months,With two or more social worker changes,1250,24
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Social worker changes over 24 months,Total,5310,100
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Social worker changes over 24 months,With no social worker change,1020,19
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Social worker changes over 24 months,With one social worker change,1470,28
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Social worker changes over 24 months,With two or more social worker changes,2820,53
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Social worker changes across 12 months,Total,14510,100
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Social worker changes across 12 months,With no social worker change,5590,39
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Social worker changes across 12 months,With one social worker change,4760,33
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Social worker changes across 12 months,With two or more social worker changes,4160,29
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Social worker changes over 24 months,Total,14510,100
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Social worker changes over 24 months,With no social worker change,2650,18
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Social worker changes over 24 months,With one social worker change,4020,28
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Social worker changes over 24 months,With two or more social worker changes,7840,54
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Social worker changes across 12 months,Total,8890,100
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Social worker changes across 12 months,With no social worker change,3550,40
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Social worker changes across 12 months,With one social worker change,2940,33
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Social worker changes across 12 months,With two or more social worker changes,2410,27
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Social worker changes over 24 months,Total,8890,100
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Social worker changes over 24 months,With no social worker change,1860,21
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Social worker changes over 24 months,With one social worker change,2400,27
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Social worker changes over 24 months,With two or more social worker changes,4630,52
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Social worker changes across 12 months,Total,5980,100
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Social worker changes across 12 months,With no social worker change,2420,40
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Social worker changes across 12 months,With one social worker change,1980,33
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Social worker changes across 12 months,With two or more social worker changes,1580,26
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Social worker changes over 24 months,Total,5980,100
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Social worker changes over 24 months,With no social worker change,1110,19
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Social worker changes over 24 months,With one social worker change,1610,27
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Social worker changes over 24 months,With two or more social worker changes,3260,54
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Social worker changes across 12 months,Total,10440,100
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Social worker changes across 12 months,With no social worker change,3980,38
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Social worker changes across 12 months,With one social worker change,3510,34
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Social worker changes across 12 months,With two or more social worker changes,2940,28
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Social worker changes over 24 months,Total,10440,100
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Social worker changes over 24 months,With no social worker change,1790,17
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Social worker changes over 24 months,With one social worker change,2640,25
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Social worker changes over 24 months,With two or more social worker changes,6000,58
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Social worker changes across 12 months,Total,6670,100
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Social worker changes across 12 months,With no social worker change,2390,36
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Social worker changes across 12 months,With one social worker change,2480,37
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Social worker changes across 12 months,With two or more social worker changes,1800,27
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Social worker changes over 24 months,Total,6670,100
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Social worker changes over 24 months,With no social worker change,1050,16
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Social worker changes over 24 months,With one social worker change,1680,25
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Social worker changes over 24 months,With two or more social worker changes,3940,59
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Social worker changes across 12 months,Total,9090,100
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Social worker changes across 12 months,With no social worker change,3810,42
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Social worker changes across 12 months,With one social worker change,3190,35
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Social worker changes across 12 months,With two or more social worker changes,2090,23
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Social worker changes over 24 months,Total,9090,100
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Social worker changes over 24 months,With no social worker change,2130,23
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Social worker changes over 24 months,With one social worker change,2580,28
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Social worker changes over 24 months,With two or more social worker changes,4390,48
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Social worker changes across 12 months,Total,10090,100
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Social worker changes across 12 months,With no social worker change,3900,39
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Social worker changes across 12 months,With one social worker change,3370,33
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Social worker changes across 12 months,With two or more social worker changes,2820,28
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Social worker changes over 24 months,Total,10090,100
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Social worker changes over 24 months,With no social worker change,1980,20
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Social worker changes over 24 months,With one social worker change,2710,27
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Social worker changes over 24 months,With two or more social worker changes,5400,54
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Social worker changes across 12 months,Total,6140,100
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Social worker changes across 12 months,With no social worker change,2590,42
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Social worker changes across 12 months,With one social worker change,2020,33
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Social worker changes across 12 months,With two or more social worker changes,1530,25
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Social worker changes over 24 months,Total,6140,100
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Social worker changes over 24 months,With no social worker change,1400,23
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Social worker changes over 24 months,With one social worker change,1600,26
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Social worker changes over 24 months,With two or more social worker changes,3140,51
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Social worker changes across 12 months,Total,3810,100
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Social worker changes across 12 months,With no social worker change,1710,45
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Social worker changes across 12 months,With one social worker change,1320,35
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Social worker changes across 12 months,With two or more social worker changes,780,21
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Social worker changes over 24 months,Total,3810,100
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Social worker changes over 24 months,With no social worker change,980,26
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Social worker changes over 24 months,With one social worker change,1120,29
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Social worker changes over 24 months,With two or more social worker changes,1710,45
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Social worker changes across 12 months,Total,5290,100
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Social worker changes across 12 months,With no social worker change,2110,40
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Social worker changes across 12 months,With one social worker change,1880,35
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Social worker changes across 12 months,With two or more social worker changes,1310,25
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Social worker changes over 24 months,Total,5290,100
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Social worker changes over 24 months,With no social worker change,1150,22
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Social worker changes over 24 months,With one social worker change,1460,28
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Social worker changes over 24 months,With two or more social worker changes,2680,51
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Social worker changes across 12 months,Total,x,x
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Social worker changes across 12 months,With no social worker change,x,x
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Social worker changes across 12 months,With one social worker change,x,x
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Social worker changes across 12 months,With two or more social worker changes,x,x
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Social worker changes over 24 months,Total,x,x
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Social worker changes over 24 months,With no social worker change,x,x
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Social worker changes over 24 months,With one social worker change,x,x
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Social worker changes over 24 months,With two or more social worker changes,x,x
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Social worker changes across 12 months,Total,610,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Social worker changes across 12 months,With no social worker change,195,32
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Social worker changes across 12 months,With one social worker change,170,28
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Social worker changes across 12 months,With two or more social worker changes,245,40
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Social worker changes over 24 months,Total,610,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Social worker changes over 24 months,With no social worker change,51,8
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Social worker changes over 24 months,With one social worker change,108,18
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Social worker changes over 24 months,With two or more social worker changes,451,74
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Social worker changes across 12 months,Total,348,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Social worker changes across 12 months,With no social worker change,166,48
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Social worker changes across 12 months,With one social worker change,123,35
