time_period,time_identifier,geographic_level,country_code,country_name,cla_group,population_group,characteristic,move_measure,school_stability,number,percentage
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Any moves,Total children,26600,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Any moves,With no moves during the year,23710,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Any moves,With one or more moves during the year,2890,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Mid-year moves,Total children,26600,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Mid-year moves,With no mid-year moves during the year,24590,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Mid-year moves,With one or more mid-year moves during the year,2010,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Any moves,Total children,9540,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Any moves,With no moves during the year,9290,97
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Any moves,With one or more moves during the year,250,3
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Mid-year moves,Total children,9540,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Mid-year moves,With no mid-year moves during the year,9350,98
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Mid-year moves,With one or more mid-year moves during the year,190,2
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Any moves,Total children,14480,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Any moves,With no moves during the year,11940,82
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Any moves,With one or more moves during the year,2540,18
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Mid-year moves,Total children,14480,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Mid-year moves,With no mid-year moves during the year,12810,88
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Mid-year moves,With one or more mid-year moves during the year,1670,12
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Any moves,Total children,50620,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Any moves,With no moves during the year,44940,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Any moves,With one or more moves during the year,5690,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Mid-year moves,Total children,50620,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Mid-year moves,With no mid-year moves during the year,46750,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Mid-year moves,With one or more mid-year moves during the year,3870,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Any moves,Total children,39370,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Any moves,With no moves during the year,34900,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Any moves,With one or more moves during the year,4470,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Mid-year moves,Total children,39370,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Mid-year moves,With no mid-year moves during the year,36340,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Mid-year moves,With one or more mid-year moves during the year,3030,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Any moves,Total children,36950,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Any moves,With no moves during the year,32780,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Any moves,With one or more moves during the year,4170,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Mid-year moves,Total children,36950,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Mid-year moves,With no mid-year moves during the year,34130,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Mid-year moves,With one or more mid-year moves during the year,2820,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Any moves,Total children,110,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Any moves,With no moves during the year,110,93
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Any moves,With one or more moves during the year,10,7
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Mid-year moves,Total children,110,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Mid-year moves,With no mid-year moves during the year,110,96
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Mid-year moves,With one or more mid-year moves during the year,c,c
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Any moves,Total children,100,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Any moves,With no moves during the year,80,81
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Any moves,With one or more moves during the year,20,19
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Mid-year moves,Total children,100,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Mid-year moves,With no mid-year moves during the year,90,83
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Mid-year moves,With one or more mid-year moves during the year,20,17
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Any moves,Total children,380,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Any moves,With no moves during the year,320,85
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Any moves,With one or more moves during the year,60,15
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Mid-year moves,Total children,380,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Mid-year moves,With no mid-year moves during the year,340,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Mid-year moves,With one or more mid-year moves during the year,40,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Any moves,Total children,1830,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Any moves,With no moves during the year,1610,88
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Any moves,With one or more moves during the year,220,12
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Mid-year moves,Total children,1830,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Mid-year moves,With no mid-year moves during the year,1680,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Mid-year moves,With one or more mid-year moves during the year,150,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Any moves,Total children,5470,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Any moves,With no moves during the year,4830,88
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Any moves,With one or more moves during the year,650,12
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Mid-year moves,Total children,5470,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Mid-year moves,With no mid-year moves during the year,5030,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Mid-year moves,With one or more mid-year moves during the year,440,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Any moves,Total children,1830,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Any moves,With no moves during the year,1610,88
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Any moves,With one or more moves during the year,220,12
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Mid-year moves,Total children,1830,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Mid-year moves,With no mid-year moves during the year,1680,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Mid-year moves,With one or more mid-year moves during the year,150,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Any moves,Total children,660,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Any moves,With no moves during the year,570,87
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Any moves,With one or more moves during the year,80,13
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Mid-year moves,Total children,660,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Mid-year moves,With no mid-year moves during the year,600,91
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Mid-year moves,With one or more mid-year moves during the year,60,9
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Any moves,Total children,1220,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Any moves,With no moves during the year,1090,90
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Any moves,With one or more moves during the year,120,10
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Mid-year moves,Total children,1220,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Mid-year moves,With no mid-year moves during the year,1130,93
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Mid-year moves,With one or more mid-year moves during the year,90,7
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Any moves,Total children,1770,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Any moves,With no moves during the year,1550,88
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Any moves,With one or more moves during the year,220,12
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Mid-year moves,Total children,1770,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Mid-year moves,With no mid-year moves during the year,1630,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Mid-year moves,With one or more mid-year moves during the year,140,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Any moves,Total children,1900,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Any moves,With no moves during the year,1750,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Any moves,With one or more moves during the year,160,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Mid-year moves,Total children,1900,100
