time_period,time_identifier,geographic_level,country_code,country_name,missing_status,characteristic,number
2018,Reporting year,National,E92000001,England,Age of child missing from placement,1 to 4 years,40
2018,Reporting year,National,E92000001,England,Age of child missing from placement,10 to 15 years,33490
2018,Reporting year,National,E92000001,England,Age of child missing from placement,16 years and over,36410
2018,Reporting year,National,E92000001,England,Age of child missing from placement,5 to 9 years,190
2018,Reporting year,National,E92000001,England,Age of child missing from placement,Total incidents,70170
2018,Reporting year,National,E92000001,England,Age of child missing from placement,Under 1 year,40
2018,Reporting year,National,E92000001,England,Children missing from placement,All children looked after during the year,104240
2018,Reporting year,National,E92000001,England,Children missing from placement,Average number of incidents per looked after child who was missing,6.1
2018,Reporting year,National,E92000001,England,Children missing from placement,Children missing at 31 March,300
2018,Reporting year,National,E92000001,England,Children missing from placement,Children missing more than once during the year,7440
2018,Reporting year,National,E92000001,England,Children missing from placement,Percentage of children looked after during the year who were missing,11
2018,Reporting year,National,E92000001,England,Children missing from placement ,Average (mean) number of days per missing incident,2.6
2018,Reporting year,National,E92000001,England,Children missing from placement ,Average (median) number of days per missing incident,1
2018,Reporting year,National,E92000001,England,Children missing from placement by gender,Females,5070
2018,Reporting year,National,E92000001,England,Children missing from placement by gender,Males,6450
2018,Reporting year,National,E92000001,England,Children missing from placement by gender,Total children who were missing during the year,11520
2018,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 1 and 2 days,38070
2018,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 11 and 15 days,500
2018,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 16 and 20 days,230
2018,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 21 and 30 days,180
2018,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 3 and 7 days,5730
2018,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 8 and 10 days,640
2018,Reporting year,National,E92000001,England,Durations of missing from placement periods,Less than 1 day,24370
2018,Reporting year,National,E92000001,England,Durations of missing from placement periods,More than 30 days,460
2018,Reporting year,National,E92000001,England,Durations of missing from placement periods,Total incidents,70170
2018,Reporting year,National,E92000001,England,Missing from placement incidents,Total number of missing incidents during the year,70170
2018,Reporting year,National,E92000001,England,Placements from which children were missing,Foster placements,20580
2018,Reporting year,National,E92000001,England,Placements from which children were missing,Living independently,12320
2018,Reporting year,National,E92000001,England,Placements from which children were missing,Other placements,1670
2018,Reporting year,National,E92000001,England,Placements from which children were missing,Placed for adoption,0
2018,Reporting year,National,E92000001,England,Placements from which children were missing,Placed with parents,840
2018,Reporting year,National,E92000001,England,Placements from which children were missing,"Secure units, children's homes and semi-independent living accommodation",34760
2018,Reporting year,National,E92000001,England,Placements from which children were missing,Total incidents,70170
2019,Reporting year,National,E92000001,England,Age of child missing from placement,1 to 4 years,60
2019,Reporting year,National,E92000001,England,Age of child missing from placement,10 to 15 years,33690
2019,Reporting year,National,E92000001,England,Age of child missing from placement,16 years and over,39730
2019,Reporting year,National,E92000001,England,Age of child missing from placement,5 to 9 years,160
2019,Reporting year,National,E92000001,England,Age of child missing from placement,Total incidents,73670
2019,Reporting year,National,E92000001,England,Age of child missing from placement,Under 1 year,30
