time_period,time_identifier,geographic_level,country_code,country_name,cla_group,population_group,characteristic,placement_stability,number,percentage
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,Total children,7270,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,With 1 placement during the year,4180,57
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,With 2 placements during the year,2470,34
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,With 3 or more placements during the year,630,9
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,Total children,25890,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,With 1 placement during the year,20120,78
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,With 2 placements during the year,3710,14
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,With 3 or more placements during the year,2070,8
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,Total children,14040,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,With 1 placement during the year,9290,66
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,With 2 placements during the year,2910,21
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,With 3 or more placements during the year,1840,13
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,Total children,11150,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,With 1 placement during the year,8490,76
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,With 2 placements during the year,2040,18
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,With 3 or more placements during the year,610,6
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Total children,Total children,58350,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Total children,With 1 placement during the year,42080,72
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Total children,With 2 placements during the year,11130,19
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Total children,With 3 or more placements during the year,5150,9
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Under 1 year,Total children,c,c
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Under 1 year,With 1 placement during the year,c,c
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Under 1 year,With 2 placements during the year,0,0
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Under 1 year,With 3 or more placements during the year,0,0
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1. Total White,Total children,44980,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1. Total White,With 1 placement during the year,32560,72
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1. Total White,With 2 placements during the year,8470,19
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1. Total White,With 3 or more placements during the year,3940,9
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1a. White British,Total children,42310,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1a. White British,With 1 placement during the year,30650,72
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1a. White British,With 2 placements during the year,7950,19
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1a. White British,With 3 or more placements during the year,3710,9
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1b. White Irish,Total children,140,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1b. White Irish,With 1 placement during the year,100,72
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1b. White Irish,With 2 placements during the year,20,16
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1b. White Irish,With 3 or more placements during the year,20,12
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Total children,130,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1c. Traveller of Irish Heritage,With 1 placement during the year,80,60
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1c. Traveller of Irish Heritage,With 2 placements during the year,40,29
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1c. Traveller of Irish Heritage,With 3 or more placements during the year,20,12
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1d. Gypsy Roma,Total children,450,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1d. Gypsy Roma,With 1 placement during the year,320,72
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1d. Gypsy Roma,With 2 placements during the year,90,19
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1d. Gypsy Roma,With 3 or more placements during the year,40,9
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1e. Any other White background,Total children,1950,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1e. Any other White background,With 1 placement during the year,1420,73
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1e. Any other White background,With 2 placements during the year,380,19
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1e. Any other White background,With 3 or more placements during the year,160,8
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Total children,6270,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,With 1 placement during the year,4490,72
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,With 2 placements during the year,1200,19
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,With 3 or more placements during the year,580,9
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2a. White and Black Caribbean,Total children,2150,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2a. White and Black Caribbean,With 1 placement during the year,1530,71
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2a. White and Black Caribbean,With 2 placements during the year,410,19
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2a. White and Black Caribbean,With 3 or more placements during the year,210,10
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2b. White and Black African,Total children,720,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2b. White and Black African,With 1 placement during the year,520,73
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2b. White and Black African,With 2 placements during the year,140,19
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2b. White and Black African,With 3 or more placements during the year,60,8
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2c. White and Asian,Total children,1330,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2c. White and Asian,With 1 placement during the year,990,74
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2c. White and Asian,With 2 placements during the year,240,18
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2c. White and Asian,With 3 or more placements during the year,110,8
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2d. Any other Mixed background,Total children,2080,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2d. Any other Mixed background,With 1 placement during the year,1450,70
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2d. Any other Mixed background,With 2 placements during the year,420,20
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2d. Any other Mixed background,With 3 or more placements during the year,210,10
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3. Total Asian or Asian British,Total children,2180,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3. Total Asian or Asian British,With 1 placement during the year,1600,73
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3. Total Asian or Asian British,With 2 placements during the year,440,20
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3. Total Asian or Asian British,With 3 or more placements during the year,140,7
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3a. Indian,Total children,220,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3a. Indian,With 1 placement during the year,170,78
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3a. Indian,With 2 placements during the year,30,15
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3a. Indian,With 3 or more placements during the year,20,7
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3b. Pakistani,Total children,700,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3b. Pakistani,With 1 placement during the year,510,73
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3b. Pakistani,With 2 placements during the year,140,20
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3b. Pakistani,With 3 or more placements during the year,50,7
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3c. Bangladeshi,Total children,300,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3c. Bangladeshi,With 1 placement during the year,220,71
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3c. Bangladeshi,With 2 placements during the year,70,24
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3c. Bangladeshi,With 3 or more placements during the year,20,5
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3d. Chinese,Total children,70,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3d. Chinese,With 1 placement during the year,60,85
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3d. Chinese,With 2 placements during the year,10,12
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3d. Chinese,With 3 or more placements during the year,c,c
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3e. Any other Asian background,Total children,890,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3e. Any other Asian background,With 1 placement during the year,640,72
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3e. Any other Asian background,With 2 placements during the year,180,21
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,3e. Any other Asian background,With 3 or more placements during the year,60,7
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Total children,3430,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",With 1 placement during the year,2380,70
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",With 2 placements during the year,690,20
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",With 3 or more placements during the year,360,10
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4a. Caribbean,Total children,960,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4a. Caribbean,With 1 placement during the year,650,68
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4a. Caribbean,With 2 placements during the year,190,20
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4a. Caribbean,With 3 or more placements during the year,120,12
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4b. African,Total children,1640,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4b. African,With 1 placement during the year,1160,71
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4b. African,With 2 placements during the year,320,20
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4b. African,With 3 or more placements during the year,160,10
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4c. Any other Black background,Total children,830,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4c. Any other Black background,With 1 placement during the year,570,69
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4c. Any other Black background,With 2 placements during the year,180,21
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,4c. Any other Black background,With 3 or more placements during the year,80,10
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,5. Total other ethnic group,Total children,1300,100
2022,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,5. Total other ethnic group,With 1 placement during the year,920,71
