time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2022,Reporting year,National,E92000001,England,Age at adoption,1 to 4 years,2280,77
2022,Reporting year,National,E92000001,England,Age at adoption,10 to 15 years,30,1
2022,Reporting year,National,E92000001,England,Age at adoption,16 years and over,c,c
2022,Reporting year,National,E92000001,England,Age at adoption,5 to 9 years,520,18
2022,Reporting year,National,E92000001,England,Age at Adoption,Average age (years:months),03:03,z
2022,Reporting year,National,E92000001,England,Age at adoption,Total,2950,100
2022,Reporting year,National,E92000001,England,Age at adoption,Under 1 year,120,4
2022,Reporting year,National,E92000001,England,Age on starting final period of care,1 year,330,11
2022,Reporting year,National,E92000001,England,Age on starting final period of care,2 years,250,9
2022,Reporting year,National,E92000001,England,Age on starting final period of care,3 years,190,7
2022,Reporting year,National,E92000001,England,Age on starting final period of care,4 years and over,150,5
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Average age (years:months),00:11,z
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Total,2950,100
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Under 1 year,2030,69
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,2260,77
2022,Reporting year,National,E92000001,England,Category of need,N2. Child disability,10,k
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,100,3
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,170,6
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,360,12
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,10,k
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,c,c
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,40,1
2022,Reporting year,National,E92000001,England,Category of need,Total,2950,100
2022,Reporting year,National,E92000001,England,Duration of final period of care,1 to 2 years,1230,42
2022,Reporting year,National,E92000001,England,Duration of final period of care,2 to 3 years,1070,36
2022,Reporting year,National,E92000001,England,Duration of final period of care,3 years and over,520,18
2022,Reporting year,National,E92000001,England,Duration of final period of care,Average duration (years:months),02:03,z
2022,Reporting year,National,E92000001,England,Duration of final period of care,Total,2950,100
2022,Reporting year,National,E92000001,England,Duration of final period of care,Under 1 year,130,4
2022,Reporting year,National,E92000001,England,Ethnic origin,Asian or Asian British,40,1
2022,Reporting year,National,E92000001,England,Ethnic origin,"Black, African, Caribbean or Black British",60,2
2022,Reporting year,National,E92000001,England,Ethnic origin,Mixed or Multiple ethnic group,340,12
2022,Reporting year,National,E92000001,England,Ethnic origin,Other ethnic group,30,1
2022,Reporting year,National,E92000001,England,Ethnic origin,Refused or information not yet available,50,2
2022,Reporting year,National,E92000001,England,Ethnic origin,Total,2950,100
2022,Reporting year,National,E92000001,England,Ethnic origin,White,2440,82
2022,Reporting year,National,E92000001,England,Final legal status,Care order,30,1
2022,Reporting year,National,E92000001,England,Final legal status,Freed for adoption,0,0
2022,Reporting year,National,E92000001,England,Final legal status,Placement order,2860,97
2022,Reporting year,National,E92000001,England,Final legal status,Total,2950,100
2022,Reporting year,National,E92000001,England,Final legal status,Voluntary agreement,60,2
2022,Reporting year,National,E92000001,England,Gender,Female,1400,47
2022,Reporting year,National,E92000001,England,Gender,Male,1550,53
2022,Reporting year,National,E92000001,England,Gender,Total,2950,100
2021,Reporting year,National,E92000001,England,Age at adoption,1 to 4 years,2240,78
2021,Reporting year,National,E92000001,England,Age at adoption,10 to 15 years,40,1
2021,Reporting year,National,E92000001,England,Age at adoption,16 years and over,10,k
2021,Reporting year,National,E92000001,England,Age at adoption,5 to 9 years,480,17
2021,Reporting year,National,E92000001,England,Age at Adoption,Average age (years:months),03:03,z
2021,Reporting year,National,E92000001,England,Age at adoption,Total,2890,100
2021,Reporting year,National,E92000001,England,Age at adoption,Under 1 year,120,4
2021,Reporting year,National,E92000001,England,Age on starting final period of care,1 year,290,10
2021,Reporting year,National,E92000001,England,Age on starting final period of care,2 years,220,8
2021,Reporting year,National,E92000001,England,Age on starting final period of care,3 years,160,5
2021,Reporting year,National,E92000001,England,Age on starting final period of care,4 years and over,230,8
2021,Reporting year,National,E92000001,England,Age on starting final period of care,Average age (years:months),01:00,z
2021,Reporting year,National,E92000001,England,Age on starting final period of care,Total,2890,100
2021,Reporting year,National,E92000001,England,Age on starting final period of care,Under 1 year,2000,69
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,2210,76
2021,Reporting year,National,E92000001,England,Category of need,N2. Child disability,10,k
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,100,4
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,140,5
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,360,12
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,10,k
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,c,c
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,60,2
2021,Reporting year,National,E92000001,England,Category of need,Total,2890,100
2021,Reporting year,National,E92000001,England,Duration of final period of care,1 to 2 years,1360,47
2021,Reporting year,National,E92000001,England,Duration of final period of care,2 to 3 years,970,33
2021,Reporting year,National,E92000001,England,Duration of final period of care,3 years and over,440,15
2021,Reporting year,National,E92000001,England,Duration of final period of care,Average duration (years:months),02:02,z
2021,Reporting year,National,E92000001,England,Duration of final period of care,Total,2890,100
2021,Reporting year,National,E92000001,England,Duration of final period of care,Under 1 year,130,5
2021,Reporting year,National,E92000001,England,Ethnic origin,Asian or Asian British,50,2
2021,Reporting year,National,E92000001,England,Ethnic origin,"Black, African, Caribbean or Black British",50,2
2021,Reporting year,National,E92000001,England,Ethnic origin,Mixed or Multiple ethnic group,280,10
2021,Reporting year,National,E92000001,England,Ethnic origin,Other ethnic group,40,1
2021,Reporting year,National,E92000001,England,Ethnic origin,Refused or information not yet available,50,2
2021,Reporting year,National,E92000001,England,Ethnic origin,Total,2890,100
2021,Reporting year,National,E92000001,England,Ethnic origin,White,2430,84
2021,Reporting year,National,E92000001,England,Final legal status,Care order,50,2
2021,Reporting year,National,E92000001,England,Final legal status,Freed for adoption,0,0
2021,Reporting year,National,E92000001,England,Final legal status,Placement order,2780,96
2021,Reporting year,National,E92000001,England,Final legal status,Total,2890,100
2021,Reporting year,National,E92000001,England,Final legal status,Voluntary agreement,60,2
2021,Reporting year,National,E92000001,England,Gender,Female,1370,47
2021,Reporting year,National,E92000001,England,Gender,Male,1520,53
2021,Reporting year,National,E92000001,England,Gender,Total,2890,100
2020,Reporting year,National,E92000001,England,Age at adoption,1 to 4 years,2680,77
2020,Reporting year,National,E92000001,England,Age at adoption,10 to 15 years,50,1
2020,Reporting year,National,E92000001,England,Age at adoption,16 years and over,10,k
2020,Reporting year,National,E92000001,England,Age at adoption,5 to 9 years,520,15
2020,Reporting year,National,E92000001,England,Age at Adoption,Average age (years:months),03:00,z
2020,Reporting year,National,E92000001,England,Age at adoption,Total,3480,100
