time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,stay_put,number,percentage
2022,Reporting year,National,E92000001,England,,,,,,Aged 18,Total living with former foster carers in the current year,2240,62
2022,Reporting year,National,E92000001,England,,,,,,Aged 18,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3630,100
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 20,Total living with former foster carers in the current year,2190,31
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 20,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,6980,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 18,Total living with former foster carers in the current year,130,66
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 18,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,200,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 20,Total living with former foster carers in the current year,120,33
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 20,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,360,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 18,Total living with former foster carers in the current year,280,61
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 18,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,460,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 20,Total living with former foster carers in the current year,300,35
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 20,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,850,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 18,Total living with former foster carers in the current year,220,65
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 18,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,340,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 19 to 20,Total living with former foster carers in the current year,240,37
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 19 to 20,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,650,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 18,Total living with former foster carers in the current year,150,64
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 18,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,240,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 20,Total living with former foster carers in the current year,130,30
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 20,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,430,100
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 18,Total living with former foster carers in the current year,260,60
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 18,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,430,100
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 20,Total living with former foster carers in the current year,250,33
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 20,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,750,100
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 18,Total living with former foster carers in the current year,200,62
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 18,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,320,100
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 20,Total living with former foster carers in the current year,200,31
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 20,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,630,100
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 18,Total living with former foster carers in the current year,500,62
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 18,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,810,100
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 20,Total living with former foster carers in the current year,460,29
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 20,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,1580,100
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 18,Total living with former foster carers in the current year,280,57
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 18,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,490,100
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 20,Total living with former foster carers in the current year,290,27
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 20,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,1050,100
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 18,Total living with former foster carers in the current year,200,61
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 18,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,340,100
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 20,Total living with former foster carers in the current year,210,30
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 20,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,690,100
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 18,Total living with former foster carers in the current year,250,68
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 18,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,360,100
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 19 to 20,Total living with former foster carers in the current year,220,32
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 19 to 20,Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,690,100
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 18,Total living with former foster carers in the current year,260,57
