time_period,time_identifier,geographic_level,country_code,country_name,population_group,characteristic,placement_stability,number,percentage
2022,Reporting year,National,E92000001,England,Age group,1 to 4 years,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",1230,67
2022,Reporting year,National,E92000001,England,Age group,1 to 4 years,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",610,33
2022,Reporting year,National,E92000001,England,Age group,1 to 4 years,Total children,1840,100
2022,Reporting year,National,E92000001,England,Age group,10 to 15 years,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",14700,71
2022,Reporting year,National,E92000001,England,Age group,10 to 15 years,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",6030,29
2022,Reporting year,National,E92000001,England,Age group,10 to 15 years,Total children,20730,100
2022,Reporting year,National,E92000001,England,Age group,5 to 9 years,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",5050,72
2022,Reporting year,National,E92000001,England,Age group,5 to 9 years,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",1940,28
2022,Reporting year,National,E92000001,England,Age group,5 to 9 years,Total children,6990,100
2022,Reporting year,National,E92000001,England,Age group,Total children,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",20980,71
2022,Reporting year,National,E92000001,England,Age group,Total children,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",8570,29
2022,Reporting year,National,E92000001,England,Age group,Total children,Total children,29550,100
2022,Reporting year,National,E92000001,England,Ethnicity,1. Total White,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",16740,71
2022,Reporting year,National,E92000001,England,Ethnicity,1. Total White,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",6770,29
2022,Reporting year,National,E92000001,England,Ethnicity,1. Total White,Total children,23510,100
2022,Reporting year,National,E92000001,England,Ethnicity,1a. White British,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",15840,71
2022,Reporting year,National,E92000001,England,Ethnicity,1a. White British,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",6410,29
2022,Reporting year,National,E92000001,England,Ethnicity,1a. White British,Total children,22240,100
2022,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",50,74
2022,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",20,26
2022,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,Total children,70,100
2022,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",40,57
2022,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",30,43
2022,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,Total children,60,100
2022,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",180,75
2022,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",60,25
2022,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,Total children,230,100
2022,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",640,71
2022,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",260,29
2022,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,Total children,900,100
2022,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",2390,71
2022,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",990,29
2022,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,Total children,3380,100
2022,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",800,68
2022,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",370,32
2022,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,Total children,1180,100
2022,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",300,75
2022,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",100,25
2022,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,Total children,400,100
2022,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",540,73
2022,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",200,27
2022,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,Total children,730,100
2022,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",760,70
2022,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",320,30
2022,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,Total children,1070,100
2022,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",570,71
2022,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",230,29
2022,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,Total children,800,100
2022,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",80,77
2022,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",20,23
2022,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,Total children,110,100
2022,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,"Living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",230,69
2022,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,"Not living in the same placement for at least 2 years, or are placed for adoption and their adoption and their adoptive placement together with their previous placement, last for at least 2 years",100,31
