time_period,time_identifier,geographic_level,country_code,country_name,age_group,CLA_group,characteristic,measure,number,percentage
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Female,Gender,11620,41
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,4830,17
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,1670,6
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in training or employment,Activity of care leaver,5060,18
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,1750,6
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,In touch with care leaver,LA in-touch with the care leaver,25120,88
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,LA not in touch,Activity of care leaver,1600,6
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Male,Gender,16870,59
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Not in touch with care leaver,LA in-touch with the care leaver,2040,7
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to illness or disability,Activity of care leaver,2840,10
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to other reasons,Activity of care leaver,6350,22
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,1910,7
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,880,3
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,80,k
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in training or employment,Activity of care leaver,2120,7
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total activity of care leavers,Activity of care leaver,28490,100
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total gender,Gender,28490,100
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in apprenticeship,Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in education other than higher education,Activity of care leaver,5710,20
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in touch,LA in-touch with the care leaver,28490,100
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in training or employment,Activity of care leaver,7180,25
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total information not known,Activity of care leaver,2770,10
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,"Total not in education, training or employment",Activity of care leaver,11090,39
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person no longer requires services,LA in-touch with the care leaver,760,3
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person no longer requires services from LA,Activity of care leaver,690,2
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person refuses contact,LA in-touch with the care leaver,570,2
2018,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person refuses contact from LA,Activity of care leaver,480,2
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Female,Gender,11830,40
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,5270,18
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,1780,6
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in training or employment,Activity of care leaver,5300,18
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,1860,6
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,In touch with care leaver,LA in-touch with the care leaver,26660,89
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,LA not in touch,Activity of care leaver,1790,6
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Male,Gender,18080,60
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Not in touch with care leaver,LA in-touch with the care leaver,2180,7
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to illness or disability,Activity of care leaver,2820,9
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to other reasons,Activity of care leaver,6850,23
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,1890,6
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,910,3
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,80,k
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in training or employment,Activity of care leaver,2300,8
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total activity of care leavers,Activity of care leaver,29910,100
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total gender,Gender,29910,100
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in apprenticeship,Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in education other than higher education,Activity of care leaver,6180,21
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in touch,LA in-touch with the care leaver,29910,100
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in training or employment,Activity of care leaver,7600,25
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total information not known,Activity of care leaver,2720,9
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,"Total not in education, training or employment",Activity of care leaver,11550,39
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person no longer requires services,LA in-touch with the care leaver,580,2
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person no longer requires services from LA,Activity of care leaver,530,2
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person refuses contact,LA in-touch with the care leaver,490,2
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person refuses contact from LA,Activity of care leaver,400,1
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Female,Gender,12080,39
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,5300,17
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,1840,6
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,z,z
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in training or employment,Activity of care leaver,5550,18
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,1920,6
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,In touch with care leaver,LA in-touch with the care leaver,28050,90
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,LA not in touch,Activity of care leaver,1820,6
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Male,Gender,19170,61
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Not in touch with care leaver,LA in-touch with the care leaver,2060,7
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to illness or disability,Activity of care leaver,2630,8
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to other reasons,Activity of care leaver,7490,24
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,1920,6
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,1010,3
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,90,k
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,z,z
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in training or employment,Activity of care leaver,2660,8
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total activity of care leavers,Activity of care leaver,31250,100
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total gender,Gender,31250,100
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in apprenticeship,Activity of care leaver,z,z
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in education other than higher education,Activity of care leaver,6310,20
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in touch,LA in-touch with the care leaver,31250,100
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in training or employment,Activity of care leaver,8200,26
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total information not known,Activity of care leaver,2780,9
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,"Total not in education, training or employment",Activity of care leaver,12040,39
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person no longer requires services,LA in-touch with the care leaver,650,2
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person no longer requires services from LA,Activity of care leaver,570,2
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person refuses contact,LA in-touch with the care leaver,490,2
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person refuses contact from LA,Activity of care leaver,380,1
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Female,Gender,12170,37
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,6220,19
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,1960,6
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,z,z
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in training or employment,Activity of care leaver,5190,16
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,2040,6
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,In touch with care leaver,LA in-touch with the care leaver,29700,91
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,LA not in touch,Activity of care leaver,1460,4
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Male,Gender,20330,63
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Not in touch with care leaver,LA in-touch with the care leaver,1740,5
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to illness or disability,Activity of care leaver,2340,7
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to other reasons,Activity of care leaver,9060,28
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,1850,6
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,1050,3
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,70,k
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,z,z
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in training or employment,Activity of care leaver,2390,7
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total activity of care leavers,Activity of care leaver,32490,100
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total gender,Gender,32490,100
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in apprenticeship,Activity of care leaver,z,z
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in education other than higher education,Activity of care leaver,7280,22
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in touch,LA in-touch with the care leaver,32490,100
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in training or employment,Activity of care leaver,7580,23
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total information not known,Activity of care leaver,2350,7
