time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,cla_group,characteristic,number,percentage
2022,Reporting year,National,E92000001,England,,,,,,Age group,1 to 4 years,4760,15
2022,Reporting year,National,E92000001,England,,,,,,Age group,10 to 15 years,8240,27
2022,Reporting year,National,E92000001,England,,,,,,Age group,16 years and over,7900,25
2022,Reporting year,National,E92000001,England,,,,,,Age group,5 to 9 years,4710,15
2022,Reporting year,National,E92000001,England,,,,,,Age group,Total,31010,100
2022,Reporting year,National,E92000001,England,,,,,,Age group,Under 1 year,5410,17
2022,Reporting year,National,E92000001,England,,,,,,Category of need,N1. Abuse or neglect,17870,58
2022,Reporting year,National,E92000001,England,,,,,,Category of need,N2. Child's disability,550,2
2022,Reporting year,National,E92000001,England,,,,,,Category of need,N3. Parental illness or disability,740,2
2022,Reporting year,National,E92000001,England,,,,,,Category of need,N4. Family acute stress,2330,7
2022,Reporting year,National,E92000001,England,,,,,,Category of need,N5. Family dysfunction,3400,11
2022,Reporting year,National,E92000001,England,,,,,,Category of need,N6. Socially unacceptable behaviour,590,2
2022,Reporting year,National,E92000001,England,,,,,,Category of need,N7. Low income,40,k
2022,Reporting year,National,E92000001,England,,,,,,Category of need,N8. Absent parenting,5490,18
2022,Reporting year,National,E92000001,England,,,,,,Category of need,Total,31010,100
2022,Reporting year,National,E92000001,England,,,,,,Gender,Female,12470,40
2022,Reporting year,National,E92000001,England,,,,,,Gender,Male,18550,60
2022,Reporting year,National,E92000001,England,,,,,,Gender,Total,31010,100
2022,Reporting year,National,E92000001,England,,,,,,Legal status,Child assessment order and in LA accommodation,10,k
2022,Reporting year,National,E92000001,England,,,,,,Legal status,Emergency protection order,530,2
2022,Reporting year,National,E92000001,England,,,,,,Legal status,Full care order,220,1
2022,Reporting year,National,E92000001,England,,,,,,Legal status,Interim care order,10110,33
2022,Reporting year,National,E92000001,England,,,,,,Legal status,LA accommodation under PACE 1989,10,k
2022,Reporting year,National,E92000001,England,,,,,,Legal status,Placement order granted,10,k
2022,Reporting year,National,E92000001,England,,,,,,Legal status,Police protection in LA accommodation,2840,9
2022,Reporting year,National,E92000001,England,,,,,,Legal status,Remand,470,2
2022,Reporting year,National,E92000001,England,,,,,,Legal status,Sentenced to youth rehabilitation order,c,c
2022,Reporting year,National,E92000001,England,,,,,,Legal status,Total,31010,100
2022,Reporting year,National,E92000001,England,,,,,,Legal status,Voluntary agreement under S20,16830,54
2022,Reporting year,National,E92000001,England,,,,,,Taken into care,All children taken into care,13700,44
2022,Reporting year,National,E92000001,England,,,,,,Taken into care,Not taken into care,17320,56
2022,Reporting year,National,E92000001,England,,,,,,Taken into care,Total children,31010,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age group,1 to 4 years,480,22
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age group,10 to 15 years,560,25
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age group,16 years and over,250,11
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age group,5 to 9 years,470,21
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age group,Total,2230,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age group,Under 1 year,470,21
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N1. Abuse or neglect,1590,71
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N2. Child's disability,30,1
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N3. Parental illness or disability,30,1
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N4. Family acute stress,210,9
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N5. Family dysfunction,250,11
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N6. Socially unacceptable behaviour,20,1
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N7. Low income,0,0
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N8. Absent parenting,100,4
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,Total,2230,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Gender,Female,990,44
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Gender,Male,1250,56
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Gender,Total,2230,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Legal status,Child assessment order and in LA accommodation,0,0
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Legal status,Emergency protection order,c,c
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Legal status,Full care order,20,1
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Legal status,Interim care order,690,31
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Legal status,LA accommodation under PACE 1989,c,c
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Legal status,Placement order granted,0,0
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Legal status,Police protection in LA accommodation,190,9
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Legal status,Remand,20,1
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Legal status,Sentenced to youth rehabilitation order,0,0
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Legal status,Total,2230,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Legal status,Voluntary agreement under S20,1310,59
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Taken into care,All children taken into care,900,40
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Taken into care,Not taken into care,1330,60
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Taken into care,Total children,2230,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Age group,1 to 4 years,830,18
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Age group,10 to 15 years,1210,26
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Age group,16 years and over,850,18
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Age group,5 to 9 years,820,18
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Age group,Total,4600,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Age group,Under 1 year,900,20
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Category of need,N1. Abuse or neglect,3160,69
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Category of need,N2. Child's disability,90,2
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Category of need,N3. Parental illness or disability,70,1
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Category of need,N4. Family acute stress,310,7
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Category of need,N5. Family dysfunction,480,10
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Category of need,N6. Socially unacceptable behaviour,60,1
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Category of need,N7. Low income,c,c
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Category of need,N8. Absent parenting,450,10
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Category of need,Total,4600,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Gender,Female,2000,43
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Gender,Male,2600,57
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Gender,Total,4600,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Legal status,Child assessment order and in LA accommodation,c,c
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Legal status,Emergency protection order,40,1
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Legal status,Full care order,10,k
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Legal status,Interim care order,2070,45
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Legal status,LA accommodation under PACE 1989,c,c
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Legal status,Placement order granted,0,0
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Legal status,Police protection in LA accommodation,320,7
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Legal status,Remand,60,1
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Legal status,Sentenced to youth rehabilitation order,0,0
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Legal status,Total,4600,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Legal status,Voluntary agreement under S20,2110,46
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Taken into care,All children taken into care,2430,53
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Taken into care,Not taken into care,2170,47
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Taken into care,Total children,4600,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Age group,1 to 4 years,580,19
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Age group,10 to 15 years,770,25
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Age group,16 years and over,530,17
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Age group,5 to 9 years,570,18
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Age group,Total,3110,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Age group,Under 1 year,660,21
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Category of need,N1. Abuse or neglect,2430,78
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Category of need,N2. Child's disability,30,1
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Category of need,N3. Parental illness or disability,50,1
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Category of need,N4. Family acute stress,130,4
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Category of need,N5. Family dysfunction,150,5
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Category of need,N6. Socially unacceptable behaviour,40,1
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Category of need,N7. Low income,0,0
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Category of need,N8. Absent parenting,270,9
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Category of need,Total,3110,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Gender,Female,1350,43
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Gender,Male,1760,57
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Gender,Total,3110,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Legal status,Child assessment order and in LA accommodation,0,0
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Legal status,Emergency protection order,40,1
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Legal status,Full care order,20,k
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Legal status,Interim care order,1370,44
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Legal status,LA accommodation under PACE 1989,c,c
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Legal status,Placement order granted,0,0
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Legal status,Police protection in LA accommodation,300,10
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Legal status,Remand,50,2
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Legal status,Sentenced to youth rehabilitation order,0,0
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Legal status,Total,3110,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Legal status,Voluntary agreement under S20,1330,43
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Taken into care,All children taken into care,1730,56
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Taken into care,Not taken into care,1380,44
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Taken into care,Total children,3110,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Age group,1 to 4 years,370,16
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Age group,10 to 15 years,610,26
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Age group,16 years and over,490,21
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Age group,5 to 9 years,390,16
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Age group,Total,2360,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Age group,Under 1 year,500,21
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Category of need,N1. Abuse or neglect,1390,59
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Category of need,N2. Child's disability,40,2
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Category of need,N3. Parental illness or disability,90,4
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Category of need,N4. Family acute stress,130,5
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Category of need,N5. Family dysfunction,360,15
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Category of need,N6. Socially unacceptable behaviour,60,2
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Category of need,N7. Low income,10,k
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Category of need,N8. Absent parenting,280,12
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Category of need,Total,2360,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Gender,Female,1000,42
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Gender,Male,1360,58
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Gender,Total,2360,100
