time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,activity,number,percentage
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,Education other than higher education,5970,48
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,Higher education i.e. studies beyond A level,440,4
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,In an apprenticeship,230,2
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,In training or employment,z,z
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,In training or employment (excl. apprenticeship),1580,13
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",380,3
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",2770,22
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",260,2
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,Total,12350,100
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,"Total in education, employment or training",8210,66
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,Total information not known,740,6
2022,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,"Total not in education, employment or training",3400,28
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,Education other than higher education,7670,23
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,Higher education i.e. studies beyond A level,2230,7
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,In an apprenticeship,550,2
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,In training or employment,z,z
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,In training or employment (excl. apprenticeship),8160,24
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",2370,7
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",8580,26
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",1700,5
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,Total,33590,100
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,"Total in education, employment or training",18610,55
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,Total information not known,2320,7
2022,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,"Total not in education, employment or training",12650,38
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,Education other than higher education,260,44
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,Higher education i.e. studies beyond A level,20,3
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,In an apprenticeship,20,3
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,In training or employment (excl. apprenticeship),100,17
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",20,4
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",120,20
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",20,3
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,Total,590,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,"Total in education, employment or training",400,67
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,Total information not known,40,6
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,"Total not in education, employment or training",160,27
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,Education other than higher education,240,16
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,Higher education i.e. studies beyond A level,110,7
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,In an apprenticeship,40,2
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,In training or employment (excl. apprenticeship),400,27
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",150,10
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",350,23
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",100,7
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,Total,1480,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,"Total in education, employment or training",780,52
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,Total information not known,100,7
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,"Total not in education, employment or training",600,41
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,Education other than higher education,770,42
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,Higher education i.e. studies beyond A level,60,4
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,In an apprenticeship,50,3
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,In training or employment (excl. apprenticeship),260,14
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",70,4
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",470,26
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",40,2
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,Total,1830,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,"Total in education, employment or training",1140,62
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,Total information not known,100,6
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,"Total not in education, employment or training",580,32
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,Education other than higher education,840,18
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,Higher education i.e. studies beyond A level,310,7
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,In an apprenticeship,90,2
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,In training or employment,z,z
