time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,reason_for_change,number,percentage
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,All Placements,8510,16
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Allegation (s47),80,1
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Approval removed,60,1
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Carer requests placement end other than due to child's behaviour,540,6
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Carer requests placement ends due to child's behaviour,210,2
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Change in the status of a placement only,1750,21
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Change to/Implementation of care plan,3890,46
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Child requests placement to end,10,k
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Custody,c,c
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Other,1630,19
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Resignation or closure of provision,40,k
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Responsible/Area authority requests placement to end,180,2
2022,Reporting year,National,E92000001,England,Age,1 to 4 years,Standards of care concern,130,2
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,All Placements,19030,35
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Allegation (s47),200,1
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Approval removed,80,k
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Carer requests placement end other than due to child's behaviour,1470,8
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Carer requests placement ends due to child's behaviour,2970,16
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Change in the status of a placement only,3220,17
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Change to/Implementation of care plan,5330,28
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Child requests placement to end,730,4
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Custody,30,k
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Other,4360,23
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Resignation or closure of provision,160,1
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Responsible/Area authority requests placement to end,250,1
2022,Reporting year,National,E92000001,England,Age,10 to 15 years,Standards of care concern,240,1
2022,Reporting year,National,E92000001,England,Age,16 years and over,All Placements,14070,26
2022,Reporting year,National,E92000001,England,Age,16 years and over,Allegation (s47),60,k
2022,Reporting year,National,E92000001,England,Age,16 years and over,Approval removed,40,k
2022,Reporting year,National,E92000001,England,Age,16 years and over,Carer requests placement end other than due to child's behaviour,560,4
2022,Reporting year,National,E92000001,England,Age,16 years and over,Carer requests placement ends due to child's behaviour,1640,12
2022,Reporting year,National,E92000001,England,Age,16 years and over,Change in the status of a placement only,1530,11
2022,Reporting year,National,E92000001,England,Age,16 years and over,Change to/Implementation of care plan,4620,33
2022,Reporting year,National,E92000001,England,Age,16 years and over,Child requests placement to end,1260,9
2022,Reporting year,National,E92000001,England,Age,16 years and over,Custody,130,1
2022,Reporting year,National,E92000001,England,Age,16 years and over,Other,3740,27
2022,Reporting year,National,E92000001,England,Age,16 years and over,Resignation or closure of provision,130,1
2022,Reporting year,National,E92000001,England,Age,16 years and over,Responsible/Area authority requests placement to end,270,2
