time_period,time_identifier,geographic_level,country_code,country_name,change_measure,social_worker_stability,number,percentage
2020,Reporting year,National,E92000001,England,Social worker changes over 12 months,Total children,77110,100
2020,Reporting year,National,E92000001,England,Social worker changes over 12 months,With five social worker changes,470,1
2020,Reporting year,National,E92000001,England,Social worker changes over 12 months,With four social worker changes,1590,2
2020,Reporting year,National,E92000001,England,Social worker changes over 12 months,With no social worker change,30410,39
2020,Reporting year,National,E92000001,England,Social worker changes over 12 months,With one social worker change,26130,34
2020,Reporting year,National,E92000001,England,Social worker changes over 12 months,With seven or more social worker changes,50,k
2020,Reporting year,National,E92000001,England,Social worker changes over 12 months,With six social worker changes,100,k
2020,Reporting year,National,E92000001,England,Social worker changes over 12 months,With three social worker changes,5030,7
2020,Reporting year,National,E92000001,England,Social worker changes over 12 months,With two social worker changes,13340,17
2020,Reporting year,National,E92000001,England,Social worker changes over 24 months,Total children,77110,100
2020,Reporting year,National,E92000001,England,Social worker changes over 24 months,With five social worker changes,3060,4
2020,Reporting year,National,E92000001,England,Social worker changes over 24 months,With four social worker changes,6320,8
2020,Reporting year,National,E92000001,England,Social worker changes over 24 months,With no social worker change,14990,19
2020,Reporting year,National,E92000001,England,Social worker changes over 24 months,With one social worker change,20700,27
2020,Reporting year,National,E92000001,England,Social worker changes over 24 months,With seven or more social worker changes,880,1
2020,Reporting year,National,E92000001,England,Social worker changes over 24 months,With six social worker changes,1400,2
2020,Reporting year,National,E92000001,England,Social worker changes over 24 months,With three social worker changes,11770,15
2020,Reporting year,National,E92000001,England,Social worker changes over 24 months,With two social worker changes,17990,23
2019,Reporting year,National,E92000001,England,Social worker changes over 12 months,Total children,74220,100
2019,Reporting year,National,E92000001,England,Social worker changes over 12 months,With five social worker changes,470,1
2019,Reporting year,National,E92000001,England,Social worker changes over 12 months,With four social worker changes,1580,2
2019,Reporting year,National,E92000001,England,Social worker changes over 12 months,With no social worker change,28970,39
2019,Reporting year,National,E92000001,England,Social worker changes over 12 months,With one social worker change,25110,34
2019,Reporting year,National,E92000001,England,Social worker changes over 12 months,With seven or more social worker changes,30,k
2019,Reporting year,National,E92000001,England,Social worker changes over 12 months,With six social worker changes,130,k
2019,Reporting year,National,E92000001,England,Social worker changes over 12 months,With three social worker changes,4980,7
2019,Reporting year,National,E92000001,England,Social worker changes over 12 months,With two social worker changes,12960,17
2019,Reporting year,National,E92000001,England,Social worker changes over 24 months,Total children,74220,100
2019,Reporting year,National,E92000001,England,Social worker changes over 24 months,With five social worker changes,3010,4
2019,Reporting year,National,E92000001,England,Social worker changes over 24 months,With four social worker changes,6380,9
2019,Reporting year,National,E92000001,England,Social worker changes over 24 months,With no social worker change,13840,19
2019,Reporting year,National,E92000001,England,Social worker changes over 24 months,With one social worker change,19900,27
2019,Reporting year,National,E92000001,England,Social worker changes over 24 months,With seven or more social worker changes,860,1
2019,Reporting year,National,E92000001,England,Social worker changes over 24 months,With six social worker changes,1320,2
2019,Reporting year,National,E92000001,England,Social worker changes over 24 months,With three social worker changes,11460,15
2019,Reporting year,National,E92000001,England,Social worker changes over 24 months,With two social worker changes,17450,24
