time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,population_count,population_estimate,number,rate_per_10000
2022,Reporting year,National,E92000001,England,,,,,,Children ceasing to be looked after each year,11774610,30070,26
2022,Reporting year,National,E92000001,England,,,,,,Children looked after at 31 March each year,11774610,82170,70
2022,Reporting year,National,E92000001,England,,,,,,Children starting to be looked after each year,11774610,31010,26
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children ceasing to be looked after each year,525300,2300,44
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children looked after at 31 March each year,525300,5750,110
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children starting to be looked after each year,525300,2230,42
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children ceasing to be looked after each year,1563190,4690,30
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children looked after at 31 March each year,1563190,15210,97
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children starting to be looked after each year,1563190,4600,29
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children ceasing to be looked after each year,1147650,3060,27
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children looked after at 31 March each year,1147650,9300,81
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children starting to be looked after each year,1147650,3110,27
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children ceasing to be looked after each year,990790,2330,24
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children looked after at 31 March each year,990790,6470,65
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children starting to be looked after each year,990790,2360,24
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children ceasing to be looked after each year,1293240,3220,25
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children looked after at 31 March each year,1293240,11400,88
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children starting to be looked after each year,1293240,3460,27
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children ceasing to be looked after each year,1330450,2430,18
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children looked after at 31 March each year,1330450,6700,50
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children starting to be looked after each year,1330450,2450,18
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children ceasing to be looked after each year,1898070,4920,26
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children looked after at 31 March each year,1898070,9960,52
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children starting to be looked after each year,1898070,5150,27
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children ceasing to be looked after each year,1938070,4810,25
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children looked after at 31 March each year,1938070,10840,56
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children starting to be looked after each year,1938070,5110,26
