time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2022,Reporting year,National,E92000001,England,Age group,1 to 4 years,11350,14
2022,Reporting year,National,E92000001,England,Age group,10 to 15 years,31700,39
2022,Reporting year,National,E92000001,England,Age group,16 years and over,20260,25
2022,Reporting year,National,E92000001,England,Age group,5 to 9 years,14890,18
2022,Reporting year,National,E92000001,England,Age group,Total children,82170,100
2022,Reporting year,National,E92000001,England,Age group,Under 1 year,3970,5
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,54270,66
2022,Reporting year,National,E92000001,England,Category of need,N2. Child's disability,2000,2
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,2210,3
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,6070,7
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,10820,13
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,910,1
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,90,k
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,5790,7
2022,Reporting year,National,E92000001,England,Category of need,Total children,82170,100
2022,Reporting year,National,E92000001,England,Ethnicity,1. Total White,59880,73
2022,Reporting year,National,E92000001,England,Ethnicity,1a. White British,55990,68
2022,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,180,k
2022,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,170,k
2022,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,550,1
2022,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,2990,4
2022,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,8570,10
2022,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,2820,3
2022,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,1020,1
2022,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,1780,2
2022,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,2950,4
2022,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,3920,5
2022,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,330,k
2022,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,1000,1
2022,Reporting year,National,E92000001,England,Ethnicity,3c. Bangladeshi,430,1
2022,Reporting year,National,E92000001,England,Ethnicity,3d. Chinese,100,k
2022,Reporting year,National,E92000001,England,Ethnicity,3e. Any other Asian background,2050,2
2022,Reporting year,National,E92000001,England,Ethnicity,"4. Total Black, African, Caribbean or Black British",5660,7
2022,Reporting year,National,E92000001,England,Ethnicity,4a. Caribbean,1290,2
