time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,cla_group,characteristic,number,percentage
2024,Reporting year,National,E92000001,England,,,,,,Adopted,Adopted - application unopposed,1810,61
2024,Reporting year,National,E92000001,England,,,,,,Adopted,Adopted - consent dispensed with,1170,39
2024,Reporting year,National,E92000001,England,,,,,,Adopted,Total,2980,100
2024,Reporting year,National,E92000001,England,,,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, other than relative or friend",90,2
2024,Reporting year,National,E92000001,England,,,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, who was/are a relative or friend",960,25
2024,Reporting year,National,E92000001,England,,,,,,Special guardianship orders,"Special guardianship order made to former foster carer, other than relative or friend",360,9
2024,Reporting year,National,E92000001,England,,,,,,Special guardianship orders,"Special guardianship order made to former foster carer, who was/are a relative or friend",2450,63
2024,Reporting year,National,E92000001,England,,,,,,Special guardianship orders,Total,3860,100
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Adopted,Adopted - application unopposed,170,61
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Adopted,Adopted - consent dispensed with,110,39
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Adopted,Total,270,100
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, other than relative or friend",c,c
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, who was/are a relative or friend",120,22
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Special guardianship orders,"Special guardianship order made to former foster carer, other than relative or friend",20,3
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Special guardianship orders,"Special guardianship order made to former foster carer, who was/are a relative or friend",390,74
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Special guardianship orders,Total,520,100
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Adopted,Adopted - application unopposed,290,61
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Adopted,Adopted - consent dispensed with,190,39
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Adopted,Total,480,100
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, other than relative or friend",10,1
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, who was/are a relative or friend",170,23
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Special guardianship orders,"Special guardianship order made to former foster carer, other than relative or friend",90,13
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Special guardianship orders,"Special guardianship order made to former foster carer, who was/are a relative or friend",460,63
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Special guardianship orders,Total,730,100
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Adopted,Adopted - application unopposed,190,49
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Adopted,Adopted - consent dispensed with,190,51
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Adopted,Total,380,100
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, other than relative or friend",20,3
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, who was/are a relative or friend",170,30
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Special guardianship orders,"Special guardianship order made to former foster carer, other than relative or friend",60,11
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Special guardianship orders,"Special guardianship order made to former foster carer, who was/are a relative or friend",320,56
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Special guardianship orders,Total,570,100
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Adopted,Adopted - application unopposed,170,67
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Adopted,Adopted - consent dispensed with,80,33
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Adopted,Total,250,100
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, other than relative or friend",20,7
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, who was/are a relative or friend",110,29
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Special guardianship orders,"Special guardianship order made to former foster carer, other than relative or friend",40,12
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Special guardianship orders,"Special guardianship order made to former foster carer, who was/are a relative or friend",190,53
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Special guardianship orders,Total,370,100
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Adopted,Adopted - application unopposed,310,70
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Adopted,Adopted - consent dispensed with,140,30
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Adopted,Total,450,100
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, other than relative or friend",10,4
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, who was/are a relative or friend",40,12
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Special guardianship orders,"Special guardianship order made to former foster carer, other than relative or friend",50,14
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Special guardianship orders,"Special guardianship order made to former foster carer, who was/are a relative or friend",230,70
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Special guardianship orders,Total,330,100
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Adopted,Adopted - application unopposed,210,72
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Adopted,Adopted - consent dispensed with,80,28
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Adopted,Total,280,100
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, other than relative or friend",c,c
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, who was/are a relative or friend",70,42
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Special guardianship orders,"Special guardianship order made to former foster carer, other than relative or friend",10,8
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Special guardianship orders,"Special guardianship order made to former foster carer, who was/are a relative or friend",80,48
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Special guardianship orders,Total,170,100
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Adopted,Adopted - application unopposed,130,61
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Adopted,Adopted - consent dispensed with,80,39
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Adopted,Total,210,100
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, other than relative or friend",10,2
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, who was/are a relative or friend",120,29
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Special guardianship orders,"Special guardianship order made to former foster carer, other than relative or friend",40,9
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Special guardianship orders,"Special guardianship order made to former foster carer, who was/are a relative or friend",250,60
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Special guardianship orders,Total,410,100
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Adopted,Adopted - application unopposed,200,52
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Adopted,Adopted - consent dispensed with,190,48
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Adopted,Total,390,100
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, other than relative or friend",c,c
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Special guardianship orders,"Special guardianship order made to carer, other than former foster carer, who was/are a relative or friend",110,24
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Special guardianship orders,"Special guardianship order made to former foster carer, other than relative or friend",30,7
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Special guardianship orders,"Special guardianship order made to former foster carer, who was/are a relative or friend",300,68
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Special guardianship orders,Total,430,100
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Adopted,Adopted - application unopposed,160,57
