"","Web.link","URN","Linked.Education.URN","Provision.type","Registration.date","Registration.status","Name","Address.1","Address.2","Town","County","Postcode","Ofsted.region","Government.Office.Region","Local.authority","Parliamentary.constituency","Sector","Places","Short.break.only.children.s.home","Multi.building.children.s.home","Organisation.which.owns.the.provider","Latest.full.inspection.event.type","Latest.full.inspection.date","Latest.full.inspection.publication.date","Latest.full.inspection.event.number","Overall.experiences.and.progress.of.children.and.young.people","Outcomes.in.education.and.related.learning.activities","Health.services","How.well.children.and.young.people.are.helped.and.protected","The.effectiveness.of.leaders.and.managers","X","X.1"
"1","Ofsted Social Care Provider Webpage","2611447",NA,"Children's home","02/06/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Buckinghamshire","Wycombe","Local Authority",5,"","","Buckinghamshire Council","Full inspection","07/02/2023","21/03/2023",10224969,"Outstanding","","","Outstanding","Outstanding",NA,NA
"2","Ofsted Social Care Provider Webpage","2611536",NA,"Children's home","07/05/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Devon","Exeter","Private",5,"","","Central & Southern Homes","Full inspection","15/11/2022","05/01/2023",10224970,"Good","","","Good","Good",NA,NA
"3","Ofsted Social Care Provider Webpage","2612008",NA,"Children's home","13/01/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Kirklees","Colne Valley","Private",4,"","","Compass Childrens Homes Ltd","Full inspection","13/10/2022","29/11/2022",10224973,"Outstanding","","","Outstanding","Outstanding",NA,NA
"4","Ofsted Social Care Provider Webpage","2612735",NA,"Children's home","20/12/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Calderdale","Calder Valley","Private",2,"","","Time-Out Childrens Homes Limited","Full inspection","01/02/2023","21/03/2023",10224979,"Outstanding","","","Outstanding","Outstanding",NA,NA
"5","Ofsted Social Care Provider Webpage","SC428895",NA,"Children's home","17/06/2011","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Leeds","Leeds North West","Private",3,"","","Cambian Childcare Ltd","Full inspection","14/09/2022","03/11/2022",10223346,"Good","","","Good","Good",NA,NA
"6","Ofsted Social Care Provider Webpage","2613341",NA,"Children's home","09/12/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Cheshire West and Chester","Weaver Vale","Private",6,"","","iMapcentre Ltd","Full inspection","15/11/2022","20/12/2022",10247067,"Good","","","Good","Good",NA,NA
"7","Ofsted Social Care Provider Webpage","2613661",NA,"Children's home","29/10/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","North East","Northumberland","Berwick-upon-Tweed","Private",2,"","","Young Foundations Limited","Full inspection","15/11/2022","21/12/2022",10224989,"Good","","","Good","Good",NA,NA
"8","Ofsted Social Care Provider Webpage","2613849",NA,"Children's home","11/02/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","West Sussex","Worthing West","Private",4,"","","Compass Childrens Homes Ltd","Full inspection","25/05/2021","13/08/2021",10188274,"Good","","","Good","Outstanding",NA,NA
"9","Ofsted Social Care Provider Webpage","2615326",NA,"Children's home","12/01/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","North East","Durham","North West Durham","Private",3,"","","VITA NOVA NE LTD","Full inspection","15/06/2022","29/07/2022",10225004,"Good","","","Good","Good",NA,NA
"10","Ofsted Social Care Provider Webpage","2616605",NA,"Children's home","31/03/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Burnley","Private",6,"","","Compass Childrens Homes Ltd","Full inspection","09/08/2022","10/10/2022",10225009,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"11","Ofsted Social Care Provider Webpage","2616704",NA,"Children's home","18/02/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Derbyshire","Derbyshire Dales","Private",3,"","","Rite Directions Ltd","Full inspection","11/10/2022","29/12/2022",10225012,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"12","Ofsted Social Care Provider Webpage","2678551",NA,"Children's home","29/03/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Central Bedfordshire","Mid Bedfordshire","Private",2,"","","Homes 2 inspire","Full inspection","18/10/2022","24/11/2022",10238435,"Good","","","Good","Good",NA,NA
"13","Ofsted Social Care Provider Webpage","2679026",NA,"Children's home","28/06/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Derbyshire","High Peak","Private",4,"","","Care 4 Every Child Ltd","Full inspection","04/10/2022","13/12/2022",10249776,"Good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"14","Ofsted Social Care Provider Webpage","SC373044",NA,"Children's home","18/03/2008","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Bolton","Bolton North East","Voluntary",4,"","","Birtenshaw","Full inspection","26/05/2021","05/07/2021",10185909,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"15","Ofsted Social Care Provider Webpage","SC381089",NA,"Children's home","04/09/2008","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Stoke-on-Trent","Stoke-on-Trent South","Local Authority",2,"","","Stoke On Trent City Council","Full inspection","31/08/2021","30/09/2021",10187186,"Good","","","Good","Good",NA,NA
"16","Ofsted Social Care Provider Webpage","SC386258",NA,"Children's home","15/12/2008","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Suffolk","Ipswich","Private",6,"","","Consensus Support Services Limited","Full inspection","14/02/2023","23/03/2023",10223134,"Good","","","Good","Good",NA,NA
"17","Ofsted Social Care Provider Webpage","SC386837",NA,"Children's home","18/03/2009","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Stockport","Stockport","Private",2,"","","New Horizons (Stockport) Ltd","Full inspection","14/03/2023","27/04/2023",10223141,"Inadequate","","","Inadequate","Inadequate",NA,NA
"18","Ofsted Social Care Provider Webpage","SC387784",NA,"Children's home","28/11/2008","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Stoke-on-Trent","Stoke-on-Trent Central","Local Authority",2,"","","Stoke On Trent City Council","Full inspection","07/03/2023","28/04/2023",10223145,"Good","","","Good","Outstanding",NA,NA
"19","Ofsted Social Care Provider Webpage","2561020",NA,"Children's home","14/11/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Derby","Derby North","Private",5,"","","Blue Mountain Homes Ltd","Full inspection","03/05/2022","07/06/2022",10224669,"Good","","","Good","Good",NA,NA
"20","Ofsted Social Care Provider Webpage","2562430",NA,"Children's home","18/02/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","London","London","Bexley","Erith and Thamesmead","Private",3,"","","Jamores Limited","Full inspection","03/01/2023","06/02/2023",10224674,"Good","","","Good","Requires improvement to be good",NA,NA
"21","Ofsted Social Care Provider Webpage","2562675",NA,"Children's home","15/01/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Wolverhampton","Wolverhampton North East","Private",2,"","","Hazelmont Social Care Limited","Full inspection","19/10/2021","09/12/2021",10186253,"Good","","","Good","Requires improvement to be good",NA,NA
"22","Ofsted Social Care Provider Webpage","2562677",NA,"Children's home","27/01/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Essex","Saffron Walden","Private",3,"","","Pbs Care Homes Ltd","Full inspection","20/09/2022","18/10/2022",10224677,"Good","","","Good","Good",NA,NA
"23","Ofsted Social Care Provider Webpage","2646248",NA,"Children's home","25/10/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Manchester","Manchester, Gorton","Private",3,"","","Paramount Children's Services Ltd","Full inspection","18/08/2022","28/09/2022",10225200,"Good","","","Good","Good",NA,NA
"24","Ofsted Social Care Provider Webpage","2647445",NA,"Children's home","25/04/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Kirklees","Dewsbury","Private",1,"","","Esland North Limited","Full inspection","16/11/2022","06/01/2023",10245001,"Good","","","Good","Requires improvement to be good",NA,NA
"25","Ofsted Social Care Provider Webpage","2652096",NA,"Children's home","29/10/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Cornwall","North Cornwall","Private",4,"","","Central & Southern Homes","Full inspection","26/10/2022","29/11/2022",10225232,"Good","","","Requires improvement to be good","Good",NA,NA
"26","Ofsted Social Care Provider Webpage","2652383",NA,"Children's home","01/09/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Norfolk","Norwich North","Local Authority",2,"","","Norfolk County Council","Full inspection","28/11/2022","11/01/2023",10225234,"Good","","","Good","Good",NA,NA
"27","Ofsted Social Care Provider Webpage","2652535",NA,"Children's home","04/04/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Hertfordshire","North East Hertfordshire","Private",1,"","","Kelwel Care Limited","Full inspection","14/11/2022","07/12/2022",10238431,"Good","","","Good","Good",NA,NA
"28","Ofsted Social Care Provider Webpage","2652546",NA,"Children's home","07/02/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Sandwell","Halesowen and Rowley Regis","Private",4,"","","Stepping Stones Care (Midlands) Limited","Full inspection","31/08/2022","13/10/2022",10238623,"Good","","","Good","Good",NA,NA
"29","Ofsted Social Care Provider Webpage","2656736",NA,"Children's home","16/12/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","North Northamptonshire","Corby","Private",1,"","","Esland North Limited","Full inspection","09/08/2022","22/09/2022",10225255,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"30","Ofsted Social Care Provider Webpage","2658895",NA,"Children's home","03/01/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Liverpool","Liverpool, Walton","Private",2,"","","Supporting Futures Limited","Full inspection","22/06/2022","05/08/2022",10233352,"Good","","","Good","Good",NA,NA
"31","Ofsted Social Care Provider Webpage","2660064",NA,"Children's home","24/12/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Norfolk","South West Norfolk","Private",4,"","","Compass Childrens Homes Ltd","Full inspection","23/05/2022","30/06/2022",10225279,"Good","","","Good","Good",NA,NA
"32","Ofsted Social Care Provider Webpage","2660470",NA,"Children's home","03/12/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Derbyshire","Bolsover","Private",3,"","","My House Calow Ltd","Full inspection","08/11/2022","09/12/2022",10249016,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"33","Ofsted Social Care Provider Webpage","2661346",NA,"Children's home","14/02/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","London","London","Tower Hamlets","Bethnal Green and Bow","Private",4,"","","Woodford Children's Services Limited","Full inspection","08/09/2022","20/10/2022",10236833,"Good","","","Good","Good",NA,NA
