Table LA6:  Health care and development assessments of children who have been looked after continuously for at least 12 months1 ,,,,,,,,,,,,,,,,,,
Years: 2014,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Number of children looked after at 31 March who had been looked after for at least 12 months1,,Number of children whose immunisations were up to date2,Number of children who had their teeth checked by a dentist3,Number of children who had their annual health assessment4,,"Number of children who had been looked after for at least 12 months, and aged 5 or younger at 31 March 2014",Number of these children whose development assessments were up to date5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ENGLAND,"47,670",,"41,510","40,240","42,140",,"8,760","7,600",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NORTH EAST,"2,840",,"2,700","2,450","2,690",,510,480,,,,,,,,,,
Darlington,135,,115,125,125,,35,35,,,,,,,,,,
Durham,410,,410,370,390,,70,70,,,,,,,,,,
Gateshead,255,,245,225,245,,45,45,,,,,,,,,,
Hartlepool,140,,130,130,135,,25,x,,,,,,,,,,
Middlesbrough,250,,245,245,240,,40,40,,,,,,,,,,
Newcastle upon Tyne,380,,345,275,360,,60,60,,,,,,,,,,
North Tyneside,205,,190,190,205,,20,20,,,,,,,,,,
Northumberland,205,,185,195,180,,45,40,,,,,,,,,,
Redcar and Cleveland,125,,125,120,125,,25,25,,,,,,,,,,
South Tyneside,200,,190,145,170,,30,30,,,,,,,,,,
Stockton-on-Tees,250,,235,235,245,,60,55,,,,,,,,,,
Sunderland,285,,275,195,270,,55,55,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NORTH WEST,"8,820",,"7,860","7,950","8,010",,"1,950","1,700",,,,,,,,,,
Blackburn with Darwen,245,,210,230,235,,65,65,,,,,,,,,,
Blackpool,335,,320,310,255,,100,100,,,,,,,,,,
Bolton,400,,400,390,390,,105,105,,,,,,,,,,
Bury,235,,230,210,220,,50,40,,,,,,,,,,
Cheshire East,255,,250,250,250,,25,25,,,,,,,,,,
Cheshire West and Chester,315,,180,195,260,,50,x,,,,,,,,,,
Cumbria,475,,410,375,370,,120,105,,,,,,,,,,
Halton,105,,100,100,100,,25,25,,,,,,,,,,
Knowsley,185,,175,175,175,,35,25,,,,,,,,,,
Lancashire,"1,080",,880,980,"1,005",,260,250,,,,,,,,,,
Liverpool,730,,690,670,685,,170,170,,,,,,,,,,
