Counties and Unitary Authorities (Upper Tier Local Authorities) Rural-Urban Classification (2021),,,
There are 152 rows in this dataset.,,,
,,,
Upper Tier Local Authority Area 2021 Code,Upper Tier Local Authority Area 2021 Name,Rural-Urban Classification 2011 (6 fold),Rural-Urban Classification 2011 (3 fold)
E06000001,Hartlepool,Urban with City and Town,Predominantly Urban
E06000002,Middlesbrough,Urban with City and Town,Predominantly Urban
E06000003,Redcar and Cleveland,Urban with Significant Rural,Urban with Significant Rural
E06000004,Stockton-on-Tees,Urban with City and Town,Predominantly Urban
E06000005,Darlington,Urban with City and Town,Predominantly Urban
E06000006,Halton,Urban with City and Town,Predominantly Urban
E06000007,Warrington,Urban with City and Town,Predominantly Urban
E06000008,Blackburn with Darwen,Urban with City and Town,Predominantly Urban
E06000009,Blackpool,Urban with City and Town,Predominantly Urban
E06000010,"Kingston upon Hull, City of",Urban with City and Town,Predominantly Urban
E06000011,East Riding of Yorkshire,Largely Rural,Predominantly Rural
E06000012,North East Lincolnshire,Urban with City and Town,Predominantly Urban
E06000013,North Lincolnshire,Urban with Significant Rural,Urban with Significant Rural
E06000014,York,Urban with City and Town,Predominantly Urban
E06000015,Derby,Urban with City and Town,Predominantly Urban
E06000016,Leicester,Urban with City and Town,Predominantly Urban
E06000017,Rutland,Mainly Rural,Predominantly Rural
E06000018,Nottingham,Urban with Minor Conurbation,Predominantly Urban
E06000019,"Herefordshire, County of",Largely Rural,Predominantly Rural
E06000020,Telford and Wrekin,Urban with City and Town,Predominantly Urban
E06000021,Stoke-on-Trent,Urban with City and Town,Predominantly Urban
E06000022,Bath and North East Somerset,Urban with Significant Rural,Urban with Significant Rural
E06000023,"Bristol, City of",Urban with City and Town,Predominantly Urban
E06000024,North Somerset,Urban with Significant Rural,Urban with Significant Rural
E06000025,South Gloucestershire,Urban with City and Town,Predominantly Urban
E06000026,Plymouth,Urban with City and Town,Predominantly Urban
E06000027,Torbay,Urban with City and Town,Predominantly Urban
E06000030,Swindon,Urban with City and Town,Predominantly Urban
E06000031,Peterborough,Urban with City and Town,Predominantly Urban
E06000032,Luton,Urban with City and Town,Predominantly Urban
E06000033,Southend-on-Sea,Urban with City and Town,Predominantly Urban
E06000034,Thurrock,Urban with Major Conurbation,Predominantly Urban
E06000035,Medway,Urban with City and Town,Predominantly Urban
E06000036,Bracknell Forest,Urban with City and Town,Predominantly Urban
E06000037,West Berkshire,Urban with Significant Rural,Urban with Significant Rural
E06000038,Reading,Urban with City and Town,Predominantly Urban
E06000039,Slough,Urban with City and Town,Predominantly Urban
E06000040,Windsor and Maidenhead,Urban with City and Town,Predominantly Urban
E06000041,Wokingham,Urban with City and Town,Predominantly Urban
E06000042,Milton Keynes,Urban with City and Town,Predominantly Urban
E06000043,Brighton and Hove,Urban with City and Town,Predominantly Urban
E06000044,Portsmouth,Urban with City and Town,Predominantly Urban
E06000045,Southampton,Urban with City and Town,Predominantly Urban
E06000046,Isle of Wight,Mainly Rural,Predominantly Rural
E06000047,County Durham,Largely Rural,Predominantly Rural
E06000049,Cheshire East,Urban with Significant Rural,Urban with Significant Rural
E06000050,Cheshire West and Chester,Urban with Significant Rural,Urban with Significant Rural
E06000051,Shropshire,Largely Rural,Predominantly Rural
E06000052,Cornwall,Mainly Rural,Predominantly Rural
E06000053,Isles of Scilly,Mainly Rural,Predominantly Rural
E06000054,Wiltshire,Largely Rural,Predominantly Rural
E06000055,Bedford,Urban with Significant Rural,Urban with Significant Rural
E06000056,Central Bedfordshire,Largely Rural,Predominantly Rural
E06000057,Northumberland,Largely Rural,Predominantly Rural
