time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,cla_group,accommodation_type,measure,number,percentage
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Bed and breakfast,Accommodation of care leaver,10,k
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Bed and breakfast,Accommodation of care leaver,10,k
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Bed and breakfast,Accommodation of care leaver,10,k
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Bed and breakfast,Accommodation of care leaver,c,c
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Community home,Accommodation of care leaver,150,1
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Community home,Accommodation of care leaver,120,1
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Community home,Accommodation of care leaver,80,1
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Community home,Accommodation of care leaver,80,1
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Deported,Accommodation of care leaver,c,c
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Deported,Accommodation of care leaver,c,c
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Deported,Accommodation of care leaver,c,c
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Deported,Accommodation of care leaver,0,0
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Emergency accommodation,Accommodation of care leaver,80,1
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Emergency accommodation,Accommodation of care leaver,50,k
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Emergency accommodation,Accommodation of care leaver,40,k
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Emergency accommodation,Accommodation of care leaver,20,k
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Foyers,Accommodation of care leaver,100,1
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Foyers,Accommodation of care leaver,60,1
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Foyers,Accommodation of care leaver,50,k
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Foyers,Accommodation of care leaver,20,k
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Gone abroad,Accommodation of care leaver,c,c
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Gone abroad,Accommodation of care leaver,c,c
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Gone abroad,Accommodation of care leaver,10,k
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Gone abroad,Accommodation of care leaver,0,0
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,In custody,Accommodation of care leaver,270,2
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,In custody,Accommodation of care leaver,180,2
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,In custody,Accommodation of care leaver,110,1
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,In custody,Accommodation of care leaver,60,1
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Independent living,Accommodation of care leaver,3670,32
