time_period,time_identifier,geographic_level,country_code,country_name,placement_duration,placement_group,number,percentage
2024,Reporting year,National,E92000001,England,1 to 7 days,All placements,10200,10
2024,Reporting year,National,E92000001,England,1 to 7 days,Foster placements,6310,13
2024,Reporting year,National,E92000001,England,1 to 7 days,Independent and semi-independent living arrangements/ supported accommodation,980,5
2024,Reporting year,National,E92000001,England,1 to 7 days,Other placement,1360,18
2024,Reporting year,National,E92000001,England,1 to 7 days,Other residential settings,910,24
2024,Reporting year,National,E92000001,England,1 to 7 days,Placed for adoption,10,k
2024,Reporting year,National,E92000001,England,1 to 7 days,Placed with parents or other persons with parental responsibility,420,5
2024,Reporting year,National,E92000001,England,1 to 7 days,Residential schools,c,c
2024,Reporting year,National,E92000001,England,1 to 7 days,Secure homes and children's homes,220,4
2024,Reporting year,National,E92000001,England,All placements,All placements,98880,100
2024,Reporting year,National,E92000001,England,All placements,Foster placements,49670,50
2024,Reporting year,National,E92000001,England,All placements,Independent and semi-independent living arrangements/ supported accommodation,21240,21
2024,Reporting year,National,E92000001,England,All placements,Other placement,7510,8
2024,Reporting year,National,E92000001,England,All placements,Other residential settings,3720,4
2024,Reporting year,National,E92000001,England,All placements,Placed for adoption,3060,3
2024,Reporting year,National,E92000001,England,All placements,Placed with parents or other persons with parental responsibility,7610,8
2024,Reporting year,National,E92000001,England,All placements,Residential schools,60,k
2024,Reporting year,National,E92000001,England,All placements,Secure homes and children's homes,6010,6
2024,Reporting year,National,E92000001,England,Average duration (days),All placements,307,z
2024,Reporting year,National,E92000001,England,Average duration (days),Foster placements,406,z
2024,Reporting year,National,E92000001,England,Average duration (days),Independent and semi-independent living arrangements/ supported accommodation,163,z
2024,Reporting year,National,E92000001,England,Average duration (days),Other placement,77,z
2024,Reporting year,National,E92000001,England,Average duration (days),Other residential settings,109,z
2024,Reporting year,National,E92000001,England,Average duration (days),Placed for adoption,275,z
2024,Reporting year,National,E92000001,England,Average duration (days),Placed with parents or other persons with parental responsibility,284,z
2024,Reporting year,National,E92000001,England,Average duration (days),Residential schools,720,z
2024,Reporting year,National,E92000001,England,Average duration (days),Secure homes and children's homes,444,z
2024,Reporting year,National,E92000001,England,From 1 month to under 3 months,All placements,16890,17
2024,Reporting year,National,E92000001,England,From 1 month to under 3 months,Foster placements,6200,12
2024,Reporting year,National,E92000001,England,From 1 month to under 3 months,Independent and semi-independent living arrangements/ supported accommodation,5270,25
2024,Reporting year,National,E92000001,England,From 1 month to under 3 months,Other placement,2160,29
2024,Reporting year,National,E92000001,England,From 1 month to under 3 months,Other residential settings,770,21
2024,Reporting year,National,E92000001,England,From 1 month to under 3 months,Placed for adoption,100,3
2024,Reporting year,National,E92000001,England,From 1 month to under 3 months,Placed with parents or other persons with parental responsibility,1550,20
2024,Reporting year,National,E92000001,England,From 1 month to under 3 months,Residential schools,c,c
2024,Reporting year,National,E92000001,England,From 1 month to under 3 months,Secure homes and children's homes,820,14
2024,Reporting year,National,E92000001,England,From 1 year to under 2 years,All placements,13420,14
2024,Reporting year,National,E92000001,England,From 1 year to under 2 years,Foster placements,7800,16
2024,Reporting year,National,E92000001,England,From 1 year to under 2 years,Independent and semi-independent living arrangements/ supported accommodation,2400,11
2024,Reporting year,National,E92000001,England,From 1 year to under 2 years,Other placement,210,3
2024,Reporting year,National,E92000001,England,From 1 year to under 2 years,Other residential settings,160,4
2024,Reporting year,National,E92000001,England,From 1 year to under 2 years,Placed for adoption,540,18
2024,Reporting year,National,E92000001,England,From 1 year to under 2 years,Placed with parents or other persons with parental responsibility,1110,15
2024,Reporting year,National,E92000001,England,From 1 year to under 2 years,Residential schools,10,13
2024,Reporting year,National,E92000001,England,From 1 year to under 2 years,Secure homes and children's homes,1190,20
2024,Reporting year,National,E92000001,England,From 2 years to under 5 years,All placements,7770,8
