time_period,time_identifier,geographic_level,country_code,country_name,population_group,characteristic,placement_stability,number,percentage
2024,Reporting year,National,E92000001,England,Age group,1 to 4 years,Living with the same carer for at least 2 years,1120,64
2024,Reporting year,National,E92000001,England,Age group,1 to 4 years,Not living with the same carer for at least 2 years,630,36
2024,Reporting year,National,E92000001,England,Age group,1 to 4 years,Total children,1750,100
2024,Reporting year,National,E92000001,England,Age group,10 to 15 years,Living with the same carer for at least 2 years,13700,68
2024,Reporting year,National,E92000001,England,Age group,10 to 15 years,Not living with the same carer for at least 2 years,6490,32
2024,Reporting year,National,E92000001,England,Age group,10 to 15 years,Total children,20190,100
2024,Reporting year,National,E92000001,England,Age group,5 to 9 years,Living with the same carer for at least 2 years,4930,70
2024,Reporting year,National,E92000001,England,Age group,5 to 9 years,Not living with the same carer for at least 2 years,2140,30
2024,Reporting year,National,E92000001,England,Age group,5 to 9 years,Total children,7060,100
2024,Reporting year,National,E92000001,England,Age group,Total children,Living with the same carer for at least 2 years,19750,68
2024,Reporting year,National,E92000001,England,Age group,Total children,Not living with the same carer for at least 2 years,9250,32
2024,Reporting year,National,E92000001,England,Age group,Total children,Total children,29000,100
2024,Reporting year,National,E92000001,England,Ethnicity,1. Total White,Living with the same carer for at least 2 years,15740,68
2024,Reporting year,National,E92000001,England,Ethnicity,1. Total White,Not living with the same carer for at least 2 years,7300,32
2024,Reporting year,National,E92000001,England,Ethnicity,1. Total White,Total children,23040,100
2024,Reporting year,National,E92000001,England,Ethnicity,1a. White British,Living with the same carer for at least 2 years,14800,68
2024,Reporting year,National,E92000001,England,Ethnicity,1a. White British,Not living with the same carer for at least 2 years,6880,32
2024,Reporting year,National,E92000001,England,Ethnicity,1a. White British,Total children,21680,100
2024,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,Living with the same carer for at least 2 years,50,66
2024,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,Not living with the same carer for at least 2 years,30,34
2024,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,Total children,80,100
2024,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,Living with the same carer for at least 2 years,30,54
2024,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,Not living with the same carer for at least 2 years,30,46
2024,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,Total children,60,100
2024,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,Living with the same carer for at least 2 years,180,66
2024,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,Not living with the same carer for at least 2 years,90,34
2024,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,Total children,270,100
2024,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,Living with the same carer for at least 2 years,670,71
2024,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,Not living with the same carer for at least 2 years,280,29
2024,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,Total children,950,100
2024,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,Living with the same carer for at least 2 years,2250,66
2024,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,Not living with the same carer for at least 2 years,1170,34
2024,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,Total children,3420,100
2024,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,Living with the same carer for at least 2 years,740,66
2024,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,Not living with the same carer for at least 2 years,370,34
2024,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,Total children,1110,100
2024,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,Living with the same carer for at least 2 years,250,63
2024,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,Not living with the same carer for at least 2 years,140,37
2024,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,Total children,390,100
2024,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,Living with the same carer for at least 2 years,540,67
2024,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,Not living with the same carer for at least 2 years,260,33
2024,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,Total children,800,100
2024,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,Living with the same carer for at least 2 years,730,65
2024,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,Not living with the same carer for at least 2 years,390,35
2024,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,Total children,1120,100
2024,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,Living with the same carer for at least 2 years,590,73
2024,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,Not living with the same carer for at least 2 years,220,27
2024,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,Total children,810,100
2024,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,Living with the same carer for at least 2 years,70,80
2024,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,Not living with the same carer for at least 2 years,20,20
2024,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,Total children,80,100
2024,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,Living with the same carer for at least 2 years,250,70
2024,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,Not living with the same carer for at least 2 years,110,30
2024,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,Total children,360,100
