time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,accommodation_suitability,number,percentage
2024,Reporting year,National,E92000001,England,22 years,Accommodation considered suitable,5860,52
2024,Reporting year,National,E92000001,England,22 years,Accommodation considered unsuitable,490,4
2024,Reporting year,National,E92000001,England,22 years,No information,4830,43
2024,Reporting year,National,E92000001,England,22 years,Total,11190,100
2024,Reporting year,National,E92000001,England,23 years,Accommodation considered suitable,4170,39
2024,Reporting year,National,E92000001,England,23 years,Accommodation considered unsuitable,360,3
2024,Reporting year,National,E92000001,England,23 years,No information,6220,58
2024,Reporting year,National,E92000001,England,23 years,Total,10750,100
2024,Reporting year,National,E92000001,England,24 years,Accommodation considered suitable,3190,30
2024,Reporting year,National,E92000001,England,24 years,Accommodation considered unsuitable,250,2
2024,Reporting year,National,E92000001,England,24 years,No information,7020,67
2024,Reporting year,National,E92000001,England,24 years,Total,10460,100
2024,Reporting year,National,E92000001,England,25 years,Accommodation considered suitable,1880,20
2024,Reporting year,National,E92000001,England,25 years,Accommodation considered unsuitable,150,2
2024,Reporting year,National,E92000001,England,25 years,No information,7360,78
2024,Reporting year,National,E92000001,England,25 years,Total,9390,100
2023,Reporting year,National,E92000001,England,22 years,Accommodation considered suitable,5200,48
2023,Reporting year,National,E92000001,England,22 years,Accommodation considered unsuitable,370,3
2023,Reporting year,National,E92000001,England,22 years,No information,5190,48
2023,Reporting year,National,E92000001,England,22 years,Total,10750,100
2023,Reporting year,National,E92000001,England,23 years,Accommodation considered suitable,3760,36
2023,Reporting year,National,E92000001,England,23 years,Accommodation considered unsuitable,270,3
2023,Reporting year,National,E92000001,England,23 years,No information,6420,61
2023,Reporting year,National,E92000001,England,23 years,Total,10450,100
2023,Reporting year,National,E92000001,England,24 years,Accommodation considered suitable,2800,28
2023,Reporting year,National,E92000001,England,24 years,Accommodation considered unsuitable,230,2
2023,Reporting year,National,E92000001,England,24 years,No information,6830,69
2023,Reporting year,National,E92000001,England,24 years,Total,9860,100
2023,Reporting year,National,E92000001,England,25 years,Accommodation considered suitable,1510,18
2023,Reporting year,National,E92000001,England,25 years,Accommodation considered unsuitable,90,1
2023,Reporting year,National,E92000001,England,25 years,No information,6980,81
2023,Reporting year,National,E92000001,England,25 years,Total,8580,100
