time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,characteristic,number
2024,Reporting year,National,E92000001,England,18 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3650
2024,Reporting year,National,E92000001,England,18 years,2. Total living with former foster carers in the current year,2270
2024,Reporting year,National,E92000001,England,18 years,3. Percentage living with former foster carers in the current year,62%
2024,Reporting year,National,E92000001,England,19 to 20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,7260
2024,Reporting year,National,E92000001,England,19 to 20 years,2. Total living with former foster carers in the current year,2350
2024,Reporting year,National,E92000001,England,19 to 20 years,3. Percentage living with former foster carers in the current year,32%
2024,Reporting year,National,E92000001,England,19 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3640
2024,Reporting year,National,E92000001,England,19 years,2. Total living with former foster carers in the current year,1380
2024,Reporting year,National,E92000001,England,19 years,3. Percentage living with former foster carers in the current year,38%
2024,Reporting year,National,E92000001,England,20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3630
2024,Reporting year,National,E92000001,England,20 years,2. Total living with former foster carers in the current year,970
2024,Reporting year,National,E92000001,England,20 years,3. Percentage living with former foster carers in the current year,27%
2023,Reporting year,National,E92000001,England,18 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3630
2023,Reporting year,National,E92000001,England,18 years,2. Total living with former foster carers in the current year,2240
2023,Reporting year,National,E92000001,England,18 years,3. Percentage living with former foster carers in the current year,62%
2023,Reporting year,National,E92000001,England,19 to 20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,7180
2023,Reporting year,National,E92000001,England,19 to 20 years,2. Total living with former foster carers in the current year,2300
2023,Reporting year,National,E92000001,England,19 to 20 years,3. Percentage living with former foster carers in the current year,32%
2023,Reporting year,National,E92000001,England,19 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3630
2023,Reporting year,National,E92000001,England,19 years,2. Total living with former foster carers in the current year,1370
2023,Reporting year,National,E92000001,England,19 years,3. Percentage living with former foster carers in the current year,38%
2023,Reporting year,National,E92000001,England,20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3550
2023,Reporting year,National,E92000001,England,20 years,2. Total living with former foster carers in the current year,930
2023,Reporting year,National,E92000001,England,20 years,3. Percentage living with former foster carers in the current year,26%
2022,Reporting year,National,E92000001,England,18 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3620
2022,Reporting year,National,E92000001,England,18 years,2. Total living with former foster carers in the current year,2240
2022,Reporting year,National,E92000001,England,18 years,3. Percentage living with former foster carers in the current year,62%
2022,Reporting year,National,E92000001,England,19 to 20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,6980
2022,Reporting year,National,E92000001,England,19 to 20 years,2. Total living with former foster carers in the current year,2190
2022,Reporting year,National,E92000001,England,19 to 20 years,3. Percentage living with former foster carers in the current year,31%
2022,Reporting year,National,E92000001,England,19 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3560
2022,Reporting year,National,E92000001,England,19 years,2. Total living with former foster carers in the current year,1320
2022,Reporting year,National,E92000001,England,19 years,3. Percentage living with former foster carers in the current year,37%
2022,Reporting year,National,E92000001,England,20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3430
2022,Reporting year,National,E92000001,England,20 years,2. Total living with former foster carers in the current year,870
2022,Reporting year,National,E92000001,England,20 years,3. Percentage living with former foster carers in the current year,25%
2021,Reporting year,National,E92000001,England,18 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3550
2021,Reporting year,National,E92000001,England,18 years,2. Total living with former foster carers in the current year,2140
2021,Reporting year,National,E92000001,England,18 years,3. Percentage living with former foster carers in the current year,60%
2021,Reporting year,National,E92000001,England,19 to 20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,6890
2021,Reporting year,National,E92000001,England,19 to 20 years,2. Total living with former foster carers in the current year,2060
2021,Reporting year,National,E92000001,England,19 to 20 years,3. Percentage living with former foster carers in the current year,30%
2021,Reporting year,National,E92000001,England,19 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3430
2021,Reporting year,National,E92000001,England,19 years,2. Total living with former foster carers in the current year,1250
2021,Reporting year,National,E92000001,England,19 years,3. Percentage living with former foster carers in the current year,36%
2021,Reporting year,National,E92000001,England,20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3460
2021,Reporting year,National,E92000001,England,20 years,2. Total living with former foster carers in the current year,820
2021,Reporting year,National,E92000001,England,20 years,3. Percentage living with former foster carers in the current year,24%
2020,Reporting year,National,E92000001,England,18 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3410
2020,Reporting year,National,E92000001,England,18 years,2. Total living with former foster carers in the current year,1980
2020,Reporting year,National,E92000001,England,18 years,3. Percentage living with former foster carers in the current year,58%
2020,Reporting year,National,E92000001,England,19 to 20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,6760
2020,Reporting year,National,E92000001,England,19 to 20 years,2. Total living with former foster carers in the current year,1890
2020,Reporting year,National,E92000001,England,19 to 20 years,3. Percentage living with former foster carers in the current year,28%
2020,Reporting year,National,E92000001,England,19 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3460
2020,Reporting year,National,E92000001,England,19 years,2. Total living with former foster carers in the current year,1170
2020,Reporting year,National,E92000001,England,19 years,3. Percentage living with former foster carers in the current year,34%
2020,Reporting year,National,E92000001,England,20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3300
2020,Reporting year,National,E92000001,England,20 years,2. Total living with former foster carers in the current year,710
2020,Reporting year,National,E92000001,England,20 years,3. Percentage living with former foster carers in the current year,22%
