time_period,time_identifier,geographic_level,country_code,country_name,cla_group,measure,number,percentage
2024,Reporting year,National,E92000001,England,Number of adopters,1 person,390,13
2024,Reporting year,National,E92000001,England,Number of adopters,2 people,2600,87
2024,Reporting year,National,E92000001,England,Number of adopters,Total,2980,100
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,1 Total single adopters,390,13
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,1a Single male adopter,30,1
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,1b Single female adopter,360,12
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,2 Total same sex couple not in civil partnership or married,200,7
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,2a Same sex couple not in civil partnership or married  - both male,130,4
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,2b Same sex couple not in civil partnership or married  - both female,60,2
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,3 Total different sex unmarried couple,300,10
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,4 Civil partnership couple,70,2
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,4a Civil partnership couple - different sex,10,k
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,4b Civil partnership couple - both male,50,2
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,4c Civil partnership couple - both female,20,1
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,5 Married couple,2040,68
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,5a Married couple - different sex,1720,58
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,5b Married couple - both male,190,6
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,5c Married couple - both female,120,4
2024,Reporting year,National,E92000001,England,Gender and legal status of adopters,Total,2980,100
2023,Reporting year,National,E92000001,England,Number of adopters,1 person,380,13
2023,Reporting year,National,E92000001,England,Number of adopters,2 people,2620,87
2023,Reporting year,National,E92000001,England,Number of adopters,Total,3000,100
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,1 Total single adopters,380,13
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,1a Single male adopter,50,2
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,1b Single female adopter,330,11
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,2 Total same sex couple not in civil partnership or married,210,7
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,2a Same sex couple not in civil partnership or married  - both male,140,5
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,2b Same sex couple not in civil partnership or married  - both female,70,2
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,3 Total different sex unmarried couple,270,9
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,4 Civil partnership couple,80,3
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,4a Civil partnership couple - different sex,10,k
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,4b Civil partnership couple - both male,50,2
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,4c Civil partnership couple - both female,30,1
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,5 Married couple,2060,69
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,5a Married couple - different sex,1740,58
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,5b Married couple - both male,190,6
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,5c Married couple - both female,130,4
2023,Reporting year,National,E92000001,England,Gender and legal status of adopters,Total,3000,100
