time_period,time_identifier,geographic_level,country_code,country_name,age_group,CLA_group,characteristic,measure,number,percentage
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Care leaver not in touch,Activity of care leaver,4910,43
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Care leaver not in touch,LA in-touch with the care leaver during the year,5050,45
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Female,Gender,4060,36
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,510,5
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,540,5
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,80,1
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,1380,12
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,560,5
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Male,Gender,7240,64
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Owing to illness or disability,Activity of care leaver,730,6
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Owing to other reasons,Activity of care leaver,1740,15
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,500,4
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,190,2
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,20,k
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,c,c
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,700,6
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Total activity of care leavers,Activity of care leaver,11300,100
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Total gender,Gender,11300,100
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Total in apprenticeship,Activity of care leaver,90,1
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Total in education other than higher education,Activity of care leaver,700,6
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Total in touch,LA in-touch with the care leaver during the year,11300,100
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Total in training or employment (excl. apprenticeship),Activity of care leaver,2070,18
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,"Total not in education, training or employment",Activity of care leaver,2970,26
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Young person has requested and received support,LA in-touch with the care leaver during the year,6250,55
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Care leaver not in touch,Activity of care leaver,6320,58
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Care leaver not in touch,LA in-touch with the care leaver during the year,6560,60
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Female,Gender,4230,39
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,270,2
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,430,4
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,70,1
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,960,9
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,460,4
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Male,Gender,6640,61
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Owing to illness or disability,Activity of care leaver,640,6
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Owing to other reasons,Activity of care leaver,1210,11
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,350,3
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,100,1
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,30,k
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,c,c
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,490,5
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Total activity of care leavers,Activity of care leaver,10870,100
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Total gender,Gender,10870,100
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Total in apprenticeship,Activity of care leaver,70,1
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Total in education other than higher education,Activity of care leaver,370,3
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Total in touch,LA in-touch with the care leaver during the year,10870,100
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Total in training or employment (excl. apprenticeship),Activity of care leaver,1450,13
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,"Total not in education, training or employment",Activity of care leaver,2200,20
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Young person has requested and received support,LA in-touch with the care leaver during the year,4320,40
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Care leaver not in touch,Activity of care leaver,7150,67
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Care leaver not in touch,LA in-touch with the care leaver during the year,7330,69
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Female,Gender,4010,38
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,220,2
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,350,3
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,30,k
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,780,7
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,380,4
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Male,Gender,6590,62
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Owing to illness or disability,Activity of care leaver,470,4
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Owing to other reasons,Activity of care leaver,900,8
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,280,3
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,70,1
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,20,k
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,c,c
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,330,3
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Total activity of care leavers,Activity of care leaver,10600,100
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Total gender,Gender,10600,100
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Total in apprenticeship,Activity of care leaver,40,k
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Total in education other than higher education,Activity of care leaver,290,3
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Total in touch,LA in-touch with the care leaver during the year,10600,100
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Total in training or employment (excl. apprenticeship),Activity of care leaver,1110,10
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,"Total not in education, training or employment",Activity of care leaver,1640,15
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Young person has requested and received support,LA in-touch with the care leaver during the year,3270,31
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Care leaver not in touch,Activity of care leaver,7480,79
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Care leaver not in touch,LA in-touch with the care leaver during the year,7630,80
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Female,Gender,3750,39
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,140,2
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,210,2
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,20,k
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,440,5
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,220,2
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Male,Gender,5780,61
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Owing to illness or disability,Activity of care leaver,330,3
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Owing to other reasons,Activity of care leaver,480,5
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,170,2
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,50,k
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,10,k
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,c,c
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,200,2
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Total activity of care leavers,Activity of care leaver,9530,100
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Total gender,Gender,9530,100
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Total in apprenticeship,Activity of care leaver,30,k
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Total in education other than higher education,Activity of care leaver,190,2
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Total in touch,LA in-touch with the care leaver during the year,9530,100
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Total in training or employment (excl. apprenticeship),Activity of care leaver,630,7
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,"Total not in education, training or employment",Activity of care leaver,970,10
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Young person has requested and received support,LA in-touch with the care leaver during the year,1890,20
