time_period,time_identifier,geographic_level,country_code,country_name,cla_group,population_group,characteristic,placement_stability,number,percentage
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,Total children,6820,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,With 1 placement during the year,4030,59
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,With 2 placements during the year,2250,33
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,With 3 or more placements during the year,550,8
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,Total children,25580,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,With 1 placement during the year,19600,77
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,With 2 placements during the year,3760,15
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,With 3 or more placements during the year,2220,9
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,Total children,15980,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,With 1 placement during the year,10760,67
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,With 2 placements during the year,3270,20
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,With 3 or more placements during the year,1950,12
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,Total children,11100,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,With 1 placement during the year,8410,76
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,With 2 placements during the year,2020,18
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,With 3 or more placements during the year,670,6
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Total children,Total children,59480,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Total children,With 1 placement during the year,42800,72
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Total children,With 2 placements during the year,11300,19
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Total children,With 3 or more placements during the year,5380,9
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Under 1 year,Total children,0,z
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Under 1 year,With 1 placement during the year,z,z
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Under 1 year,With 2 placements during the year,z,z
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Under 1 year,With 3 or more placements during the year,z,z
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1. Total White,Total children,44490,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1. Total White,With 1 placement during the year,32190,72
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1. Total White,With 2 placements during the year,8290,19
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1. Total White,With 3 or more placements during the year,4010,9
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1a. White British,Total children,41440,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1a. White British,With 1 placement during the year,29980,72
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1a. White British,With 2 placements during the year,7710,19
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1a. White British,With 3 or more placements during the year,3750,9
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1b. White Irish,Total children,130,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1b. White Irish,With 1 placement during the year,100,78
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1b. White Irish,With 2 placements during the year,20,16
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1b. White Irish,With 3 or more placements during the year,10,5
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Total children,130,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1c. Traveller of Irish Heritage,With 1 placement during the year,90,65
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1c. Traveller of Irish Heritage,With 2 placements during the year,30,19
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1c. Traveller of Irish Heritage,With 3 or more placements during the year,20,16
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1d. Gypsy Roma,Total children,470,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1d. Gypsy Roma,With 1 placement during the year,340,74
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1d. Gypsy Roma,With 2 placements during the year,80,17
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1d. Gypsy Roma,With 3 or more placements during the year,50,10
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1e. Any other White background,Total children,2330,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1e. Any other White background,With 1 placement during the year,1680,72
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1e. Any other White background,With 2 placements during the year,460,20
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,1e. Any other White background,With 3 or more placements during the year,190,8
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Total children,6640,100
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,With 1 placement during the year,4690,71
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,With 2 placements during the year,1310,20
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,With 3 or more placements during the year,630,9
2024,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Ethnicity,2a. White and Black Caribbean,Total children,2200,100
