time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,in_touch,number,percentage
2024,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,Local authority in touch with care leaver,13370,94
2024,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,Local authority not in touch with care leaver,640,4
2024,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,Total,14300,100
2024,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,Young person no longer requires services,230,2
2024,Reporting year,National,E92000001,England,,,,,,Aged 17 to 18,Young person refuses contact,50,k
2024,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,Local authority in touch with care leaver,33420,92
2024,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,Local authority not in touch with care leaver,1720,5
2024,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,Total,36370,100
2024,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,Young person no longer requires services,920,3
2024,Reporting year,National,E92000001,England,,,,,,Aged 19 to 21,Young person refuses contact,310,1
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,Local authority in touch with care leaver,730,96
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,Local authority not in touch with care leaver,20,3
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,Total,760,100
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,Young person no longer requires services,10,1
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 17 to 18,Young person refuses contact,c,c
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,Local authority in touch with care leaver,1560,92
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,Local authority not in touch with care leaver,50,3
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,Total,1710,100
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,Young person no longer requires services,70,4
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 19 to 21,Young person refuses contact,20,1
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,Local authority in touch with care leaver,2060,96
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,Local authority not in touch with care leaver,40,2
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,Total,2140,100
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,Young person no longer requires services,30,1
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 17 to 18,Young person refuses contact,10,k
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,Local authority in touch with care leaver,5020,95
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,Local authority not in touch with care leaver,170,3
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,Total,5310,100
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,Young person no longer requires services,80,1
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,Young person refuses contact,40,1
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,Local authority in touch with care leaver,1280,94
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,Local authority not in touch with care leaver,60,4
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,Total,1360,100
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,Young person no longer requires services,20,1
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,Young person refuses contact,c,c
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,Local authority in touch with care leaver,3020,94
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,Local authority not in touch with care leaver,100,3
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,Total,3220,100
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,Young person no longer requires services,80,2
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,Young person refuses contact,20,1
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,Local authority in touch with care leaver,1130,97
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,Local authority not in touch with care leaver,30,2
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,Total,1170,100
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,Young person no longer requires services,10,1
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,Young person refuses contact,c,c
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,Local authority in touch with care leaver,2430,91
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,Local authority not in touch with care leaver,70,3
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,Total,2660,100
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,Young person no longer requires services,150,6
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,Young person refuses contact,10,k
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,Local authority in touch with care leaver,1620,95
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,Local authority not in touch with care leaver,50,3
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,Total,1700,100
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,Young person no longer requires services,20,1
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,Young person refuses contact,10,1
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,Local authority in touch with care leaver,3670,93
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,Local authority not in touch with care leaver,150,4
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,Total,3960,100
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,Young person no longer requires services,70,2
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,Young person refuses contact,60,2
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,Local authority in touch with care leaver,1280,93
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,Local authority not in touch with care leaver,60,4
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,Total,1380,100
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,Young person no longer requires services,40,3
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,Young person refuses contact,c,c
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,Local authority in touch with care leaver,3320,92
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,Local authority not in touch with care leaver,160,5
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,Total,3590,100
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,Young person no longer requires services,90,2
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,Young person refuses contact,20,1
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,Local authority in touch with care leaver,2280,94
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,Local authority not in touch with care leaver,70,3
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,Total,2410,100
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,Young person no longer requires services,60,2
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,Young person refuses contact,10,k
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,Local authority in touch with care leaver,6840,93
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,Local authority not in touch with care leaver,270,4
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,Total,7390,100
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,Young person no longer requires services,220,3
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,Young person refuses contact,60,1
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,Local authority in touch with care leaver,1820,85
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,Local authority not in touch with care leaver,280,13
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,Total,2150,100
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,Young person no longer requires services,40,2
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,Young person refuses contact,10,1
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,Local authority in touch with care leaver,4730,85
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,Local authority not in touch with care leaver,640,12
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,Total,5570,100
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,Young person no longer requires services,130,2
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,Young person refuses contact,60,1
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,Local authority in touch with care leaver,1190,96
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,Local authority not in touch with care leaver,40,3
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,Total,1240,100
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,Young person no longer requires services,10,1
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,Young person refuses contact,c,c
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,Local authority in touch with care leaver,2820,95
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,Local authority not in touch with care leaver,90,3
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,Total,2970,100
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,Young person no longer requires services,30,1
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,Young person refuses contact,20,1
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 17 to 18,Local authority in touch with care leaver,990,96
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 17 to 18,Local authority not in touch with care leaver,20,1
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 17 to 18,Total,1030,100
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 17 to 18,Young person no longer requires services,20,2
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 17 to 18,Young person refuses contact,c,c
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 19 to 21,Local authority in touch with care leaver,3060,94
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 19 to 21,Local authority not in touch with care leaver,90,3
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 19 to 21,Total,3260,100
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 19 to 21,Young person no longer requires services,90,3
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 19 to 21,Young person refuses contact,20,1
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 17 to 18,Local authority in touch with care leaver,1290,93
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 17 to 18,Local authority not in touch with care leaver,50,4
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 17 to 18,Total,1390,100
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 17 to 18,Young person no longer requires services,40,3
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 17 to 18,Young person refuses contact,10,1
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 19 to 21,Local authority in touch with care leaver,3780,92
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 19 to 21,Local authority not in touch with care leaver,190,5
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 19 to 21,Total,4130,100
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 19 to 21,Young person no longer requires services,130,3
