time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,cla_group,characteristic,measure,number,percentage
2024,Reporting year,National,E92000001,England,17 years,Care leavers group,Female,Unaccompanied asylum-seeking children,c,c
2024,Reporting year,National,E92000001,England,17 years,Care leavers group,Male,Unaccompanied asylum-seeking children,40,8
2024,Reporting year,National,E92000001,England,17 years,Care leavers group,Total,Unaccompanied asylum-seeking children,50,9
2024,Reporting year,National,E92000001,England,18 years,Care leavers group,Female,Unaccompanied asylum-seeking children,240,2
2024,Reporting year,National,E92000001,England,18 years,Care leavers group,Male,Unaccompanied asylum-seeking children,4440,32
2024,Reporting year,National,E92000001,England,18 years,Care leavers group,Total,Unaccompanied asylum-seeking children,4680,34
2024,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Female,Unaccompanied asylum-seeking children,780,2
2024,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Male,Unaccompanied asylum-seeking children,9050,25
2024,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total,Unaccompanied asylum-seeking children,9830,27
2024,Reporting year,National,E92000001,England,19 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,220,2
2024,Reporting year,National,E92000001,England,19 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,3610,28
2024,Reporting year,National,E92000001,England,19 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,3840,30
2024,Reporting year,National,E92000001,England,20 years,Care leavers group,Female,Unaccompanied asylum-seeking children,250,2
2024,Reporting year,National,E92000001,England,20 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2660,22
2024,Reporting year,National,E92000001,England,20 years,Care leavers group,Total,Unaccompanied asylum-seeking children,2920,25
2024,Reporting year,National,E92000001,England,21 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,310,3
2024,Reporting year,National,E92000001,England,21 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,2770,24
2024,Reporting year,National,E92000001,England,21 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,3080,27
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Female,Unaccompanied asylum-seeking children,c,c
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Male,Unaccompanied asylum-seeking children,40,7
