time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,cla_group,characteristic,measure,number,percentage
2023,Reporting year,National,E92000001,England,22 years,Care leavers group,Female,Unaccompanied asylum-seeking children,220,2
2023,Reporting year,National,E92000001,England,22 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2340,22
2023,Reporting year,National,E92000001,England,22 years,Care leavers group,Total,Unaccompanied asylum-seeking children,2560,24
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Female,Unaccompanied asylum-seeking children,280,2
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2750,24
2024,Reporting year,National,E92000001,England,22 years,Care leavers group,Total,Unaccompanied asylum-seeking children,3030,27
2023,Reporting year,National,E92000001,England,23 years,Care leavers group,Female,Unaccompanied asylum-seeking children,220,2
2023,Reporting year,National,E92000001,England,23 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2280,22
2023,Reporting year,National,E92000001,England,23 years,Care leavers group,Total,Unaccompanied asylum-seeking children,2500,24
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Female,Unaccompanied asylum-seeking children,220,2
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2340,21
2024,Reporting year,National,E92000001,England,23 years,Care leavers group,Total,Unaccompanied asylum-seeking children,2560,24
2023,Reporting year,National,E92000001,England,24 years,Care leavers group,Female,Unaccompanied asylum-seeking children,160,2
2023,Reporting year,National,E92000001,England,24 years,Care leavers group,Male,Unaccompanied asylum-seeking children,1800,18
2023,Reporting year,National,E92000001,England,24 years,Care leavers group,Total,Unaccompanied asylum-seeking children,1960,20
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Female,Unaccompanied asylum-seeking children,220,2
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2300,22
2024,Reporting year,National,E92000001,England,24 years,Care leavers group,Total,Unaccompanied asylum-seeking children,2520,24
2023,Reporting year,National,E92000001,England,25 years,Care leavers group,Female,Unaccompanied asylum-seeking children,130,2
2023,Reporting year,National,E92000001,England,25 years,Care leavers group,Male,Unaccompanied asylum-seeking children,1150,13
2023,Reporting year,National,E92000001,England,25 years,Care leavers group,Total,Unaccompanied asylum-seeking children,1280,15
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Female,Unaccompanied asylum-seeking children,160,2
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Male,Unaccompanied asylum-seeking children,1780,19
2024,Reporting year,National,E92000001,England,25 years,Care leavers group,Total,Unaccompanied asylum-seeking children,1940,20
