time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,population_count,population_estimate,number,rate_per_10000
2024,Reporting year,National,E92000001,England,,,,,,Children ceasing to be looked after each year,11998646,33620,28
2024,Reporting year,National,E92000001,England,,,,,,Children looked after at 31 March each year,11998646,83630,70
2024,Reporting year,National,E92000001,England,,,,,,Children starting to be looked after each year,11998646,33050,28
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children ceasing to be looked after each year,535227,2460,46
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children looked after at 31 March each year,535227,6110,114
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children starting to be looked after each year,535227,2550,48
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children ceasing to be looked after each year,1599260,5010,31
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children looked after at 31 March each year,1599260,15090,94
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children starting to be looked after each year,1599260,4900,31
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children ceasing to be looked after each year,1164914,3610,31
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children looked after at 31 March each year,1164914,9270,80
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children starting to be looked after each year,1164914,3490,30
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children ceasing to be looked after each year,1016250,2640,26
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children looked after at 31 March each year,1016250,6570,65
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children starting to be looked after each year,1016250,2580,25
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children ceasing to be looked after each year,1325199,3460,26
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children looked after at 31 March each year,1325199,11920,90
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children starting to be looked after each year,1325199,3520,27
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children ceasing to be looked after each year,1367078,2590,19
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children looked after at 31 March each year,1367078,6870,50
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children starting to be looked after each year,1367078,2390,18
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children ceasing to be looked after each year,1899880,4800,25
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children looked after at 31 March each year,1899880,9640,51
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children starting to be looked after each year,1899880,4660,25
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children ceasing to be looked after each year,1988962,6420,32
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children looked after at 31 March each year,1988962,11180,56
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children starting to be looked after each year,1988962,6270,32
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children ceasing to be looked after each year,1101876,2640,24
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children looked after at 31 March each year,1101876,6980,63
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children starting to be looked after each year,1101876,2690,24
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children ceasing to be looked after each year,641078,2030,32
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children looked after at 31 March each year,641078,3980,62
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children starting to be looked after each year,641078,1970,31
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children ceasing to be looked after each year,1258802,2770,22
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children looked after at 31 March each year,1258802,5660,45
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children starting to be looked after each year,1258802,2680,21
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children ceasing to be looked after each year,20417,114,56
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children looked after at 31 March each year,20417,334,164
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children starting to be looked after each year,20417,125,61
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children ceasing to be looked after each year,34791,205,59
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children looked after at 31 March each year,34791,513,147
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children starting to be looked after each year,34791,207,59
