time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2024,Reporting year,National,E92000001,England,Age group,1 to 4 years,10820,13
2024,Reporting year,National,E92000001,England,Age group,10 to 15 years,31440,38
2024,Reporting year,National,E92000001,England,Age group,16 years and over,22620,27
2024,Reporting year,National,E92000001,England,Age group,5 to 9 years,15020,18
2024,Reporting year,National,E92000001,England,Age group,Total children,83630,100
2024,Reporting year,National,E92000001,England,Age group,Under 1 year,3730,4
2024,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,55190,66
2024,Reporting year,National,E92000001,England,Category of need,N2. Child's disability,1930,2
2024,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,2010,2
2024,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,6130,7
2024,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,10180,12
2024,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,840,1
2024,Reporting year,National,E92000001,England,Category of need,N7. Low income,80,k
2024,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,7280,9
2024,Reporting year,National,E92000001,England,Category of need,Total children,83630,100
2024,Reporting year,National,E92000001,England,Ethnicity,1. Total White,59340,71
2024,Reporting year,National,E92000001,England,Ethnicity,1a. White British,55140,66
2024,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,180,k
2024,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,180,k
2024,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,580,1
2024,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,3270,4
2024,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,8920,11
2024,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,2920,3
2024,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,1090,1
2024,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,1770,2
2024,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,3150,4
2024,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,4420,5
2024,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,350,k
2024,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,1070,1
2024,Reporting year,National,E92000001,England,Ethnicity,3c. Bangladeshi,390,k
2024,Reporting year,National,E92000001,England,Ethnicity,3d. Chinese,100,k
