time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,cla_group,characteristic,activity_type,number,percentage
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Asian or Asian British,Education other than higher education,20,35
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Asian or Asian British,Higher education i.e. studies beyond A level,c,c
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Asian or Asian British,In an apprenticeship,c,c
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Asian or Asian British,In training or employment,z,z
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Asian or Asian British,In training or employment (excl. apprenticeship),0,0
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Asian or Asian British,Information not known,20,42
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Asian or Asian British,"Not in education, employment or training",10,14
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Asian or Asian British,Total care leavers,40,100
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,"Total Black, African, Caribbean or Black British",Education other than higher education,30,46
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,"Total Black, African, Caribbean or Black British",Higher education i.e. studies beyond A level,c,c
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,"Total Black, African, Caribbean or Black British",In an apprenticeship,0,0
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,"Total Black, African, Caribbean or Black British",In training or employment,z,z
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,"Total Black, African, Caribbean or Black British",In training or employment (excl. apprenticeship),c,c
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,"Total Black, African, Caribbean or Black British",Information not known,10,21
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,"Total Black, African, Caribbean or Black British","Not in education, employment or training",10,25
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,"Total Black, African, Caribbean or Black British",Total care leavers,60,100
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total ethnicity,Education other than higher education,190,38
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total ethnicity,Higher education i.e. studies beyond A level,10,2
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total ethnicity,In an apprenticeship,c,c
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total ethnicity,In training or employment,z,z
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total ethnicity,In training or employment (excl. apprenticeship),30,6
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total ethnicity,Information not known,140,28
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total ethnicity,"Not in education, employment or training",120,24
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total ethnicity,Total care leavers,500,100
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Mixed or Multiple ethnic groups,Education other than higher education,20,40
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Mixed or Multiple ethnic groups,Higher education i.e. studies beyond A level,0,0
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Mixed or Multiple ethnic groups,In an apprenticeship,0,0
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Mixed or Multiple ethnic groups,In training or employment,z,z
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Mixed or Multiple ethnic groups,In training or employment (excl. apprenticeship),c,c
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Mixed or Multiple ethnic groups,Information not known,10,25
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Mixed or Multiple ethnic groups,"Not in education, employment or training",20,31
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total Mixed or Multiple ethnic groups,Total care leavers,50,100
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total other ethnic group,Education other than higher education,10,31
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total other ethnic group,Higher education i.e. studies beyond A level,0,0
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total other ethnic group,In an apprenticeship,0,0
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total other ethnic group,In training or employment,z,z
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total other ethnic group,In training or employment (excl. apprenticeship),c,c
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total other ethnic group,Information not known,10,38
