time_period,time_identifier,geographic_level,country_code,country_name,CLA_group,population_group,characteristic,Number
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,1 to 4 years,17020
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,10 to 15 years,35910
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,16 years and over,39560
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,5 to 9 years,18590
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Total children,116420
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Under 1 year,5340
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1. Total White,78470
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1a. White British,72360
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1b. White Irish,250
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1c. Traveller of Irish Heritage,260
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1d. Gypsy Roma,770
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1e. Any other White background,4830
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,11820
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2a. White and Black Caribbean,3830
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2b. White and Black African,1430
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2c. White and Asian,2270
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2d. Any other Mixed background,4300
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3. Total Asian or Asian British,6990
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3a. Indian,520
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3b. Pakistani,1580
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3c. Bangladeshi,600
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3d. Chinese,150
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3e. Any other Asian background,4150
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",10030
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4a. Caribbean,1760
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4b. African,6360
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4c. Any other Black background,1920
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,5. Total other ethnic group,7940
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6. Total Refused or information not yet available,1170
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6a. Refused,170
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6b. Information not yet obtained,1000
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,Total children,116420
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Female,48470
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Male,67950
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Total children,116420
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Foster placements,79220
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Independent and semi-independent living arrangements/ supported accommodation,18530
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other placement,8920
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other residential settings,4270
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed for adoption,4920
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed with parents or other persons with parental responsibility,11580
