time_period,time_identifier,level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,performance_type,cla_ks2_reading_number_eligible,cla_ks2_reading_number_achieving,cla_ks2_reading_%,cla_ks2_writing_number_eligible,cla_ks2_writing_number_achieving,cla_ks2_writing_%,cla_ks2_mathematics_number_eligible,cla_ks2_mathematics_number_achieving,cla_ks2_mathematics_%,cla_ks2_gps_number_eligible,cla_ks2_gps_number_achieving,cla_ks2_gps_%,cla_ks2_rmw_number_eligible,cla_ks2_rmw_number_achieving,cla_ks2_rmw_%,cla_ks2_reading_progress_eligible,cla_ks2_reading_progress_total_score,cla_ks2_reading_average_progress_score,cla_ks2_writing_progress_eligible,cla_ks2_writing_progress_total_score,cla_ks2_writing_average_progress_score,cla_ks2_mathematics_progress_eligible,cla_ks2_mathematics_progress_total_score,cla_ks2_mathematics_average_progress_score
2017/18,year ending 31 march 2018,National,E92000001,England,,,,,,KS2,3130,1600,51,3130,1540,49,3130,1490,47,3130,1560,50,3120,1100,35,2900,-441.1,-0.2,2960,-2442.8,-0.8,2900,-2282.6,-0.8
2017/18,year ending 31 march 2018,Regional,E92000001,England,E12000001,North East,,,,KS2,210,110,52,210,120,56,210,110,52,210,120,55,210,80,39,200,58.5,0.3,210,-21.4,-0.1,200,31.5,0.2
2017/18,year ending 31 march 2018,Regional,E92000001,England,E12000002,North West,,,,KS2,640,350,54,640,330,52,640,330,51,640,340,53,640,250,38,600,337.2,0.6,610,-189.1,-0.3,600,34.2,0.1
2017/18,year ending 31 march 2018,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,KS2,350,160,46,350,170,47,350,160,45,350,170,49,350,120,34,330,-229.2,-0.7,330,-310.8,-0.9,320,-207.6,-0.6
2017/18,year ending 31 march 2018,Regional,E92000001,England,E12000004,East Midlands,,,,KS2,230,110,48,230,100,43,230,90,40,230,110,48,230,70,30,220,-300.5,-1.4,220,-337.1,-1.5,220,-418.3,-1.9
2017/18,year ending 31 march 2018,Regional,E92000001,England,E12000005,West Midlands,,,,KS2,480,240,50,480,230,47,480,220,46,480,250,51,480,160,33,450,-41.1,-0.1,460,-436.8,-1,450,-462,-1
2017/18,year ending 31 march 2018,Regional,E92000001,England,E12000006,East of England,,,,KS2,260,130,50,260,130,49,260,120,46,260,120,46,260,90,34,230,-215.3,-0.9,240,-304.3,-1.3,230,-375.1,-1.6
2017/18,year ending 31 march 2018,Regional,E92000001,England,E12000008,South East,,,,KS2,400,190,48,390,190,48,400,180,45,400,170,42,390,130,33,360,-295.8,-0.8,370,-412.3,-1.1,360,-479.9,-1.3
2017/18,year ending 31 march 2018,Regional,E92000001,England,E12000009,South West,,,,KS2,240,110,47,230,110,45,240,100,44,240,110,46,230,70,28,220,-140.6,-0.6,220,-248.8,-1.1,220,-334.1,-1.5
2017/18,year ending 31 march 2018,Regional,E92000001,England,E13000001,Inner London,,,,KS2,130,80,58,130,70,52,130,80,56,130,80,57,130,60,44,120,68.2,0.6,130,-85.4,-0.7,120,-67.5,-0.6
2017/18,year ending 31 march 2018,Regional,E92000001,England,E13000002,Outer London,,,,KS2,190,120,60,190,100,54,190,100,54,190,110,55,190,80,41,180,317.4,1.8,180,-97.1,-0.5,180,-3.9,0
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,KS2,0,0,.,0,0,.,0,0,.,0,0,.,0,0,.,0,.,.,0,.,.,0,.,.
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,KS2,6,c,c,6,c,c,6,c,c,6,c,c,6,c,c,6,-21.3,-3.5,6,-5.6,-0.9,6,-5.2,-0.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,KS2,26,18,69,26,15,58,26,16,62,26,13,50,26,14,54,25,2.6,0.1,25,-17.6,-0.7,25,-36.3,-1.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,KS2,13,c,c,13,6,46,13,6,46,13,6,46,13,c,c,10,-14.3,-1.4,12,-17.3,-1.4,10,7.5,0.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,KS2,6,c,c,6,c,c,6,c,c,6,c,c,6,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,KS2,11,c,c,11,c,c,11,c,c,11,c,c,11,c,c,10,18.7,1.9,10,-0.9,-0.1,10,-13.8,-1.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,KS2,11,c,c,11,c,c,11,c,c,11,c,c,11,c,c,10,4,0.4,10,-11.3,-1.1,10,29.8,3
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,KS2,22,10,45,22,10,45,22,10,45,22,11,50,22,8,36,21,-21.1,-1,21,-52.1,-2.5,21,-83.2,-4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,KS2,22,15,68,22,13,59,22,14,64,22,13,59,22,11,50,20,82.9,4.1,20,15,0.8,20,18.6,0.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
