,Primary_no_SEN,Primary_SEN_support,Primary_SEN_statement_EHCP,Secondary_no_SEN,Secondary_SEN_support,Secondary_SEN_statement_EHCP,Special_no_SEN,Special_SEN_support,Special_SEN_statement_EHCP,PRU_no_SEN,PRU_SEN_support,PRU_SEN_statement_EHCP,CLA_ SEN_Provision
No_SEN,.,.,.,.,.,.,.,.,.,.,.,.,15042
SEN_support,.,.,.,.,.,.,.,.,.,.,.,.,10717
SEN_statement_EHCP,.,.,.,.,.,.,.,.,.,.,.,.,9505
SPLD,.,340,54,.,570,97,.,x,39,.,x,x,.
MLD,.,1278,169,.,1245,289,.,x,740,.,15,7,.
SLD,.,25,60,.,x,32,.,x,901,.,0,0,.
PMLD,.,7,16,.,x,7,.,x,362,.,0,0,.
SEMH,.,2126,533,.,2280,839,.,34,1306,.,278,104,.
SLCN,.,821,257,.,267,192,.,x,179,.,x,0,.
HI,.,23,19,.,38,15,.,0,27,.,x,0,.
VI,.,25,13,.,24,21,.,0,24,.,0,x,.
MSI,.,x,x,.,x,x,.,0,10,.,0,0,.
PD,.,59,48,.,41,38,.,x,90,.,0,0,.
ASD,.,59,84,.,95,117,.,x,660,.,x,x,.
OTH,.,181,39,.,396,46,.,x,47,.,x,x,.
NSA,.,130,x,.,117,6,.,x,x,.,19,x,.
