URN,Provision type,Ofsted Region,Government Office Region,Local authority,Parliamentary constituency,Sector,Places,First effective date (that the provider became active),First effective date (that the provider became resigned),First effective date (that the provider closed),First effective date (that the provider became cancelled),Flag for appealed,Joiner status,Leaver status,Registration status (as at @startdate),Registration status (as at @enddate),Inspectorate (as at @startdate),Inspectorate (as at @enddate),Name
1179497,Children's home,North West,North West,Blackburn with Darwen,Blackburn,Private,1,11/09/2015,30/11/2017,30/11/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1183070,Children's home,East Midlands,East Midlands,Derby,Derby South,Private,5,13/11/2015,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1183960,Independent Fostering Agency,East of England,East of England,Luton,Luton South,Private,,01/12/2015,31/05/2017,31/05/2017,,???,,Leaver,Active,Resigned,,,Merge Fostering Service Limited
1185533,Children's home,East Midlands,East Midlands,Nottinghamshire,Bassetlaw,Private,5,05/01/2017,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1185539,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Calder Valley,Private,1,08/03/2016,21/07/2017,21/07/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1185821,Independent Fostering Agency,South West,South West,Devon,Tiverton and Honiton,Private,,11/11/2015,20/03/2017,20/03/2017,,???,,Leaver,Active,Resigned,,,The Fostering Foundation Limited – Wessex Region
1215452,Independent Fostering Agency,South East,South East,Hampshire,New Forest East,Private,,12/01/2016,23/05/2017,23/05/2017,,???,,Leaver,Active,Resigned,,,New Forest Care
1220818,Children's home,West Midlands,West Midlands,Staffordshire,Burton,Private,5,29/01/2016,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1223635,Independent Fostering Agency,London,London,Lewisham,Lewisham East,Private,,26/07/2017,,,,???,Joiner,,,Active,,,Potential Fostering Services
1226619,Independent Fostering Agency,London,London,Havering,Romford,Private,,10/03/2016,31/03/2017,31/03/2017,,???,,Leaver,Active,Resigned,,,Fostering Outcomes
1227408,Boarding School,South East,South East,West Sussex,Crawley,Academy,7,09/12/2015,13/09/2017,13/09/2017,,???,,Leaver,Active,Resigned,Unknown,Unknown,TBAP Residence:Broadfield Park
1228921,Children's home,North West,North West,Lancashire,Fylde,Private,5,17/05/2016,15/05/2017,15/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1230940,Children's home,East Midlands,East Midlands,Northamptonshire,Wellingborough,Private,5,27/05/2016,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1232379,Independent Fostering Agency,"North East, Yorkshire and the Humber",North East,Stockton-on-Tees,Stockton South,Private,,11/05/2017,,,,???,Joiner,,,Active,,,A1 Foster Care
1233003,Children's home,South West,South West,Dorset,Christchurch,Private,2,18/04/2016,19/08/2017,19/08/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1233309,Independent Fostering Agency,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,,10/08/2017,,,,???,Joiner,,,Active,,,Fusion Fostering West Midlands
1234626,Children's home,South West,South West,Wiltshire,Devizes,Private,2,18/08/2016,15/12/2017,15/12/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1234990,Children's home,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Newcastle upon Tyne East,Voluntary,14,02/05/2017,,,,???,Joiner,,,Active,,Unknown,REDACTED
1235263,Children's home,East Midlands,East Midlands,Northamptonshire,Kettering,Private,5,11/07/2016,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1236527,Residential Family Centre,East Midlands,East Midlands,Derbyshire,Bolsover,Private,6,05/01/2017,10/07/2017,10/07/2017,,???,,Leaver,Active,Resigned,,,Building Blocks
1237583,Children's home,West Midlands,West Midlands,Staffordshire,South Staffordshire,Private,3,12/08/2016,08/02/2018,08/02/2018,,???,,Leaver,Active,Resigned,,,REDACTED
1239887,Independent Fostering Agency,London,London,Tower Hamlets,Bethnal Green and Bow,Private,,09/08/2017,,,,???,Joiner,,,Active,,,Qalb Fostering Agency Limited
1241564,Children's home,London,London,Bexley,Old Bexley and Sidcup,Private,10,19/05/2017,08/01/2018,08/01/2018,,???,Joiner,Leaver,,Resigned,,,REDACTED
1241843,Children's home,East Midlands,East Midlands,Nottingham,Nottingham East,Private,5,31/08/2016,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1243962,Children's home,West Midlands,West Midlands,Staffordshire,Newcastle-under-Lyme,Health Authority,6,13/11/2017,,,,???,Joiner,,,Active,,,REDACTED
