URN,Provision Type,LA,Sector,GOR,Max/Estimated Places
SC066981,Adoption Support Agency,Camden,Voluntary,London,0
SC006927,Boarding School,Bromley,Private,London,155
SC049244,Boarding School,Buckinghamshire,Academy,South East,70
SC008476,Boarding School,Bury,Voluntary,North West,115
SC015278,Boarding School,Cambridgeshire,Private,East of England,332
SC010391,Boarding School,Camden,Voluntary,London,6
SC012443,Boarding School,Hampshire,Voluntary,South East,80
SC061728,Boarding School,Hertfordshire,Academy,East of England,312
SC001838,Boarding School,Leicestershire,Academy,East Midlands,73
SC008762,Boarding School,Nottinghamshire,Voluntary,East Midlands,90
SC054201,Boarding School,Reading,Academy,South East,70
SC038716,Boarding School,Staffordshire,Private,West Midlands,100
SC014681,Boarding School,West Sussex,Voluntary,South East,175
SC064454,Children's Home,Barnsley,Private,Yorkshire and The Humber,2
SC064934,Children's Home,Barnsley,Private,Yorkshire and The Humber,3
SC355839,Children's Home,Barnsley,Private,Yorkshire and The Humber,2
SC471178,Children's Home,Barnsley,Private,Yorkshire and The Humber,5
SC389698,Children's Home,Bedford Borough,Private,East of England,2
SC463849,Children's Home,Bedford Borough,Private,East of England,4
SC441591,Children's Home,Birmingham,Private,West Midlands,3
SC067261,Children's Home,Blackburn,Private,North West,4
SC407245,Children's Home,Blackpool,Private,North West,1
SC456539,Children's Home,Bolton,Private,North West,1
SC057718,Children's Home,Bolton,Voluntary,North West,5
SC460424,Children's Home,Brent,Private,London,4
SC068067,Children's Home,Brighton & Hove,Private,South East,5
SC034100,Children's Home,Bristol City,Local Authority,South West,5
SC066250,Children's Home,Bristol City,Private,South West,3
SC420388,Children's Home,Bury,Private,North West,4
SC069293,Children's Home,Calderdale,Private,Yorkshire and The Humber,2
SC370910,Children's Home,Cambridgeshire,Private,East of England,3
SC452107,Children's Home,Cambridgeshire,Private,East of England,3
SC438751,Children's Home,Cambridgeshire,Voluntary,East of England,8
SC038468,Children's Home,Cornwall,Local Authority,South West,6
SC040314,Children's Home,Cornwall,Local Authority,South West,6
SC059758,Children's Home,Cornwall,Local Authority,South West,6
SC009121,Children's Home,Cornwall,Voluntary,South West,3
SC033289,Children's Home,Coventry,Local Authority,West Midlands,8
SC064117,Children's Home,Coventry,Private,West Midlands,7
SC356907,Children's Home,Cumbria,Private,North West,9
SC398253,Children's Home,Cumbria,Private,North West,5
SC036275,Children's Home,"Derby, City of",Local Authority,East Midlands,6
SC437069,Children's Home,Derbyshire,Local Authority,East Midlands,6
SC439882,Children's Home,Derbyshire,Local Authority,East Midlands,6
SC381652,Children's Home,Devon,Private,South West,2
SC411572,Children's Home,Devon,Private,South West,2
SC458352,Children's Home,Devon,Private,South West,1
SC467704,Children's Home,Devon,Private,South West,2
SC003792,Children's Home,Devon,Voluntary,South West,10
SC462558,Adoption Support Agency,Cornwall,Private,South West,0
SC469113,Boarding School,East Sussex,Private,South East,27
SC050351,Boarding School,East Sussex,Voluntary,South East,10
SC012455,Boarding School,Hampshire,Local Authority,South East,28
SC044972,Boarding School,Kent,Academy,South East,57
SC042778,Boarding School,Lancashire,Academy,North West,165
SC002270,Boarding School,Nottingham City,Voluntary,East Midlands,163
SC367598,Boarding School,Oxfordshire,Private,South East,185
SC017403,Boarding School,Richmond upon Thames,Voluntary,London,102
SC477839,Children's Home,Barnet,Private,London,3
SC392492,Children's Home,Birmingham,Private,West Midlands,4
SC409730,Children's Home,Birmingham,Private,West Midlands,5
SC480592,Children's Home,Blackpool,Private,North West,4
SC033432,Children's Home,Blackpool,Local Authority,North West,6
SC033611,Children's Home,Blackpool,Local Authority,North West,10
SC369857,Children's Home,Bolton,Local Authority,North West,5
SC397344,Children's Home,Bolton,Voluntary,North West,4
SC004023,Children's Home,Bournemouth,Private,South West,3
SC037986,Children's Home,Bracknell Forest,Local Authority,South East,5
SC033502,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,7
SC419334,Children's Home,Bromley,Private,London,4
SC474150,Children's Home,Buckinghamshire,Private,South East,4
SC068658,Children's Home,Bury,Private,North West,6
SC381722,Children's Home,Bury,Private,North West,2
SC358349,Children's Home,Calderdale,Private,Yorkshire and The Humber,1
SC456911,Children's Home,Cambridgeshire,Private,East of England,6
SC476570,Children's Home,Cambridgeshire,Private,East of England,5
SC438756,Children's Home,Cambridgeshire,Voluntary,East of England,4
SC477191,Children's Home,Central Bedfordshire,Private,East of England,4
SC445174,Children's Home,Cheshire East,Voluntary,North West,4
SC469627,Children's Home,Cheshire East,Voluntary,North West,4
SC397987,Children's Home,Cheshire West and Chester,Private,North West,2
SC428956,Children's Home,Cornwall,Health Authority,South West,2
SC040491,Children's Home,Cornwall,Local Authority,South West,6
SC055912,Children's Home,Coventry,Private,West Midlands,4
SC041887,Children's Home,Croydon,Local Authority,London,7
SC025799,Children's Home,Croydon,Private,London,7
SC063051,Children's Home,Croydon,Private,London,6
SC034083,Children's Home,Cumbria,Local Authority,North West,6
SC034158,Children's Home,Cumbria,Local Authority,North West,4
SC034181,Children's Home,Cumbria,Local Authority,North West,6
SC416599,Children's Home,Cumbria,Private,North West,5
SC436826,Children's Home,Cumbria,Private,North West,4
SC439956,Children's Home,Cumbria,Private,North West,1
SC457254,Children's Home,Cumbria,Private,North West,5
SC038237,Children's Home,Darlington,Local Authority,North East,5
SC000803,Children's Home,Darlington,Private,North East,3
SC397293,Children's Home,"Derby, City of",Local Authority,East Midlands,6
SC036186,Children's Home,Derbyshire,Local Authority,East Midlands,8
SC067414,Adoption Support Agency,Brighton & Hove,Private,South East,0
SC066957,Adoption Support Agency,Oxfordshire,Voluntary,South East,0
SC387711,Adoption Support Agency,Sheffield,Voluntary,Yorkshire and The Humber,0
SC067198,Adoption Support Agency,Southwark,Voluntary,London,0
SC067001,Adoption Support Agency,Worcestershire,Private,West Midlands,0
