time_period,time_identifier,geographic_level,country_code,country_name,CLA_group,age_group,measure,characteristic,number,percentage
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Care leaver not in touch,5190,48
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,LA in-touch with the care leaver during the year,Care leaver not in touch,5260,49
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Gender,Female,4210,39
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Full-time education other than higher education,450,4
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Full-time higher education i.e. studies beyond A level,550,5
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Full-time in an apprenticeship,60,1
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Full-time in training or employment (excl. apprenticeship),1280,12
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,In higher education i.e. studies beyond A level,580,5
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Gender,Male,6630,61
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Owing to illness or disability,610,6
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Owing to other reasons,1470,14
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Owing to pregnancy or parenting,450,4
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Part-time education other than higher education,170,2
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Part-time higher education i.e. studies beyond A level,30,k
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Part-time in an apprenticeship,30,k
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Part-time in training or employment (excl. apprenticeship),560,5
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Total activity of care leavers,10840,100
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Gender,Total gender,10840,100
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Total in apprenticeship,90,1
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Total in education other than higher education,620,6
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,LA in-touch with the care leaver during the year,Total care leavers,10840,100
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,Total in training or employment (excl. apprenticeship),1840,17
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Activity of care leaver,"Total not in education, training or employment",2520,23
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,LA in-touch with the care leaver during the year,Young person has requested and received support,5580,51
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Care leaver not in touch,6460,61
