time_period,time_identifier,geographic_level,country_code,country_name,age_group,cla_group,characteristic,activity_type,number,percentage
2023,Reporting year,National,E92000001,England,18 years,Placement on ceasing care,Foster placements,Total care leavers,3950,100
2023,Reporting year,National,E92000001,England,21 years,Placement on ceasing care,Foster placements,Education other than higher education,530,14
2023,Reporting year,National,E92000001,England,21 years,Placement on ceasing care,Foster placements,Higher education i.e. studies beyond A level,490,13
2023,Reporting year,National,E92000001,England,21 years,Placement on ceasing care,Foster placements,In an apprenticeship,110,3
2023,Reporting year,National,E92000001,England,21 years,Placement on ceasing care,Foster placements,In training or employment,z,z
2023,Reporting year,National,E92000001,England,21 years,Placement on ceasing care,Foster placements,In training or employment (excl. apprenticeship),1360,36
2023,Reporting year,National,E92000001,England,21 years,Placement on ceasing care,Foster placements,Information not known,320,8
2023,Reporting year,National,E92000001,England,21 years,Placement on ceasing care,Foster placements,"Not in education, employment or training",1010,26
2023,Reporting year,National,E92000001,England,21 years,Placement on ceasing care,Foster placements,Total care leavers,3820,100
2023,Reporting year,National,E92000001,England,19 years,Placement on ceasing care,Foster placements,Education other than higher education,1330,34
2023,Reporting year,National,E92000001,England,19 years,Placement on ceasing care,Foster placements,Higher education i.e. studies beyond A level,470,12
2023,Reporting year,National,E92000001,England,19 years,Placement on ceasing care,Foster placements,In an apprenticeship,140,4
2023,Reporting year,National,E92000001,England,19 years,Placement on ceasing care,Foster placements,In training or employment,z,z
2023,Reporting year,National,E92000001,England,19 years,Placement on ceasing care,Foster placements,In training or employment (excl. apprenticeship),1010,26
2023,Reporting year,National,E92000001,England,19 years,Placement on ceasing care,Foster placements,Information not known,170,4
2023,Reporting year,National,E92000001,England,19 years,Placement on ceasing care,Foster placements,"Not in education, employment or training",830,21
2023,Reporting year,National,E92000001,England,19 years,Placement on ceasing care,Foster placements,Total care leavers,3960,100
2023,Reporting year,National,E92000001,England,17 years,Placement on ceasing care,Foster placements,Education other than higher education,70,39
2023,Reporting year,National,E92000001,England,17 years,Placement on ceasing care,Foster placements,Higher education i.e. studies beyond A level,c,c
2023,Reporting year,National,E92000001,England,17 years,Placement on ceasing care,Foster placements,In an apprenticeship,c,c
2023,Reporting year,National,E92000001,England,17 years,Placement on ceasing care,Foster placements,In training or employment,z,z
2023,Reporting year,National,E92000001,England,17 years,Placement on ceasing care,Foster placements,In training or employment (excl. apprenticeship),10,6
2023,Reporting year,National,E92000001,England,17 years,Placement on ceasing care,Foster placements,Information not known,70,38
2023,Reporting year,National,E92000001,England,17 years,Placement on ceasing care,Foster placements,"Not in education, employment or training",30,13
2023,Reporting year,National,E92000001,England,17 years,Placement on ceasing care,Foster placements,Total care leavers,190,100
2023,Reporting year,National,E92000001,England,19 to 21 years,Placement on ceasing care,Foster placements,Education other than higher education,2630,23
2023,Reporting year,National,E92000001,England,19 to 21 years,Placement on ceasing care,Foster placements,Higher education i.e. studies beyond A level,1490,13
2023,Reporting year,National,E92000001,England,19 to 21 years,Placement on ceasing care,Foster placements,In an apprenticeship,380,3
2023,Reporting year,National,E92000001,England,19 to 21 years,Placement on ceasing care,Foster placements,In training or employment,z,z
2023,Reporting year,National,E92000001,England,19 to 21 years,Placement on ceasing care,Foster placements,In training or employment (excl. apprenticeship),3590,31
2023,Reporting year,National,E92000001,England,19 to 21 years,Placement on ceasing care,Foster placements,Information not known,650,6
2023,Reporting year,National,E92000001,England,19 to 21 years,Placement on ceasing care,Foster placements,"Not in education, employment or training",2850,25
2023,Reporting year,National,E92000001,England,19 to 21 years,Placement on ceasing care,Foster placements,Total care leavers,11590,100
2023,Reporting year,National,E92000001,England,20 years,Placement on ceasing care,Foster placements,Education other than higher education,770,20
2023,Reporting year,National,E92000001,England,20 years,Placement on ceasing care,Foster placements,Higher education i.e. studies beyond A level,530,14
2023,Reporting year,National,E92000001,England,20 years,Placement on ceasing care,Foster placements,In an apprenticeship,130,3
2023,Reporting year,National,E92000001,England,20 years,Placement on ceasing care,Foster placements,In training or employment,z,z
2023,Reporting year,National,E92000001,England,20 years,Placement on ceasing care,Foster placements,In training or employment (excl. apprenticeship),1220,32
2023,Reporting year,National,E92000001,England,20 years,Placement on ceasing care,Foster placements,Information not known,170,4
2023,Reporting year,National,E92000001,England,20 years,Placement on ceasing care,Foster placements,"Not in education, employment or training",1010,26
2023,Reporting year,National,E92000001,England,20 years,Placement on ceasing care,Foster placements,Total care leavers,3820,100
2023,Reporting year,National,E92000001,England,18 years,Placement on ceasing care,Foster placements,Education other than higher education,2170,55
2023,Reporting year,National,E92000001,England,18 years,Placement on ceasing care,Foster placements,Higher education i.e. studies beyond A level,240,6
2023,Reporting year,National,E92000001,England,18 years,Placement on ceasing care,Foster placements,In an apprenticeship,140,3
2023,Reporting year,National,E92000001,England,18 years,Placement on ceasing care,Foster placements,In training or employment,z,z
2023,Reporting year,National,E92000001,England,18 years,Placement on ceasing care,Foster placements,In training or employment (excl. apprenticeship),600,15
2023,Reporting year,National,E92000001,England,18 years,Placement on ceasing care,Foster placements,Information not known,220,5
2023,Reporting year,National,E92000001,England,18 years,Placement on ceasing care,Foster placements,"Not in education, employment or training",580,15
2023,Reporting year,National,E92000001,England,20 years,Placement on ceasing care,Other placements,Education other than higher education,c,c
