time_period,time_identifier,geographic_level,country_code,country_name,cla_group,care_leaver_age,measure,characteristic,number,percentage
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Unaccompanied asylum-seeking children,Female,220,2
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Unaccompanied asylum-seeking children,Male,2340,22
2023,Reporting year,National,E92000001,England,Care leavers group,22 years,Unaccompanied asylum-seeking children,Total,2560,24
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Unaccompanied asylum-seeking children,Female,220,2
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Unaccompanied asylum-seeking children,Male,2280,22
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Unaccompanied asylum-seeking children,Total,2500,24
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Unaccompanied asylum-seeking children,Female,160,2
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Unaccompanied asylum-seeking children,Male,1810,18
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Unaccompanied asylum-seeking children,Total,1970,20
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Unaccompanied asylum-seeking children,Female,130,2
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Unaccompanied asylum-seeking children,Male,1150,13
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Unaccompanied asylum-seeking children,Total,1280,15
