time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,in_touch,number,percentage
2023,Reporting year,National,E92000001,England,,,,,,Aged 22,Care leaver not in touch,5260,49
2023,Reporting year,National,E92000001,England,,,,,,Aged 22,Total,10840,100
2023,Reporting year,National,E92000001,England,,,,,,Aged 22,Young person has requested and received support,5580,51
2023,Reporting year,National,E92000001,England,,,,,,Aged 23,Care leaver not in touch,6500,62
2023,Reporting year,National,E92000001,England,,,,,,Aged 23,Total,10540,100
2023,Reporting year,National,E92000001,England,,,,,,Aged 23,Young person has requested and received support,4050,38
2023,Reporting year,National,E92000001,England,,,,,,Aged 24,Care leaver not in touch,6930,70
2023,Reporting year,National,E92000001,England,,,,,,Aged 24,Total,9960,100
2023,Reporting year,National,E92000001,England,,,,,,Aged 24,Young person has requested and received support,3030,30
2023,Reporting year,National,E92000001,England,,,,,,Aged 25,Care leaver not in touch,7110,82
2023,Reporting year,National,E92000001,England,,,,,,Aged 25,Total,8680,100
2023,Reporting year,National,E92000001,England,,,,,,Aged 25,Young person has requested and received support,1560,18
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 22,Care leaver not in touch,220,44
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 22,Total,510,100
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 22,Young person has requested and received support,290,56
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 23,Care leaver not in touch,290,61
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 23,Total,480,100
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 23,Young person has requested and received support,180,39
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 24,Care leaver not in touch,330,70
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 24,Total,470,100
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 24,Young person has requested and received support,140,30
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 25,Care leaver not in touch,360,86
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 25,Total,420,100
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Aged 25,Young person has requested and received support,60,14
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 22,Care leaver not in touch,790,52
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 22,Total,1520,100
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 22,Young person has requested and received support,730,48
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 23,Care leaver not in touch,920,67
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 23,Total,1370,100
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 23,Young person has requested and received support,450,33
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 24,Care leaver not in touch,920,73
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 24,Total,1260,100
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 24,Young person has requested and received support,340,27
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 25,Care leaver not in touch,880,84
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 25,Total,1050,100
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 25,Young person has requested and received support,170,16
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 22,Care leaver not in touch,430,47
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 22,Total,900,100
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 22,Young person has requested and received support,480,53
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 23,Care leaver not in touch,570,65
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 23,Total,870,100
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 23,Young person has requested and received support,300,35
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 24,Care leaver not in touch,610,77
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 24,Total,790,100
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 24,Young person has requested and received support,190,23
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 25,Care leaver not in touch,580,87
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 25,Total,670,100
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Aged 25,Young person has requested and received support,90,13
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 22,Care leaver not in touch,420,51
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 22,Total,810,100
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 22,Young person has requested and received support,390,49
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 23,Care leaver not in touch,430,58
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 23,Total,730,100
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 23,Young person has requested and received support,310,42
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 24,Care leaver not in touch,220,40
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 24,Total,540,100
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 24,Young person has requested and received support,320,60
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 25,Care leaver not in touch,280,52
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 25,Total,540,100
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 25,Young person has requested and received support,260,48
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 22,Care leaver not in touch,590,48
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 22,Total,1230,100
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 22,Young person has requested and received support,640,52
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 23,Care leaver not in touch,700,60
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 23,Total,1160,100
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 23,Young person has requested and received support,460,40
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 24,Care leaver not in touch,800,72
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 24,Total,1110,100
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 24,Young person has requested and received support,310,28
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 25,Care leaver not in touch,890,90
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 25,Total,990,100
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 25,Young person has requested and received support,100,10
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 22,Care leaver not in touch,650,62
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 22,Total,1030,100
