time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,cla_group,measure,accommodation_type,number,percentage
2023,Reporting year,National,E92000001,England,22 years,Care leavers group,Accommodation of care leaver,Bed and breakfast,10,k
2023,Reporting year,National,E92000001,England,23 years,Care leavers group,Accommodation of care leaver,Bed and breakfast,10,k
2023,Reporting year,National,E92000001,England,24 years,Care leavers group,Accommodation of care leaver,Bed and breakfast,10,k
2023,Reporting year,National,E92000001,England,25 years,Care leavers group,Accommodation of care leaver,Bed and breakfast,c,c
2023,Reporting year,National,E92000001,England,22 years,Care leavers group,Accommodation of care leaver,Community home,150,1
2023,Reporting year,National,E92000001,England,23 years,Care leavers group,Accommodation of care leaver,Community home,100,1
2023,Reporting year,National,E92000001,England,24 years,Care leavers group,Accommodation of care leaver,Community home,90,1
2023,Reporting year,National,E92000001,England,25 years,Care leavers group,Accommodation of care leaver,Community home,60,1
2023,Reporting year,National,E92000001,England,22 years,Care leavers group,Accommodation of care leaver,Deported,0,0
2023,Reporting year,National,E92000001,England,23 years,Care leavers group,Accommodation of care leaver,Deported,0,0
2023,Reporting year,National,E92000001,England,24 years,Care leavers group,Accommodation of care leaver,Deported,c,c
2023,Reporting year,National,E92000001,England,25 years,Care leavers group,Accommodation of care leaver,Deported,0,0
2023,Reporting year,National,E92000001,England,22 years,Care leavers group,Accommodation of care leaver,Emergency accommodation,50,k
2023,Reporting year,National,E92000001,England,23 years,Care leavers group,Accommodation of care leaver,Emergency accommodation,50,k
2023,Reporting year,National,E92000001,England,24 years,Care leavers group,Accommodation of care leaver,Emergency accommodation,40,k
2023,Reporting year,National,E92000001,England,25 years,Care leavers group,Accommodation of care leaver,Emergency accommodation,20,k
2023,Reporting year,National,E92000001,England,22 years,Care leavers group,Accommodation of care leaver,Foyers,100,1
2023,Reporting year,National,E92000001,England,23 years,Care leavers group,Accommodation of care leaver,Foyers,60,1
2023,Reporting year,National,E92000001,England,24 years,Care leavers group,Accommodation of care leaver,Foyers,40,k
2023,Reporting year,National,E92000001,England,25 years,Care leavers group,Accommodation of care leaver,Foyers,20,k
2023,Reporting year,National,E92000001,England,22 years,Care leavers group,Accommodation of care leaver,Gone abroad,c,c
2023,Reporting year,National,E92000001,England,23 years,Care leavers group,Accommodation of care leaver,Gone abroad,c,c
2023,Reporting year,National,E92000001,England,24 years,Care leavers group,Accommodation of care leaver,Gone abroad,c,c
2023,Reporting year,National,E92000001,England,25 years,Care leavers group,Accommodation of care leaver,Gone abroad,c,c
2023,Reporting year,National,E92000001,England,22 years,Care leavers group,Accommodation of care leaver,In custody,190,2
2023,Reporting year,National,E92000001,England,23 years,Care leavers group,Accommodation of care leaver,In custody,130,1
2023,Reporting year,National,E92000001,England,24 years,Care leavers group,Accommodation of care leaver,In custody,90,1
2023,Reporting year,National,E92000001,England,25 years,Care leavers group,Accommodation of care leaver,In custody,50,1
2023,Reporting year,National,E92000001,England,22 years,Care leavers group,Accommodation of care leaver,Independent living,3320,31
2023,Reporting year,National,E92000001,England,23 years,Care leavers group,Accommodation of care leaver,Independent living,2540,24
