time_identifier,time_period,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
Reporting year,2023,National,E92000001,England,Age on ceasing,1 to 4 years,6410,20
Reporting year,2023,National,E92000001,England,Age on ceasing,10 to 15 years,4440,14
Reporting year,2023,National,E92000001,England,Age on ceasing,16 years,1570,5
Reporting year,2023,National,E92000001,England,Age on ceasing,17 years,1700,5
Reporting year,2023,National,E92000001,England,Age on ceasing,5 to 9 years,3670,12
Reporting year,2023,National,E92000001,England,Age on ceasing,Ceased on 18th birthday,12200,39
Reporting year,2023,National,E92000001,England,Age on ceasing,Ceased when older than 18th birthday,30,k
Reporting year,2023,National,E92000001,England,Age on ceasing,Total,31680,100
Reporting year,2023,National,E92000001,England,Age on ceasing,Under 1 year,1650,5
Reporting year,2023,National,E92000001,England,Category of need,N1. Abuse or neglect,18090,57
Reporting year,2023,National,E92000001,England,Category of need,N2. Child disability,650,2
Reporting year,2023,National,E92000001,England,Category of need,N3. Parental illness or disability,780,2
Reporting year,2023,National,E92000001,England,Category of need,N4. Family in acute stress,2460,8
Reporting year,2023,National,E92000001,England,Category of need,N5. Family dysfunction,3700,12
Reporting year,2023,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,620,2
Reporting year,2023,National,E92000001,England,Category of need,N7. Low income,50,k
Reporting year,2023,National,E92000001,England,Category of need,N8. Absent parenting,5330,17
Reporting year,2023,National,E92000001,England,Category of need,Total,31680,100
Reporting year,2023,National,E92000001,England,Duration of last period of care,1. Under 2 weeks,2060,6
Reporting year,2023,National,E92000001,England,Duration of last period of care,2. From 2 weeks to under 8 weeks,2000,6
Reporting year,2023,National,E92000001,England,Duration of last period of care,3. From 8 weeks to under 6 months,4330,14
Reporting year,2023,National,E92000001,England,Duration of last period of care,4. From 6 months to under 1 year,6200,20
Reporting year,2023,National,E92000001,England,Duration of last period of care,5. From 1 year to under 2 years,6490,20
Reporting year,2023,National,E92000001,England,Duration of last period of care,6. From 2 years to under 3 years,2970,9
Reporting year,2023,National,E92000001,England,Duration of last period of care,7. From 3 years to under 5 years,3030,10
Reporting year,2023,National,E92000001,England,Duration of last period of care,8. From 5 years to under 10 years,2930,9
Reporting year,2023,National,E92000001,England,Duration of last period of care,9. 10 years and over,1680,5
Reporting year,2023,National,E92000001,England,Duration of last period of care,Average duration of last period of care (days),880,z
Reporting year,2023,National,E92000001,England,Duration of last period of care,Total,31680,100
Reporting year,2023,National,E92000001,England,Ethnicity,1. Total White,19650,62
Reporting year,2023,National,E92000001,England,Ethnicity,1a. White British,17830,56
Reporting year,2023,National,E92000001,England,Ethnicity,1b. White Irish,70,k
Reporting year,2023,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,70,k
Reporting year,2023,National,E92000001,England,Ethnicity,1d. Gypsy Roma,150,k
Reporting year,2023,National,E92000001,England,Ethnicity,1e. Any other White background,1530,5
Reporting year,2023,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,2890,9
Reporting year,2023,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,950,3
Reporting year,2023,National,E92000001,England,Ethnicity,2b. White and Black African,390,1
Reporting year,2023,National,E92000001,England,Ethnicity,2c. White and Asian,500,2
Reporting year,2023,National,E92000001,England,Ethnicity,2d. Any other Mixed background,1060,3
Reporting year,2023,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,2360,7
Reporting year,2023,National,E92000001,England,Ethnicity,3a. Indian,170,1
Reporting year,2023,National,E92000001,England,Ethnicity,3b. Pakistani,480,2
Reporting year,2023,National,E92000001,England,Ethnicity,3c. Bangladeshi,210,1
Reporting year,2023,National,E92000001,England,Ethnicity,3d. Chinese,60,k
Reporting year,2023,National,E92000001,England,Ethnicity,3e. Any other Asian background,1450,5
Reporting year,2023,National,E92000001,England,Ethnicity,"4. Total Black, African, Caribbean or Black British",3400,11
Reporting year,2023,National,E92000001,England,Ethnicity,4a. Caribbean,520,2
Reporting year,2023,National,E92000001,England,Ethnicity,4b. African,2220,7
Reporting year,2023,National,E92000001,England,Ethnicity,4c. Any other Black background,660,2
Reporting year,2023,National,E92000001,England,Ethnicity,5. Total other ethnic group,3070,10
Reporting year,2023,National,E92000001,England,Ethnicity,6. Total refused of information not yet available,300,1
Reporting year,2023,National,E92000001,England,Ethnicity,6a. Refused,20,k
Reporting year,2023,National,E92000001,England,Ethnicity,6b. Information not yet obtained,280,1
Reporting year,2023,National,E92000001,England,Ethnicity,Total,31680,100
Reporting year,2023,National,E92000001,England,Gender,Female,13060,41
Reporting year,2023,National,E92000001,England,Gender,Male,18620,59
Reporting year,2023,National,E92000001,England,Gender,Total,31680,100
Reporting year,2023,National,E92000001,England,Legal status,Care orders,14880,47
Reporting year,2023,National,E92000001,England,Legal status,Detained for child protection,560,2
Reporting year,2023,National,E92000001,England,Legal status,Placement order granted,2870,9
Reporting year,2023,National,E92000001,England,Legal status,Total,31680,100
Reporting year,2023,National,E92000001,England,Legal status,Voluntary agreements under S20 CA 1989,12930,41
Reporting year,2023,National,E92000001,England,Legal status,Youth justice legal statuses,450,1
Reporting year,2023,National,E92000001,England,Placement group,1. Total foster placements,12990,41
Reporting year,2023,National,E92000001,England,Placement group,1a Total foster placements inside council boundary,8080,26
Reporting year,2023,National,E92000001,England,Placement group,1a.1 Total foster placements inside council boundary with relative or friend,3720,12
Reporting year,2023,National,E92000001,England,Placement group,1a.1i With relative or friend who is also approved adopter (FFA) or concurrent planning,10,k
Reporting year,2023,National,E92000001,England,Placement group,1a.1ii With relative or friend not FFA/concurrent planning,3710,12
Reporting year,2023,National,E92000001,England,Placement group,1a.2 Total foster placements inside council boundary with other foster carer,4360,14
Reporting year,2023,National,E92000001,England,Placement group,1a.2i With other foster carer who is also approved adopter (FFA) or concurrent planning,20,k
Reporting year,2023,National,E92000001,England,Placement group,1a.2ii With other foster carer not FFA/concurrent planning,4340,14
Reporting year,2023,National,E92000001,England,Placement group,1b Total foster placements outside council boundary,4910,16
Reporting year,2023,National,E92000001,England,Placement group,1b.1 Total foster placements outside council boundary with relative or friend,1630,5
Reporting year,2023,National,E92000001,England,Placement group,1b.1i With relative or friend who is also approved adopter (FFA) or concurrent planning,c,c
Reporting year,2023,National,E92000001,England,Placement group,1b.1ii With relative or friend not FFA/concurrent planning,1630,5
Reporting year,2023,National,E92000001,England,Placement group,1b.2 Total foster placements outside council boundary with other foster carer,3280,10
Reporting year,2023,National,E92000001,England,Placement group,1b.2i With other foster carer who is also approved adopter (FFA) or concurrent planning,20,k
Reporting year,2023,National,E92000001,England,Placement group,1b.2ii With other foster carer not FFA/concurrent planning,3260,10
Reporting year,2023,National,E92000001,England,Placement group,2. Total placed for adoption,2890,9
Reporting year,2023,National,E92000001,England,Placement group,2a. Placed for adoption with consent with current foster carer,110,k
Reporting year,2023,National,E92000001,England,Placement group,2b. Placed for adoption with placement order with current foster carer,670,2
Reporting year,2023,National,E92000001,England,Placement group,2c. Placed for adoption with consent not with current foster carer,170,1
Reporting year,2023,National,E92000001,England,Placement group,2d. Placed for adoption with placement order not with current foster carer,1940,6
Reporting year,2023,National,E92000001,England,Placement group,3. Total placed with parents or other person with parental responsibility,4290,14
