time_period,time_identifier,geographic_level,country_code,country_name,cla_group,population_group,characteristic,placement_stability,number,percentage
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,Total children,7090,100
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,With 1 placement during the year,4230,60
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,With 2 placements during the year,2250,32
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,1 to 4 years,With 3 or more placements during the year,610,9
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,Total children,25740,100
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,With 1 placement during the year,19810,77
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,With 2 placements during the year,3630,14
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,10 to 15 years,With 3 or more placements during the year,2300,9
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,Total children,14880,100
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,With 1 placement during the year,9910,67
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,With 2 placements during the year,3050,20
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,16 years and over,With 3 or more placements during the year,1920,13
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,Total children,11110,100
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,With 1 placement during the year,8530,77
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,With 2 placements during the year,1890,17
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,5 to 9 years,With 3 or more placements during the year,690,6
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Total children,Total children,58820,100
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Total children,With 1 placement during the year,42480,72
2023,Reporting year,National,E92000001,England,CLA 12 months on 31 March,Age group,Total children,With 2 placements during the year,10830,18
