time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,cla_group,characteristic,measure,number,percentage
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Female,Unaccompanied asylum-seeking children,840,2
2023,Reporting year,National,E92000001,England,21 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,280,2
2023,Reporting year,National,E92000001,England,20 years,Care leavers group,Female,Unaccompanied asylum-seeking children,310,3
2023,Reporting year,National,E92000001,England,19 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,250,2
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Female,Unaccompanied asylum-seeking children,220,2
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Female,Unaccompanied asylum-seeking children,c,c
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Male,Unaccompanied asylum-seeking children,8220,24
2023,Reporting year,National,E92000001,England,21 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,2770,25
2023,Reporting year,National,E92000001,England,20 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2780,24
2023,Reporting year,National,E92000001,England,19 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,2670,23
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Male,Unaccompanied asylum-seeking children,3600,28
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Male,Unaccompanied asylum-seeking children,40,7
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total,Unaccompanied asylum-seeking children,9060,26
2023,Reporting year,National,E92000001,England,21 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,3050,27
2023,Reporting year,National,E92000001,England,20 years,Care leavers group,Total,Unaccompanied asylum-seeking children,3090,27
2023,Reporting year,National,E92000001,England,19 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,2930,25
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Total,Unaccompanied asylum-seeking children,3820,30
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Total,Unaccompanied asylum-seeking children,40,7
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Female,Unaccompanied asylum-seeking children,810,2
2022,Reporting year,National,E92000001,England,21 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,220,2
2022,Reporting year,National,E92000001,England,20 years,Care leavers group,Female,Unaccompanied asylum-seeking children,280,2
2022,Reporting year,National,E92000001,England,19 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,310,3
2022,Reporting year,National,E92000001,England,18 years,Care leavers group,Female,Unaccompanied asylum-seeking children,250,2
2022,Reporting year,National,E92000001,England,17 years,Care leavers group,Female,Unaccompanied asylum-seeking children,c,c
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Male,Unaccompanied asylum-seeking children,7900,24
2022,Reporting year,National,E92000001,England,21 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,2350,22
2022,Reporting year,National,E92000001,England,20 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2770,25
2022,Reporting year,National,E92000001,England,19 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,2780,24
2022,Reporting year,National,E92000001,England,18 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2660,22
2022,Reporting year,National,E92000001,England,17 years,Care leavers group,Male,Unaccompanied asylum-seeking children,20,5
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total,Unaccompanied asylum-seeking children,8710,26
2022,Reporting year,National,E92000001,England,21 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,2570,24
2022,Reporting year,National,E92000001,England,20 years,Care leavers group,Total,Unaccompanied asylum-seeking children,3050,27
2022,Reporting year,National,E92000001,England,19 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,3090,27
2022,Reporting year,National,E92000001,England,18 years,Care leavers group,Total,Unaccompanied asylum-seeking children,2910,24
2022,Reporting year,National,E92000001,England,17 years,Care leavers group,Total,Unaccompanied asylum-seeking children,20,5
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Female,Unaccompanied asylum-seeking children,720,2
2021,Reporting year,National,E92000001,England,21 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,220,2
2021,Reporting year,National,E92000001,England,20 years,Care leavers group,Female,Unaccompanied asylum-seeking children,220,2
2021,Reporting year,National,E92000001,England,19 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,280,2
2021,Reporting year,National,E92000001,England,18 years,Care leavers group,Female,Unaccompanied asylum-seeking children,310,3
2021,Reporting year,National,E92000001,England,17 years,Care leavers group,Female,Unaccompanied asylum-seeking children,c,c
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Male,Unaccompanied asylum-seeking children,7440,23
2021,Reporting year,National,E92000001,England,21 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,2310,22
2021,Reporting year,National,E92000001,England,20 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2350,22
2021,Reporting year,National,E92000001,England,19 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,2780,25
2021,Reporting year,National,E92000001,England,18 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2780,24
2021,Reporting year,National,E92000001,England,17 years,Care leavers group,Male,Unaccompanied asylum-seeking children,20,5
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total,Unaccompanied asylum-seeking children,8160,25
2021,Reporting year,National,E92000001,England,21 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,2520,24
2021,Reporting year,National,E92000001,England,20 years,Care leavers group,Total,Unaccompanied asylum-seeking children,2570,24
2021,Reporting year,National,E92000001,England,19 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,3060,27
2021,Reporting year,National,E92000001,England,18 years,Care leavers group,Total,Unaccompanied asylum-seeking children,3090,27
2021,Reporting year,National,E92000001,England,17 years,Care leavers group,Total,Unaccompanied asylum-seeking children,30,5
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Female,Unaccompanied asylum-seeking children,610,2
2020,Reporting year,National,E92000001,England,21 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,170,2
2020,Reporting year,National,E92000001,England,20 years,Care leavers group,Female,Unaccompanied asylum-seeking children,220,2
2020,Reporting year,National,E92000001,England,19 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,220,2
2020,Reporting year,National,E92000001,England,18 years,Care leavers group,Female,Unaccompanied asylum-seeking children,280,2
2020,Reporting year,National,E92000001,England,17 years,Care leavers group,Female,Unaccompanied asylum-seeking children,c,c
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Male,Unaccompanied asylum-seeking children,6510,21
2020,Reporting year,National,E92000001,England,21 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,1870,19
2020,Reporting year,National,E92000001,England,20 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2300,22
2020,Reporting year,National,E92000001,England,19 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,2350,22
2020,Reporting year,National,E92000001,England,18 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2760,25
2020,Reporting year,National,E92000001,England,17 years,Care leavers group,Male,Unaccompanied asylum-seeking children,30,6
2020,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total,Unaccompanied asylum-seeking children,7120,23
