time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,reason_for_change,number,percent
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,All Placements,8780,15
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Allegation (s47),90,1
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Approval removed,60,1
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Carer requests placement end other than due to child's behaviour,610,7
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Carer requests placement ends due to child's behaviour,260,3
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Change in the status of a placement only,1650,19
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Change to/Implementation of care plan,3930,45
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Child requests placement to end,10,k
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Custody,c,c
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Other,1810,21
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Resignation or closure of provision,40,k
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Responsible/Area authority requests placement to end,180,2
2023,Reporting year,National,E92000001,England,Age,1 to 4 years,Standards of care concern,130,1
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,All Placements,20910,36
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Allegation (s47),210,1
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Approval removed,70,k
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Carer requests placement end other than due to child's behaviour,1780,9
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Carer requests placement ends due to child's behaviour,3100,15
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Change in the status of a placement only,2980,14
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Change to/Implementation of care plan,6060,29
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Child requests placement to end,760,4
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Custody,30,k
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Other,5150,25
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Resignation or closure of provision,180,1
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Responsible/Area authority requests placement to end,320,2
2023,Reporting year,National,E92000001,England,Age,10 to 15 years,Standards of care concern,290,1
2023,Reporting year,National,E92000001,England,Age,16 years and over,All Placements,14450,25
2023,Reporting year,National,E92000001,England,Age,16 years and over,Allegation (s47),40,k
2023,Reporting year,National,E92000001,England,Age,16 years and over,Approval removed,40,k
2023,Reporting year,National,E92000001,England,Age,16 years and over,Carer requests placement end other than due to child's behaviour,670,5
2023,Reporting year,National,E92000001,England,Age,16 years and over,Carer requests placement ends due to child's behaviour,1670,12
2023,Reporting year,National,E92000001,England,Age,16 years and over,Change in the status of a placement only,1480,10
2023,Reporting year,National,E92000001,England,Age,16 years and over,Change to/Implementation of care plan,4550,31
2023,Reporting year,National,E92000001,England,Age,16 years and over,Child requests placement to end,1340,9
2023,Reporting year,National,E92000001,England,Age,16 years and over,Custody,120,1
2023,Reporting year,National,E92000001,England,Age,16 years and over,Other,4000,28
2023,Reporting year,National,E92000001,England,Age,16 years and over,Resignation or closure of provision,150,1
2023,Reporting year,National,E92000001,England,Age,16 years and over,Responsible/Area authority requests placement to end,270,2
2023,Reporting year,National,E92000001,England,Age,16 years and over,Standards of care concern,120,1
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,All Placements,8270,14
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Allegation (s47),110,1
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Approval removed,40,k
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Carer requests placement end other than due to child's behaviour,800,10
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Carer requests placement ends due to child's behaviour,670,8
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Change in the status of a placement only,1760,21
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Change to/Implementation of care plan,2820,34
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Child requests placement to end,30,k
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Custody,0,0
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Other,1670,20
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Resignation or closure of provision,60,1
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Responsible/Area authority requests placement to end,160,2
2023,Reporting year,National,E92000001,England,Age,5 to 9 years,Standards of care concern,150,2
2023,Reporting year,National,E92000001,England,Age,Total,All Placements,57690,100
2023,Reporting year,National,E92000001,England,Age,Total,Allegation (s47),470,1
2023,Reporting year,National,E92000001,England,Age,Total,Approval removed,240,k
2023,Reporting year,National,E92000001,England,Age,Total,Carer requests placement end other than due to child's behaviour,4120,7
2023,Reporting year,National,E92000001,England,Age,Total,Carer requests placement ends due to child's behaviour,5740,10
2023,Reporting year,National,E92000001,England,Age,Total,Change in the status of a placement only,8710,15
2023,Reporting year,National,E92000001,England,Age,Total,Change to/Implementation of care plan,20090,35
2023,Reporting year,National,E92000001,England,Age,Total,Child requests placement to end,2150,4
2023,Reporting year,National,E92000001,England,Age,Total,Custody,150,k
2023,Reporting year,National,E92000001,England,Age,Total,Other,13840,24
2023,Reporting year,National,E92000001,England,Age,Total,Resignation or closure of provision,450,1
2023,Reporting year,National,E92000001,England,Age,Total,Responsible/Area authority requests placement to end,1020,2
2023,Reporting year,National,E92000001,England,Age,Total,Standards of care concern,740,1
2023,Reporting year,National,E92000001,England,Age,Under 1 year,All Placements,5270,9
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Allegation (s47),20,k
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Approval removed,30,1
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Carer requests placement end other than due to child's behaviour,270,5
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Carer requests placement ends due to child's behaviour,30,1
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Change in the status of a placement only,840,16
