time_period,time_identifier,geographic_level,country_code,country_name,missing_status,characteristic,number
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1. Total White,1510
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1a. White British,1370
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1b. White Irish,10
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1c. Traveller of Irish Heritage,c
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1d. Gypsy Roma,10
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1e. Any other White background,120
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,2. Total Mixed or Multiple ethnic groups,370
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,2a. White and Black Caribbean,160
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,2b. White and Black African,50
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,2c. White and Asian,50
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,2d. Any other Mixed background,110
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3. Total Asian or Asian British,150
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3a. Indian,10
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3b. Pakistani,20
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3c. Bangladeshi,10
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3d. Chinese,c
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3e. Any other Asian background,100
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,"4. Total Black, African, Caribbean or Black British",440
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,4a. Caribbean,130
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,4b. African,180
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,4c. Any other Black background,120
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,5. Total other ethnic group,170
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,6. Total refused or information not yet available,10
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,6a. Refused,c
