time_period,time_identifier,geographic_level,country_code,country_name,population_group,characteristic,placement_stability,number,percentage
2023,Reporting year,National,E92000001,England,Age group,1 to 4 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1200,64
2023,Reporting year,National,E92000001,England,Age group,1 to 4 years,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",690,36
2023,Reporting year,National,E92000001,England,Age group,1 to 4 years,Total children,1890,100
2023,Reporting year,National,E92000001,England,Age group,10 to 15 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",13990,68
2023,Reporting year,National,E92000001,England,Age group,10 to 15 years,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",6450,32
2023,Reporting year,National,E92000001,England,Age group,10 to 15 years,Total children,20440,100
2023,Reporting year,National,E92000001,England,Age group,5 to 9 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",5150,71
2023,Reporting year,National,E92000001,England,Age group,5 to 9 years,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",2150,29
2023,Reporting year,National,E92000001,England,Age group,5 to 9 years,Total children,7300,100
2023,Reporting year,National,E92000001,England,Age group,Total children,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20350,69
2023,Reporting year,National,E92000001,England,Age group,Total children,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",9280,31
2023,Reporting year,National,E92000001,England,Age group,Total children,Total children,29630,100
2023,Reporting year,National,E92000001,England,Ethnicity,1. Total White,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",16260,69
2023,Reporting year,National,E92000001,England,Ethnicity,1. Total White,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",7390,31
2023,Reporting year,National,E92000001,England,Ethnicity,1. Total White,Total children,23650,100
2023,Reporting year,National,E92000001,England,Ethnicity,1a. White British,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",15390,69
2023,Reporting year,National,E92000001,England,Ethnicity,1a. White British,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",6950,31
2023,Reporting year,National,E92000001,England,Ethnicity,1a. White British,Total children,22330,100
2023,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",50,65
2023,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",30,35
2023,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,Total children,70,100
2023,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",30,51
2023,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",30,49
2023,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,Total children,70,100
2023,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",180,67
2023,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",90,33
2023,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,Total children,270,100
2023,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",620,68
2023,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",290,32
2023,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,Total children,910,100
2023,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",2320,68
2023,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1080,32
2023,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,Total children,3400,100
2023,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",780,68
2023,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",360,32
2023,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,Total children,1140,100
2023,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",270,67
2023,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",130,33
2023,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,Total children,400,100
2023,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",540,70
2023,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",230,30
2023,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,Total children,770,100
2023,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",730,67
2023,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",350,33
2023,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,Total children,1090,100
2023,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",560,69
2023,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",250,31
2023,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,Total children,800,100
2023,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",70,72
2023,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",30,28
2023,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,Total children,100,100
2023,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",230,68
2023,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",110,32
2023,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,Total children,340,100
2023,Reporting year,National,E92000001,England,Ethnicity,3c. Bangladeshi,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",80,64
2023,Reporting year,National,E92000001,England,Ethnicity,3c. Bangladeshi,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",40,36
2023,Reporting year,National,E92000001,England,Ethnicity,3c. Bangladeshi,Total children,120,100
2023,Reporting year,National,E92000001,England,Ethnicity,3d. Chinese,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",30,77
2023,Reporting year,National,E92000001,England,Ethnicity,3d. Chinese,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",10,23
2023,Reporting year,National,E92000001,England,Ethnicity,3d. Chinese,Total children,40,100
2023,Reporting year,National,E92000001,England,Ethnicity,3e. Any other Asian background,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",150,71
2023,Reporting year,National,E92000001,England,Ethnicity,3e. Any other Asian background,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",60,29
2023,Reporting year,National,E92000001,England,Ethnicity,3e. Any other Asian background,Total children,210,100
2023,Reporting year,National,E92000001,England,Ethnicity,"4. Total Black, African, Caribbean or Black British","Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",980,68
2023,Reporting year,National,E92000001,England,Ethnicity,"4. Total Black, African, Caribbean or Black British","Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",460,32
2023,Reporting year,National,E92000001,England,Ethnicity,"4. Total Black, African, Caribbean or Black British",Total children,1440,100
2023,Reporting year,National,E92000001,England,Ethnicity,4a. Caribbean,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",290,68
2023,Reporting year,National,E92000001,England,Ethnicity,4a. Caribbean,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",130,32
2023,Reporting year,National,E92000001,England,Ethnicity,4a. Caribbean,Total children,420,100
2023,Reporting year,National,E92000001,England,Ethnicity,4b. African,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",430,68
2023,Reporting year,National,E92000001,England,Ethnicity,4b. African,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",200,32
2023,Reporting year,National,E92000001,England,Ethnicity,4b. African,Total children,630,100
2023,Reporting year,National,E92000001,England,Ethnicity,4c. Any other Black background,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",270,67
2023,Reporting year,National,E92000001,England,Ethnicity,4c. Any other Black background,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",130,33
2023,Reporting year,National,E92000001,England,Ethnicity,4c. Any other Black background,Total children,400,100
2023,Reporting year,National,E92000001,England,Ethnicity,5. Total other ethnic group,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",210,68
2023,Reporting year,National,E92000001,England,Ethnicity,5. Total other ethnic group,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",100,32
2023,Reporting year,National,E92000001,England,Ethnicity,5. Total other ethnic group,Total children,310,100
2023,Reporting year,National,E92000001,England,Ethnicity,6. Total refused or information not yet available,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20,63
2023,Reporting year,National,E92000001,England,Ethnicity,6. Total refused or information not yet available,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",10,38
2023,Reporting year,National,E92000001,England,Ethnicity,6. Total refused or information not yet available,Total children,30,100
2023,Reporting year,National,E92000001,England,Ethnicity,6a. Refused,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",10,88
2023,Reporting year,National,E92000001,England,Ethnicity,6a. Refused,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",c,c
2023,Reporting year,National,E92000001,England,Ethnicity,6a. Refused,Total children,10,100
2023,Reporting year,National,E92000001,England,Ethnicity,6b. Information not yet obtained,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",10,54
2023,Reporting year,National,E92000001,England,Ethnicity,6b. Information not yet obtained,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",10,46
2023,Reporting year,National,E92000001,England,Ethnicity,6b. Information not yet obtained,Total children,20,100
2023,Reporting year,National,E92000001,England,Ethnicity,Total children,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20350,69
2023,Reporting year,National,E92000001,England,Ethnicity,Total children,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",9280,31
2023,Reporting year,National,E92000001,England,Ethnicity,Total children,Total children,29630,100
2023,Reporting year,National,E92000001,England,Gender,Female,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",9010,68
2023,Reporting year,National,E92000001,England,Gender,Female,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",4230,32
2023,Reporting year,National,E92000001,England,Gender,Female,Total children,13240,100
2023,Reporting year,National,E92000001,England,Gender,Male,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",11340,69
2023,Reporting year,National,E92000001,England,Gender,Male,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",5050,31
2023,Reporting year,National,E92000001,England,Gender,Male,Total children,16390,100
2023,Reporting year,National,E92000001,England,Gender,Total children,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20350,69
2023,Reporting year,National,E92000001,England,Gender,Total children,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",9280,31
2023,Reporting year,National,E92000001,England,Gender,Total children,Total children,29630,100
2023,Reporting year,National,E92000001,England,Legal status,Care orders,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",19230,69
2023,Reporting year,National,E92000001,England,Legal status,Care orders,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",8800,31
2023,Reporting year,National,E92000001,England,Legal status,Care orders,Total children,28030,100
2023,Reporting year,National,E92000001,England,Legal status,Detained for child protection,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",z,z
2023,Reporting year,National,E92000001,England,Legal status,Detained for child protection,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",z,z
2023,Reporting year,National,E92000001,England,Legal status,Detained for child protection,Total children,0,z
2023,Reporting year,National,E92000001,England,Legal status,Placement order granted,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",890,69
2023,Reporting year,National,E92000001,England,Legal status,Placement order granted,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",400,31
2023,Reporting year,National,E92000001,England,Legal status,Placement order granted,Total children,1290,100
2023,Reporting year,National,E92000001,England,Legal status,Total children,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20350,69
2023,Reporting year,National,E92000001,England,Legal status,Total children,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",9280,31
2023,Reporting year,National,E92000001,England,Legal status,Total children,Total children,29630,100
2023,Reporting year,National,E92000001,England,Legal status,Voluntary agreements under S20 CA 1989,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",230,74
2023,Reporting year,National,E92000001,England,Legal status,Voluntary agreements under S20 CA 1989,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",80,26
2023,Reporting year,National,E92000001,England,Legal status,Voluntary agreements under S20 CA 1989,Total children,310,100
2023,Reporting year,National,E92000001,England,Legal status,Youth justice legal statuses,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",z,z
2023,Reporting year,National,E92000001,England,Legal status,Youth justice legal statuses,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",z,z
2023,Reporting year,National,E92000001,England,Legal status,Youth justice legal statuses,Total children,0,z
2023,Reporting year,National,E92000001,England,Placement,Foster placements,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",17770,76
2023,Reporting year,National,E92000001,England,Placement,Foster placements,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",5720,24
2023,Reporting year,National,E92000001,England,Placement,Foster placements,Total children,23490,100
2023,Reporting year,National,E92000001,England,Placement,Other placement,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",30,23
2023,Reporting year,National,E92000001,England,Placement,Other placement,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",100,77
2023,Reporting year,National,E92000001,England,Placement,Other placement,Total children,130,100
2023,Reporting year,National,E92000001,England,Placement,Other residential settings,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",40,22
