time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,cla_group,placement_stability,number,percentage
2023,Reporting year,National,E92000001,England,,,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20350,69
2023,Reporting year,National,E92000001,England,,,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,29630,100
2023,Reporting year,National,E92000001,England,,,,,,CLA 2 years on 31 March,Total children,59620,100
2023,Reporting year,National,E92000001,England,,,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,13130,22
2023,Reporting year,National,E92000001,England,,,,,,CLA on 31 March,Total children,83840,100
2023,Reporting year,National,E92000001,England,,,,,,CLA on 31 March,With 3 or more placements during the year,8630,10
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1490,68
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,2190,100
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,CLA 2 years on 31 March,Total children,4180,100
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,940,22
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,CLA on 31 March,Total children,5980,100
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,CLA on 31 March,With 3 or more placements during the year,570,9
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",4280,69
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,6240,100
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,CLA 2 years on 31 March,Total children,11340,100
