time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,care_leaver_age,breakdown,care_leaver_count,care_leaver_percent
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Accommodation considered suitable,13380,91
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Accommodation considered unsuitable,500,3
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,No information,870,6
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Suitability total,14750,100
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Accommodation considered suitable,33810,89
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Accommodation considered unsuitable,2040,5
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,No information,2340,6
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Suitability total,38190,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Accommodation considered suitable,750,91
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Accommodation considered unsuitable,30,3
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,No information,50,6
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Suitability total,830,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Accommodation considered suitable,1670,88
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Accommodation considered unsuitable,90,4
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,No information,150,8
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Suitability total,1910,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Accommodation considered suitable,2080,92
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Accommodation considered unsuitable,50,2
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,No information,130,6
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Suitability total,2270,100
