LA_order,New_geog_code,geog_l,geog_c,geog_n,OC2_12mths,OC2_10to17,OC2_convicted,OC2_submisuse,OC2_subint,OC2_suboffint,OC2_immunisation,OC2_teethcheck,OC2_healthassmt,OC2_U5,OC2_devassmt,OC2_5to16,OC2_SDQ,OC2_SDQnormal,OC2_SDQborderline,OC2_SDQconcern,OC2_SDQaverage
1,E92000001,NATIONAL,999,ENGLAND,49750,35110,1580,2040,990,690,41980,41490,44490,4730,3900,38010,28810,14240,3580,10980,14.1
2,E12000001,REGION,A,NORTH EAST,3050,2070,130,150,120,20,2630,2540,2790,350,270,2360,1860,870,220,760,14.7
15,E12000002,REGION,B,NORTH WEST,9410,5940,230,300,140,110,8560,7720,8580,1170,880,7270,5540,2990,690,1860,13.1
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,5350,3630,170,170,80,70,4480,4450,4910,580,540,4140,2900,1300,360,1240,14.7
55,E12000004,REGION,D,EAST MIDLANDS,3630,2530,90,150,90,30,3240,3110,3240,400,370,2740,1960,840,250,860,15.2
65,E12000005,REGION,E,WEST MIDLANDS,6890,4510,170,200,60,110,5470,5670,5990,810,670,5300,4080,2070,490,1520,13.9
80,E12000006,REGION,F,EAST OF ENGLAND,4330,3300,160,250,50,40,3760,3620,3810,270,210,3330,2650,1460,350,840,13.1
92,E12000007,REGION,G,LONDON,6380,5140,280,370,200,140,5210,5330,5860,360,320,4660,3910,2050,480,1390,13.7
93,E12000007,REGION,H,INNER LONDON,2690,2180,140,190,110,60,2250,2270,2520,140,120,2000,1650,860,200,590,13.7
108,E12000007,REGION,I,OUTER LONDON,3680,2960,140,190,90,80,2970,3060,3340,220,210,2650,2260,1180,280,800,13.7
128,E12000008,REGION,J,SOUTH EAST,6740,5050,200,250,130,90,5460,5830,5870,510,470,5110,3580,1650,460,1480,14.6
148,E12000009,REGION,K,SOUTH WEST,3970,2930,170,210,130,70,3180,3220,3440,300,170,3110,2340,1010,300,1040,15.4
95,E09000001,LA,201,City of London,7,7,0,0,0,0,7,7,7,0,0,x,x,x,x,0,7
94,E09000007,LA,202,Camden,127,111,14,27,27,0,119,118,125,7,6,86,84,42,11,31,13.8
117,E09000011,LA,203,Greenwich,351,260,13,35,16,14,325,327,350,21,21,283,262,139,24,99,14
96,E09000012,LA,204,Hackney,223,178,14,24,x,19,176,166,201,12,12,172,134,63,15,56,14.7
97,E09000013,LA,205,Hammersmith and Fulham,135,115,6,8,x,x,133,133,133,x,x,101,62,38,6,18,11.7
99,E09000019,LA,206,Islington,228,187,14,13,13,0,222,189,225,16,16,153,145,80,14,51,13.4
100,E09000020,LA,207,Kensington and Chelsea,58,54,x,x,x,0,51,56,57,0,0,38,33,22,x,x,10.5
101,E09000022,LA,208,Lambeth,294,231,15,39,11,23,119,220,246,17,13,224,121,76,13,32,11.9
102,E09000023,LA,209,Lewisham,318,261,17,13,13,0,255,286,311,15,15,247,203,98,28,77,13.9
104,E09000028,LA,210,Southwark,328,255,21,25,16,7,296,291,306,15,13,265,251,119,35,97,14.6
105,E09000030,LA,211,Tower Hamlets,183,148,x,7,7,0,128,120,157,12,12,127,80,40,11,29,13.9
106,E09000032,LA,212,Wandsworth,156,116,12,17,8,9,141,122,150,14,14,110,88,41,10,37,15.4
107,E09000033,LA,213,Westminster,110,91,0,x,x,0,110,108,109,x,x,81,80,49,11,20,12.3
109,E09000002,LA,301,Barking and Dagenham,286,211,14,x,x,0,260,271,249,24,24,211,163,92,24,47,13.1
110,E09000003,LA,302,Barnet,219,174,10,x,0,0,208,177,212,18,18,151,106,60,13,33,12.9
111,E09000004,LA,303,Bexley,165,142,x,x,x,0,140,144,164,x,x,120,117,58,8,51,14.5
112,E09000005,LA,304,Brent,219,174,16,34,x,19,157,194,205,11,11,159,149,45,11,93,19.9
113,E09000006,LA,305,Bromley,167,138,6,12,9,x,162,146,162,11,11,124,118,58,13,47,13.7
114,E09000008,LA,306,Croydon,489,431,27,0,0,0,327,262,325,15,12,302,178,118,21,39,10.8
115,E09000009,LA,307,Ealing,256,206,12,30,16,11,240,230,255,11,11,193,177,101,22,54,12.7
116,E09000010,LA,308,Enfield,233,181,7,x,x,0,165,167,218,18,16,167,151,78,17,56,13.9
98,E09000014,LA,309,Haringey,307,238,9,x,x,x,306,251,285,20,x,227,201,106,20,75,13.8
118,E09000015,LA,310,Harrow,103,85,x,7,x,x,79,95,96,x,x,73,68,35,13,20,13.3
119,E09000016,LA,311,Havering,147,116,x,14,8,6,145,140,134,8,8,121,112,63,15,34,12.8
120,E09000017,LA,312,Hillingdon,193,151,0,x,0,0,141,136,178,17,15,127,120,74,15,31,11.7
121,E09000018,LA,313,Hounslow,174,143,x,8,8,0,122,167,159,14,14,121,121,58,21,42,13.6
122,E09000021,LA,314,Kingston upon Thames,72,61,x,x,x,0,52,66,68,x,x,54,0,0,0,0,0
123,E09000024,LA,315,Merton,94,75,x,8,x,x,77,83,90,x,x,63,59,29,9,21,14.6
103,E09000025,LA,316,Newham,218,186,10,0,0,0,183,204,209,x,x,168,166,85,21,60,13.8
124,E09000026,LA,317,Redbridge,126,94,x,x,x,0,67,94,119,8,x,94,80,46,9,25,12.3
