Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LA5:  Exclusions from school of children who have been looked after continuously for at least twelve months1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010 - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Code,,,2010,,,,,,,2011,,,,,,,2012,,,,,,,2013,,,,,,,2014,,,,,
,,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion
,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000018,372,Rotherham,90-99,,190,,0.00,9.95,,90-99,,190,,0.00,9.42,,90-99,,190,,x,6.38,,100,,185,,x,7.61,,100,,200,,0.00,10.61
E08000019,373,Sheffield,90-99,,245,,0.00,15.23,,90-99,,235,,0.00,14.10,,90-99,,245,,0.00,12.65,,90-99,,235,,0.00,11.44,,90-99,,235,,0.00,11.97
E08000036,384,Wakefield,90-99,,150,,0.00,15.13,,90-99,,170,,0.00,14.04,,90-99,,185,,0.00,11.96,,90-99,,195,,0.00,9.14,,90-99,,200,,0.00,9.05
E06000014,816,York,90-99,,100,,0.00,11.88,,90-99,,115,,x,6.90,,100,,115,,0.00,14.66,,100,,130,,0.00,9.09,,100,,120,,0.00,7.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST MIDLANDS,.,,"1,770",,0.45,13.54,,.,,"1,840",,x,11.77,,.,,"1,880",,x,11.52,,.,,"2,000",,0.30,10.38,,.,,"2,100",,x,11.21
E06000015,831,Derby,90-99,,225,,0.00,7.56,,90-99,,215,,0.00,9.22,,90-99,,210,,x,8.02,,90-99,,230,,x,7.33,,100,,235,,x,11.97
E10000007,830,Derbyshire,90-99,,240,,0.00,19.50,,100,,265,,0.00,14.98,,100,,260,,0.00,17.24,,100,,280,,x,15.05,,90-99,,280,,0.00,9.96
E06000016,856,Leicester,90-99,,215,,x,13.36,,90-99,,215,,0.00,13.02,,100,,220,,0.00,9.05,,100,,225,,0.00,9.82,,90-99,,240,,0.00,9.92
E10000018,855,Leicestershire,100,,130,,x,13.95,,100,,145,,0.00,10.42,,100,,150,,x,9.33,,90-99,,155,,0.00,9.15,,100,,165,,0.00,6.10
E10000019,925,Lincolnshire,90-99,,255,,x,12.06,,90-99,,250,,0.00,9.68,,90-99,,245,,0.00,12.55,,100,,240,,x,9.21,,100,,270,,x,13.01
E10000021,928,Northamptonshire,90-99,,265,,x,11.41,,100,,280,,x,12.14,,100,,280,,x,11.11,,100,,280,,x,10.00,,100,,295,,x,11.15
E06000018,892,Nottingham,90-99,,190,,x,12.17,,90-99,,200,,x,11.62,,90-99,,215,,0.00,9.26,,90-99,,225,,0.00,6.64,,90-99,,235,,0.00,9.44
E10000024,891,Nottinghamshire,90-99,,235,,0.00,18.57,,90-99,,260,,0.00,12.79,,90-99,,285,,0.00,13.07,,100,,355,,0.00,12.64,,90-99,,365,,0.00,14.60
