LA,LA Name,LineNumber,CYPServiceDescription,ReportGroup,OwnProvision,PrivateProvision,OtherPublic,Voluntary,TotalExpenditure,Income,NetCurrentExpenditure,GovGrantsInsideAEF,GovGrantsOutsideAEF,LEANetRevenueExpenditure
201,City of London,1,1 Spend by individual Sure Start Children's Centres ,SURE START CHILDREN'S CENTRES AND EARLY YEARS,548221,0,0,0,548221,442615,105606,0,0,105606
201,City of London,2,2 Spend on local authority provided or commissioned area-wide services delivered through Sure Start Children’s Centres,SURE START CHILDREN'S CENTRES AND EARLY YEARS,0,0,0,0,0,0,0,0,0,0
201,City of London,3,3 Spend on local authority management costs relating to sure Start Children's Centres,SURE START CHILDREN'S CENTRES AND EARLY YEARS,0,0,0,0,0,0,0,0,0,0
201,City of London,4,4 Other early years expenditure,SURE START CHILDREN'S CENTRES AND EARLY YEARS,876091,0,0,0,876091,0,876091,0,0,876091
201,City of London,5,5 Total Sure Start Children's Centres,SURE START CHILDREN'S CENTRES,1424312,0,0,0,1424312,442615,981697,0,0,981697
201,City of London,6,6 Residential care,CHILDREN LOOKED AFTER,11171,0,0,0,11171,0,11171,0,0,11171
201,City of London,7,7 Fostering services,CHILDREN LOOKED AFTER,0,0,0,0,0,0,0,0,0,0
201,City of London,8,8 Adoption services,CHILDREN LOOKED AFTER,24472,0,0,0,24472,0,24472,18928,0,5544
201,City of London,9,9 Special guardianship support,CHILDREN LOOKED AFTER,15774,0,0,0,15774,0,15774,0,0,15774
201,City of London,10,10 Other children looked after services,CHILDREN LOOKED AFTER,3959,0,0,0,3959,0,3959,0,0,3959
201,City of London,11,11Short breaks (respite) for looked after disabled children,CHILDREN LOOKED AFTER,0,0,0,0,0,0,0,0,0,0
201,City of London,12,12 Children placed with family and friends ,CHILDREN LOOKED AFTER,0,0,0,0,0,0,0,0,0,0
201,City of London,13,13  Education of looked after children,CHILDREN LOOKED AFTER,50350.27,0,0,0,50350.27,0,50350.27,0,0,50350.27
201,City of London,14,14 Leaving care support services ,CHILDREN LOOKED AFTER,39920,0,0,0,39920,0,39920,0,0,39920
201,City of London,15,15 Asylum seeker services - children,CHILDREN LOOKED AFTER,70079,0,0,0,70079,0,70079,0,133407,-63328
201,City of London,16,16 Total Children Looked After,CHILDREN LOOKED AFTER,215725.27,0,0,0,215725.27,0,215725.27,18928,133407,63390.27
201,City of London,17,17 Other children's and families services,OTHER CHILDREN'S AND FAMILIES SERVICES,431858,0,0,0,431858,0,431858,0,0,431858
201,City of London,18,18 Social work (includes LA functions in relation to child protection),SAFEGUARDING CHILDREN AND YOUNG PEOPLE'S SERVICES,738682,0,0,0,738682,0,738682,0,0,738682
201,City of London,19,19 Comissioning and Children's Services Strategy,SAFEGUARDING CHILDREN AND YOUNG PEOPLE'S SERVICES,179626,0,0,0,179626,0,179626,0,0,179626
201,City of London,20,20 Local safeguarding childrens board,SAFEGUARDING CHILDREN AND YOUNG PEOPLE'S SERVICES,0,0,0,0,0,0,0,0,0,0
201,City of London,21,21 Total  Safeguarding Children and Young Peoples Services,CHILDREN AND YOUNG PEOPLES SAFETY,918308,0,0,0,918308,0,918308,0,0,918308
201,City of London,22,22 Direct payments,FAMILY SUPPORT SERVICES,1260,0,0,0,1260,0,1260,0,0,1260
201,City of London,23,23 Short breaks (respite) for disabled children,FAMILY SUPPORT SERVICES,4660,0,0,0,4660,0,4660,0,0,4660
201,City of London,24,24 Other support for disabled children,FAMILY SUPPORT SERVICES,1792,0,0,0,1792,0,1792,0,0,1792
201,City of London,25,25 Targeted family support,FAMILY SUPPORT SERVICES,37172,0,0,0,37172,0,37172,0,0,37172
201,City of London,26,26 Universal family support,FAMILY SUPPORT SERVICES,771,0,0,0,771,0,771,0,0,771
201,City of London,27,27 Total Family Support Services,FAMILY SUPPORT SERVICES,45655,0,0,0,45655,0,45655,0,0,45655
201,City of London,28,28 Universal services for young people,SERVICES FOR YOUNG PEOPLE,304773,0,0,0,304773,0,304773,0,0,304773
201,City of London,29,29 Targeted services for young people ,SERVICES FOR YOUNG PEOPLE,76070,0,0,0,76070,0,76070,0,0,76070
