LA,LA Name,ReturnStatus,Line,S52 Line Reference,Own Provision (y),Private (z(i)),Other Public (z(ii)),Voluntary (z(iii)),Total Expenditure (k),Income (l),NET Current Expenditure (m),Govt. Grants Inside AEF (n),Govt. Grants Outside AEF (o),LEA NET Revenue Expenditure (p)
201,City of London,Submitted,1,Secure accommodation (youth justice),0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,2,Youth offender teams,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,3,Other Youth Justice service,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,4,Total Youth Justice,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,5,Spend on local authority management costs relating to Sure Start Children's Centres,0,0,274238,0,274238,0,274238,0,0,274238
201,City of London,Submitted,6,Spend by individual Sure Start Children's Centres,0,0,623116,0,623116,102451,520665,0,0,520665
201,City of London,Submitted,7,Spend on local authority provided or commissioned area-wide services delivered through Sure Start Children's Centres,0,0,310071,0,310071,0,310071,0,0,310071
201,City of London,Submitted,8,Total Sure Start Children's Centres,0,0,1207425,0,1207425,102451,1104974,0,0,1104974
201,City of London,Submitted,9,Residential care,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,10,Fostering services,0,0,47236,0,47236,0,47236,0,0,47236
201,City of London,Submitted,11,Other children looked after services,0,0,34890,0,34890,0,34890,0,0,34890
201,City of London,Submitted,12,Secure accommodation (welfare),0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,13,Short breaks (respite) for looked after children,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,14,Children placed with family and friends,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,15,Advocacy services for children looked after,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,16,Education of looked after children,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,17,Leaving care support services,0,0,10,0,10,0,10,0,0,10
201,City of London,Submitted,18,Asylum seeker services - children,0,0,607374,0,607374,0,607374,0,0,607374
201,City of London,Submitted,19,Total Children Looked After,0,0,689510,0,689510,0,689510,0,0,689510
201,City of London,Submitted,20,Child death review processes,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,21,LA functions in relation to child protection,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,22,Local safeguarding childrens board,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,23,Total Children and Young People's Safety,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,24,Direct payments,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,25,Short breaks (respite) for disabled children,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,26,Home care services,0,0,125934,0,125934,0,125934,0,0,125934
201,City of London,Submitted,27,Equiptment and adaptations,0,0,1719,0,1719,0,1719,0,0,1719
201,City of London,Submitted,28,Other family support services,0,0,12861,0,12861,0,12861,0,0,12861
201,City of London,Submitted,29,Contribution to health care of individual children,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,30,Total Family Support Services,0,0,140514,0,140514,0,140514,0,0,140514
201,City of London,Submitted,31,Adoption services,0,0,26688,0,26688,0,26688,0,0,26688
201,City of London,Submitted,32,Special guardianship support,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,33,Other children's and families services,0,0,317089,0,317089,0,317089,0,0,317089
201,City of London,Submitted,34,Total Other Children's and Families Services,0,0,343777,0,343777,0,343777,0,0,343777
201,City of London,Submitted,35,Children's and young people's plan,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,36,Partnership costs,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,37,Central commissioning function,0,0,39999,0,39999,0,39999,0,0,39999
201,City of London,Submitted,38,Total Children's Services Strategy,0,0,39999,0,39999,0,39999,0,0,39999
201,City of London,Submitted,39,Commissioning and social work,0,0,168810,0,168810,0,168810,0,0,168810
201,City of London,Submitted,40,Child Trust Fund Top Ups,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,41,"Universal services for young people (including youth work, positive activities and  information, advice and guidance)",0,0,447353,0,447353,51043,396310,0,0,396310
201,City of London,Submitted,42,"Targeted services for young people (including youth work, positive activities and information, advice and guidance)",0,0,0,0,0,0,0,0,0,0
