LEA,LEA Name,Line,S52 Line Reference,Own Provision (y),Private (z(i)),Other Public (z(ii)),Voluntary (z(iii)),Total Expenditure (k),Income (l),NET Current Expenditure (m),Govt. Grants Inside AEF (n),Govt. Grants Outside AEF (o),LEA NET Revenue Expenditure (p)
201,City of London,1,Secure accommodation (youth justice),0,0,0,0,0,0,0,0,0,0
201,City of London,2,Youth offender teams,0,0,0,0,0,0,0,0,0,0
201,City of London,3,Other Youth Justice service,0,0,0,0,0,0,0,0,0,0
201,City of London,4,Total Youth Justice,0,0,0,0,0,0,0,0,0,0
201,City of London,5,Residential care,0,0,0,0,0,0,0,0,0,0
201,City of London,6,Fostering services,0,0,81107,0,81107,0,81107,0,0,81107
201,City of London,7,Other children looked after services,0,0,14703,0,14703,0,14703,0,0,14703
201,City of London,8,Secure accommodation (welfare),0,0,0,0,0,0,0,0,0,0
201,City of London,9,Short breaks (respite) for looked after children,0,0,0,0,0,0,0,0,0,0
201,City of London,10,Children placed with family and friends,0,0,0,0,0,0,0,0,0,0
201,City of London,11,Advocacy services for children looked after,0,0,0,0,0,0,0,0,0,0
201,City of London,12,Education of looked after children,0,0,0,0,0,0,0,0,0,0
201,City of London,13,Leaving care support services,0,0,1851,0,1851,0,1851,0,0,1851
201,City of London,14,Asylum seeker services - children,0,0,480182,0,480182,0,480182,346136,0,134046
201,City of London,15,Unaccompanied asylum children: assessment and care management,0,0,19873,0,19873,0,19873,0,0,19873
201,City of London,16,Unaccompanied asylum children: accommodation,0,0,237824,0,237824,0,237824,0,0,237824
201,City of London,17,Total Children Looked After,0,0,835540,0,835540,0,835540,346136,0,489404
201,City of London,18,Child death processes,0,0,0,0,0,0,0,0,0,0
201,City of London,19,Preventative services ,0,0,0,0,0,0,0,0,0,0
201,City of London,20,LA functions in relation to child protection,0,0,0,0,0,0,0,0,0,0
201,City of London,21,Local safeguarding childrens board,0,0,0,0,0,0,0,0,0,0
201,City of London,22,Total Children and Young People's Safety,0,0,0,0,0,0,0,0,0,0
201,City of London,23,Direct payments,0,0,0,0,0,0,0,0,0,0
201,City of London,24,Short breaks (respite) for disabled children,0,0,0,0,0,0,0,0,0,0
201,City of London,25,Home care services,0,0,171252,0,171252,0,171252,0,0,171252
201,City of London,26,Equiptment and adaptations,0,0,512,0,512,0,512,0,0,512
201,City of London,27,Other family support services,0,0,49849,0,49849,0,49849,0,0,49849
201,City of London,28,"Substances misuse services (Drugs, Alcohol and Volatile substances)",0,0,0,0,0,0,0,0,0,0
201,City of London,29,Contribution to health care of individual children,0,0,0,0,0,0,0,0,0,0
201,City of London,30,Teenage pregnancy services,0,0,0,0,0,0,0,0,0,0
201,City of London,31,Total Family Support Services,0,0,221613,0,221613,0,221613,0,0,221613
201,City of London,32,Adoption services,0,0,56541,0,56541,1750,54791,0,0,54791
201,City of London,33,Special guardianship support,0,0,0,0,0,0,0,0,0,0
201,City of London,34,Other children's and families services,0,0,416014,0,416014,0,416014,139709,0,276305
201,City of London,35,Total Other Children's and Families Services,0,0,472555,0,472555,1750,470805,139709,0,331096
201,City of London,36,Children's and young people's plan,0,0,0,0,0,0,0,0,0,0
201,City of London,37,Partnership costs,0,0,0,0,0,0,0,0,0,0
201,City of London,38,Central commissioning function,0,0,50190,0,50190,0,50190,0,0,50190
201,City of London,39,Commissioning and social work,0,0,687551,0,687551,0,687551,0,0,687551
201,City of London,40,Total Children's Services Strategy,0,0,737741,0,737741,0,737741,0,0,737741
201,City of London,41,Child Trust Fund Top Ups,0,0,0,0,0,0,0,,,
201,City of London,42,Capital Expenditure from Revenue (CERA) (Children's and young people's services),,,,,0,0,0,,,
201,City of London,43,TOTAL CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (including CERA),,,,,2267449,1750,2265699,,,
201,City of London,44,TOTAL CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (excluding CERA),,,,,2267449,1750,2265699,,,
202,Camden,1,Secure accommodation (youth justice),267973.0132,14912.31,0,0,282885.3232,259126.79,23758.53318,0,0,23758.53318
