LEA Number:,LA Name:,S52 Line Reference:,PRIVATE (x),VOLUNTARY (y),PUBLIC (z),TOTAL EXPENDITURE (k),INCOME (l),NET Current Expenditure (m)
201,City of London  ,1 Secure accommodation (youth justice),0,0,0,0,0,0
201,City of London  ,2 Youth offender teams,0,0,0,0,0,0
201,City of London  ,3 Other Youth Justice service,0,0,0,0,0,0
201,City of London  ,4 Total Youth Justice,0,0,0,0,0,0
201,City of London  ,5 Residential care,0,0,351,351,0,351
201,City of London  ,6 Fostering services,0,0,61090,61090,0,61090
201,City of London  ,7 Other children looked after services,0,0,25686,25686,0,25686
201,City of London  ,8 Secure accommodation (welfare),0,0,0,0,0,0
201,City of London  ,9 Short breaks (respite) for looked after children,0,0,0,0,0,0
201,City of London  ,10 Children placed with family and friends,0,0,0,0,0,0
201,City of London  ,11 Advocacy services for children looked after,0,0,0,0,0,0
201,City of London  ,12 Education of looked after children,0,0,0,0,0,0
201,City of London  ,13 Leaving care support services,0,0,0,0,0,0
201,City of London  ,14 Total Children Looked After,0,0,87127,87127,0,87127
201,City of London  ,15 Child death processes,0,0,0,0,0,0
201,City of London  ,16 Preventative services,0,0,0,0,0,0
201,City of London  ,17 LA functions in relation to child protection,0,0,0,0,0,0
201,City of London  ,18 Local safeguarding childrens board,0,0,0,0,0,0
201,City of London  ,19 Total Children and Young Peoples Safety,0,0,0,0,0,0
201,City of London  ,20 Direct payments,0,0,0,0,0,0
201,City of London  ,21 Short breaks (respite) for disabled children,0,0,0,0,0,0
201,City of London  ,22 Home care services,0,0,110075,110075,0,110075
201,City of London  ,23 Equiptment and adaptations,0,0,823,823,0,823
201,City of London  ,24 Other family support services,0,0,10555,10555,0,10555
201,City of London  ,"25 Substances misuse services (Drugs, Alcohol and Volatile substances)",0,0,0,0,0,0
201,City of London  ,26 Contribution to health care of individual children,0,0,0,0,0,0
201,City of London  ,27 Teenage pregnancy services,0,0,0,0,0,0
201,City of London  ,28 Total Family Support Services,0,0,121453,121453,0,121453
201,City of London  ,29 Asylum seeker services - children,0,0,50117,50117,0,50117
201,City of London  ,30 Unaccompanied asylum children,0,0,919669,919669,695,918974
201,City of London  ,31 Accommodation,0,0,0,0,0,0
201,City of London  ,32 Assessment and care management,0,0,38003,38003,0,38003
201,City of London  ,33 Total Asylum Seeker,0,0,1007789,1007789,695,1007094
201,City of London  ,34 Adoption services,0,0,8824,8824,3500,5324
201,City of London  ,35 Special guardianship support,0,0,0,0,0,0
201,City of London  ,36 Other childrens and families services,0,0,231548,231548,2000,229548
201,City of London  ,37 Total Other Childrens and Families Services,0,0,240372,240372,5500,234872
201,City of London  ,38 Childrens and young peoples plan,0,0,0,0,0,0
201,City of London  ,39 Childrens social care workforce grant,0,0,0,0,0,0
201,City of London  ,40 Partnership costs,0,0,0,0,0,0
201,City of London  ,41 Central commissioning function,0,0,11136,11136,0,11136
201,City of London  ,42 Commissioning and social work,0,0,610626,610626,0,610626
201,City of London  ,43 Total Childrens Services Strategy,0,0,621762,621762,0,621762
201,City of London  ,44 Child Trust Fund Top Ups,0,0,0,0,0,0
201,City of London  ,45 Capital Expenditure from Revenue (CERA) (Childrens and young peoples services,,,,0,0,0
201,City of London  ,46 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (excluding CERA),,,,2078503,6195,2072308
201,City of London  ,47 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (including CERA),,,,2078503,6195,2072308
202,Camden  ,1 Secure accommodation (youth justice),4555,0,282825.849,287380.849,253704,33676.849
202,Camden  ,2 Youth offender teams,15533.67,825132.25,1524026.54,2364692.46,1254524.5,1110167.96
202,Camden  ,3 Other Youth Justice service,0,0,0,0,0,0
202,Camden  ,4 Total Youth Justice,20088.67,825132.25,1806852.39,2652073.31,1508228.5,1143844.81
202,Camden  ,5 Residential care,1393.44,752516,68192.01,822101.45,0,822101.45
202,Camden  ,6 Fostering services,4027044.175,0,2984821.2,7011865.37,4272.2442,7007593.13
202,Camden  ,7 Other children looked after services,649607.7504,182042.03,1402007.87,2233657.65,925203.3223,1308454.32
202,Camden  ,8 Secure accommodation (welfare),174243.756,0,53315.87,227559.63,174.636,227384.99
202,Camden  ,9 Short breaks (respite) for looked after children,0,0,0,0,0,0
202,Camden  ,10 Children placed with family and friends,264268.2604,0,1891247,2155515.26,13855.6188,2141659.64
202,Camden  ,11 Advocacy services for children looked after,0,0,0,0,0,0
202,Camden  ,12 Education of looked after children,756310.682,106042.61,1323752.36,2186105.65,23349.272,2162756.38
202,Camden  ,13 Leaving care support services,1935908.91,0,2434064.28,4369973.19,4935.49,4365037.7
202,Camden  ,14 Total Children Looked After,7808776.973,1040600.64,10157400.58,19006778.19,971790.5833,18034987.61
202,Camden  ,15 Child death processes,0,0,0,0,0,0
202,Camden  ,16 Preventative services,0,0,0,0,0,0
202,Camden  ,17 LA functions in relation to child protection,14123.82,41672.82,976182.8008,1031979.441,1102.18,1030877.261
202,Camden  ,18 Local safeguarding childrens board,87549.18,0,153293.45,240842.63,2780.95,238061.68
202,Camden  ,19 Total Children and Young Peoples Safety,101673,41672.82,1129476.25,1272822.07,3883.13,1268938.94
202,Camden  ,20 Direct payments,0,0,0,0,0,0
202,Camden  ,21 Short breaks (respite) for disabled children,71491.8318,165,1141025.07,1212681.9,51860.2477,1160821.65
202,Camden  ,22 Home care services,0,0,0,0,0,0
202,Camden  ,23 Equiptment and adaptations,0,0,0,0,0,0
202,Camden  ,24 Other family support services,79988.94,777381.37,467108.52,1324478.83,359724,964754.83
202,Camden  ,"25 Substances misuse services (Drugs, Alcohol and Volatile substances)",63389.71,80041.25,1211287.18,1354718.14,861775.96,492942.18
202,Camden  ,26 Contribution to health care of individual children,311.72,0,1182624.54,1182936.26,108547.47,1074388.79
202,Camden  ,27 Teenage pregnancy services,2829.39,181192.75,74675.07,258697.21,61669.22,197027.99
202,Camden  ,28 Total Family Support Services,218011.5918,1038780.37,4076720.38,5333512.34,1443576.898,3889935.45
202,Camden  ,29 Asylum seeker services - children,0,0,0,0,0,0
202,Camden  ,30 Unaccompanied asylum children,321809.1435,0,713347.12,1035156.27,830320.7325,204835.53
202,Camden  ,31 Accommodation,120151.3965,0,203375.98,323527.38,276773.5775,46753.8
202,Camden  ,32 Assessment and care management,18272.56,0,186857.36,205129.92,6945,198184.92
202,Camden  ,33 Total Asylum Seeker,460233.1,0,1103580.46,1563813.56,1114039.31,449774.25
202,Camden  ,34 Adoption services,111596.037,0,1014988.13,1126584.17,239.029,1126345.14
202,Camden  ,35 Special guardianship support,0,0,0,0,0,0
202,Camden  ,36 Other childrens and families services,134627.4572,182350.5,1497766.317,1814744.274,70300,1744444.274
202,Camden  ,37 Total Other Childrens and Families Services,246223.4942,182350.5,2512754.45,2941328.44,70539.029,2870789.41
202,Camden  ,38 Childrens and young peoples plan,32965.25,0,44484.55,77449.8,0,77449.8
202,Camden  ,39 Childrens social care workforce grant,0,0,0,0,0,0
202,Camden  ,40 Partnership costs,0,0,0,0,0,0
